Specimen,Family
Balaenoptera_acutorostrata_.USNM_49775. ,Balaenopteridae
Balaenoptera_acutorostrata_.NRM_558397. ,Balaenopteridae
Berardius_bairdii_.USNM_49726. ,Ziphiidae
Balaenoptera_borealis_.NRM_558432. ,Balaenopteridae
Balaenoptera_borealis_.USNM_236680. ,Balaenopteridae
Balaenoptera_edeni_.NRM_558399. ,Balaenopteridae
Balaenoptera_edeni_.SAM_ZM12962. ,Balaenopteridae
Balaenoptera_edeni_.USNM_572922. ,Balaenopteridae
Balaenoptera_musculus_.USNM_124326. ,Balaenopteridae
Balaenoptera_physalus_.NRM_558431. ,Balaenopteridae
Balaenoptera_physalus_.NRM_558434. ,Balaenopteridae
Cephalorhynchus_commersonii_.USNM_550154. ,Delphinidae
Cephalorhynchus_commersonii_.USNM_550154. ,Delphinidae
Cephalorhynchus_commersonii_.USNM_550156. ,Delphinidae
Cephalorhynchus_eutropia_.NRM_616647. ,Delphinidae
Cephalorhynchus_eutropia_.USNM_395374. ,Delphinidae
Cephalorhynchus_heavisidii_.SAM_ZM19943. ,Delphinidae
Cephalorhynchus_heavisidii_.SAM_ZM36717. ,Delphinidae
Cephalorhynchus_hectori_.SAM_ZM36182. ,Delphinidae
Cephalorhynchus_hectori_.SAM_ZM36182. ,Delphinidae
Cephalorhynchus_hectori_.USNM_500864. ,Delphinidae
Caperea_marginata_.RBINS_1536. ,Neobalaenidae
Delphinus_capensis_.PEM_N1649. ,Delphinidae
Delphinus_capensis_.SMNS_45763. ,Delphinidae
Delphinus_delphis_.NRM_805172. ,Delphinidae
Delphinus_delphis_.RBINS_1.519B. ,Delphinidae
Delphinus_delphis_.USNM_500273. ,Delphinidae
Delphinus_delphis_.USNM_593770. ,Delphinidae
Delphinapterus_leucas_.MNHN_A3246. ,Monodontidae
Delphinapterus_leucas_.NRM_558404. ,Monodontidae
Delphinatperus_leucas_.RBINS_1508. ,Monodontidae
Delphinapterus_leucas_.USNM_571021. ,Monodontidae
Eubalaena_glacialis_.NRM_558386. ,Balaenidae
Eubalaena_glacialis_.NRM_558389. ,Balaenidae
Eubalaena_glacialis_.USNM_593893. ,Balaenidae
Eubalaena_japonica_.USNM_339990. ,Balaenidae
Eschrichtius_robustus_.USNM_593558. ,Balaenopteridae
Feresa_attenuata_.PEM_N4762. ,Delphinidae
Feresa_attenuata_.PEM_N4763. ,Delphinidae
Feresa_attenuata_.SMNS_8841. ,Delphinidae
Feresa_attenuta_.USNM_571268. ,Delphinidae
Grampus_griseus_.MNHN_A3248. ,Delphinidae
Grampus_griseus_.PEM_N117. ,Delphinidae
Grampus_griseus_.USNM_347613. ,Delphinidae
Grampus_griseus_.USNM_504328. ,Delphinidae
Globicephala_macrorhynchus_.USNM_22561. ,Delphinidae
Globicephala_macrorhynchus_.USNM_593641. ,Delphinidae
Globicephala_melas_.NRM_558264. ,Delphinidae
Globicephala_melas_.USNM_21118. ,Delphinidae
Hyperoodon_ampullatus_.NRM_558402. ,Ziphiidae
Hyperoodon_ampullatus_.RBINS_1503. ,Ziphiidae
Hyperoodon_planifrons_.NRM_558395. ,Delphinidae
Hyperoodon_planifrons_.SAM_ZM41892. ,Delphinidae
Inia_geoffrensis_.MNHN_A61. ,'River dolphins'
Inia_geoffrensis_.SMNS_45662. ,'River dolphins'
Inia_geoffrensis_.USNM_395614. ,'River dolphins'
Inia_geoffrensis_.USNM_49582. ,'River dolphins'
Kogia_breviceps_.PEM_N1862. ,Kogiidae
Kogia_breviceps_.PEM_N989. ,Kogiidae
Kogia_breviceps_.SMNS_7618. ,Kogiidae
Kogia_breviceps_.USNM_504737. ,Kogiidae
Kogia_breviceps_.USNM_572932. ,Kogiidae
Kogia_sima_.PEM_N1564. ,Kogiidae
Kogia_sima_.PEM_N3554. ,Kogiidae
Kogia_sima_.USNM_504221. ,Kogiidae
Kogia_sima_.USNM_593890. ,Kogiidae
Lagenorhynchus_acutus_.USNM_504153. ,Delphinidae
Lagenorhynchus_acutus_.USNM_504154. ,Delphinidae
Lagenorhynchus_acutus_.USNM_504164. ,Delphinidae
Lagenorhynchus_albirostris_.NRM_20065395. ,Delphinidae
Lagenorhynchus_albirostris_.SMNS_7591. ,Delphinidae
Lagenorhynchus_albirostris_.USNM_550208. ,Delphinidae
Lagenorhynchus_australis_.USNM_395347. ,Phocoenidae
Lagenorhynchus_australis_.USNM_395350. ,Phocoenidae
Lissodelphis_borealis_.USNM_484929. ,Phocoenidae
Lissodelphis_borealis_.USNM_550026. ,Phocoenidae
Lagenodelphis_hosei_.PEM_N395. ,Delphinidae
Lagenodelphis_hosei_.PEM_N827. ,Delphinidae
Lagenodelphis_hosei_.USNM_571619. ,Delphinidae
Lagenorhynchus_obliquidens_.USNM_504412. ,Phocoenidae
Lagenorhynchus_obliquidens_.USNM_504413. ,Phocoenidae
Lagenorhynchus_obliquidens_.USNM_504415. ,Phocoenidae
Lagenorhynchus_obscurus_.SAM_ZM35681. ,Phocoenidae
Lagenorhynchus_obscurus_.SAM_ZM41890. ,Phocoenidae
Lipotes_vexillifer_.AMNH_57333. ,'River dolphins'
Mesoplodon_bidens_.MNHN_A14519. ,Delphinidae
Mesoplodon_bidens_.NRM_558398. ,Delphinidae
Mesoplodon_bidens_.USNM_594220. ,Delphinidae
Mesoplodon_carlhubbsi_.USNM_504128. ,Delphinidae
Mesoplodon_densirostris_.USNM_504217. ,Delphinidae
