Monodon_monoceros_(USNM_594407),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.59,6.47,5.07,NA,NA,NA,NA,1.36,0,0,NA,3.26,1.35,87
T2,3.43,6.05,4.86,NA,NA,NA,NA,NA,0.58,0.87,4.25,2.8,2.28,88
T3,4.46,5.88,4.74,4.49,2.92,103,5.89,4.13,0.74,1.11,5.2,3.77,3.09,92
T4,4.94,5.95,4.79,4.8,3.22,108,5.99,4.33,0.66,1.18,5.4,3.26,3.13,92
T5,5.49,6.06,5.05,5.39,3.75,112,5.74,4.25,0.94,1.24,5.35,3.45,3.28,93
T6,5.94,6.18,5.22,5.37,3.81,110,5.71,4.64,1.33,1,5.05,3.78,3.68,88
T7,6.4,6.36,5.4,5.43,4.07,110,5.27,4.58,1.21,1.58,5.1,4.47,3.58,91
T8,6.88,6.88,5.81,5.29,4.28,115,4.97,4.74,1.73,1.61,5.25,5.68,3.56,96
T9,7.34,7.05,5.95,6.69,4.62,116,4.79,4.2,3.38,1.83,5.4,6.92,4.27,98
T10,7.91,7.38,6.14,8.21,4.73,117,4.71,3.83,4.03,2.19,5.85,8.75,4.82,95
T11,8.37,7.36,6.22,9.35,4.58,118,4.94,3.96,4.5,2.37,5.9,10.3,6.85,92
L1,8.88,7.4,6.69,10.13,5.75,122,4.96,4.22,5.17,2.52,6.25,15.21,6.65,85
L2,9.12,7.47,6.73,9.64,5.71,124,4.78,3.92,5.26,2.6,7.1,16.05,6.3,85
L3,9.22,7.81,7.27,11.53,5.81,122,4.58,3.96,4.97,2.69,7.05,16.35,6.52,86
L4,9.33,8.61,7.68,12.11,7.16,113,4.68,4.34,5.95,2.33,6.95,15.85,7.25,83
L5,9.92,8.22,7.54,12.43,6.89,114,4.65,3.75,5.68,2.58,7.25,14.59,7.21,88
L6,9.99,8.6,7.66,11.61,6.14,115,4.52,3.7,5.83,2.9,7.5,13.72,6.74,87
L7,9.96,8.72,8.03,11.64,5.9,121,4.69,33.45,5.7,2.85,7.8,12.05,5.86,90
L8,9.95,8.66,8.09,11.34,5.9,123,4.52,3.84,5.89,2.82,8.4,11.37,6.8,89
L9,9.97,9,8.08,10.29,5.84,119,4.54,3.83,5.3,2.97,8.85,10.8,6.86,84
Ca1,9.98,9.26,8.36,10.06,5.43,106,3.82,3.54,4.48,2.79,8.25,9.58,7.11,80
Ca2,9.94,9.43,8.66,9.93,5.57,89,3.6,3.55,4.63,2.51,7,8.58,7.23,72
Ca3,9.72,9.2,8.8,9.32,5.27,85,3.22,3.89,4.54,2.38,6.65,7.69,7.74,73
Ca4,9.33,9.16,8.74,8.53,5.32,78,3.15,3.73,4.69,2.29,6.1,6.49,8.27,75
Ca5,8.45,9.03,8.63,7.97,5.62,86,2.92,3.97,3.42,1.65,5.65,5.35,5.86,75
Ca6,7.5,8.91,8.67,6.61,5.9,90,2.13,3.99,2.59,1.6,4.8,4.07,5.14,71
Ca7,7.16,8.19,8.59,4.65,5.05,95,1.43,3.72,2.94,1.63,3.2,2.57,4.02,58
Ca8,6.86,8.02,8.87,2.91,4.26,101,1.26,4.24,2.6,1.37,2.55,2.04,2.18,50
Ca9,6.37,7.48,8.69,2.22,4.1,104,0.95,4,1.98,0.9,1.8,1.02,1.3,47
Ca10,6.2,6.96,8.31,1.84,4.25,109,0.91,3.6,1.35,0.64,0.9,0,0,NA
Ca11,6.01,6.35,7.99,0.85,3.8,105,0.57,3.43,0.83,0.47,0.25,0,0,NA
Ca12,5.48,6.14,7.7,0.28,2.73,101,0.49,3.03,0,0,NA,0,0,NA
Ca13,4.62,6.22,7.2,0,0,NA,0.34,2.37,0,0,NA,0,0,NA
Ca14,3.83,6.29,6.61,0,0,NA,0,0,0,0,NA,0,0,NA
