Mesoplodon_stejnegeri_(USNM_504731),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.21,7.33,5.31,14.6,2.98,106,5.66,3.06,0,0,NA,4.2,2.11,70
T2,4.49,7.12,5.03,18.4,4.34,109,5.52,4.25,0,0,NA,3.6,2.18,71
T3,5.73,7.08,4.81,19.1,5.14,113,5.82,5.03,1.34,1.32,6,3.12,2.9,76
T4,6.49,7.5,4.95,20.3,5.47,109,5.73,4.94,1.22,1.26,6.4,2.64,3.38,81
T5,6.95,7.95,5.07,22,6.07,106,6.06,4.36,1.64,1.43,6.5,2.5,3.22,84
T6,7.63,7.7,5.17,23.1,6.18,107,5.79,4.86,1.6,1.69,6.7,2.6,3.43,82
T7,8.1,7.5,5.61,23.7,6.98,104,5.65,5.99,3.39,2.73,6.8,3.28,3.13,96
T8,9.12,8.08,6,24.9,7,108,5.38,6.33,5.63,4.73,7.35,6.33,5.27,99
T9,9.91,8.89,6.42,25.25,6.9,105,5.26,6.38,6.26,5.18,7.8,11.35,6.07,96
L1,10.73,8.98,7.12,26,7.37,102,5.43,7.13,6.12,4.13,7.6,12.4,5.71,96
L2,11.45,8.8,7.61,27,7.19,98,5.65,7.74,NA,NA,NA,11.33,6.02,91
L3,11.84,9.13,7.98,27.1,7.89,94,5.32,7.99,6.18,3.49,6.9,11.18,6.65,84
L4,12.1,8.98,8.35,28.3,7.64,96,5.38,8.39,5.51,3.82,7.3,10.81,6.87,81
L5,12.68,9.04,8.69,29.55,8.22,96,5.42,8.83,5.03,3.61,7.4,10.46,7.13,83
L6,13.29,9.25,9.19,30.15,8.52,96,5.03,9.29,5.15,3.64,7.35,9.95,7.32,80
L7,13.97,9.68,9.25,30.5,8.81,98,4.86,9.48,4.83,4.27,7.4,9.56,7.26,80
L8,14.61,9.89,9.58,28.2,8.52,99,4.6,9.89,4.48,3.85,6.75,9.15,7.16,76
L9,15.11,10.43,9.55,29.4,9.65,100,4.39,10.99,4.04,3.79,6.2,9.1,7.48,71
L10,15.2,10.49,9.84,29.6,10.4,96,3.91,10.61,4,3.82,6.75,9.38,8.12,72
L11,15.22,11.01,10.47,28.05,10.36,102,3.29,10.8,2.81,4.17,6.1,8.87,8.33,76
Ca1,14.8,11.29,10.43,26.15,11.01,105,3.11,10.52,2.54,4.37,6,8.65,8.67,76
Ca2,14.15,11.03,10.56,24.9,10.19,107,2.58,10.36,2.21,3.63,5.2,7.04,8.78,76
Ca3,13.52,11.23,10.71,21.7,10.27,106,2.34,9.97,1.98,2.85,4.55,6.62,9.11,78
Ca4,12.73,11.5,11.62,18,9.65,110,1.76,8.63,2.3,2.7,4.1,5.15,8.21,77
Ca5,12.26,11.24,11.49,13.6,8.49,116,1.42,7.54,2.96,2.22,3.1,3.71,6.04,87
Ca6,11.43,10.67,11.61,10.15,8,119,1.01,7.27,2.18,2.05,2.9,1.94,5.63,78
Ca7,10.53,9.56,11.44,6.65,8.05,123,1.02,6.62,1.98,1.61,2.3,0.72,2.73,85
Ca8,9.92,8.69,10.65,3.7,7.76,121,0.88,6.54,1.6,1.34,1.55,0,0,NA
Ca9,8.83,8.28,9.81,1.75,6.78,116,0.6,5.68,1.19,1.13,0.7,0,0,NA
Ca10,6.83,8.12,8.76,0.45,3.62,92,0.51,2.9,0,0,NA,0,0,NA
Ca11,5.23,8.06,7.8,0,0,NA,0,0,0,0,NA,0,0,NA
Ca12,4.69,6.8,6.02,0,0,NA,0,0,0,0,NA,0,0,NA
