Balaenoptera_physalus_(NRM_558434),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,9.58,32.2,24.1,9.99,4.2,79,12.3,7.26,2.03,3.14,4.5,31.6,8.42,66
T2,11.6,32.5,24.2,10.7,4.41,80,13.2,10.02,3.4,3.76,5.6,26.5,6.57,58
T3,14.7,34.7,23.7,15.5,8.06,85,15.3,10.22,3.05,2.84,6.9,25.3,9.86,63
T4,17.7,33.9,24.3,22.9,13.37,90,16.2,11.65,3.48,3.57,7.6,28.8,12.7,72
T5,19.7,31.5,23.9,28.7,15.19,98,15.3,12.14,6.61,4.91,9.7,32.4,14.13,81
T6,20.6,30.3,25.4,30.1,16.5,102,16.9,13.25,9.63,7.82,12.8,35.8,15.12,82
T7,21.5,31.7,23.9,32.9,16.7,98,16.5,11.97,11.01,8.38,15.9,38.5,18.3,87
T8,22.9,32.7,26.3,34.9,23.4,107,17.5,12.85,11.81,9.14,18.2,39.2,19,92
T9,23.8,32.4,24.9,36.8,23.3,114,16.8,13.75,13.09,10.81,20,37.2,19.1,91
T10,22.5,33.4,25,35.4,19.4,114,16.7,13.71,13.92,11.09,20.8,38.5,18.7,95
T11,24.7,32.7,25.8,37.3,18.95,114,15,13.88,15.4,11.27,21.4,42.5,16.4,99
T12,24.6,33.7,27.2,37.8,20.1,118,14.8,13.62,15.3,10.43,22.4,43.3,18.5,100
T13,25.3,34.2,26.9,37,17.4,120,13.6,14.62,17.1,11.59,22.1,44.7,17.7,102
T14,25.3,34.4,26.4,40.2,19.9,125,13.2,14.76,17.9,10.59,19.7,43.6,17.7,100
T15,25.4,35.1,26.6,40.4,19.5,127,13.1,14.55,17.8,11.11,20.3,44.1,16,104
L1,25.9,34.9,28.3,40.9,18.2,130,12.5,14.8,17.8,11.05,20.6,41.4,13.13,94
L2,25.2,34.3,28.6,46.2,18.1,135,12.8,15.24,15.2,11.47,21.6,40.9,14.48,90
L3,25.6,35.5,31.5,47.8,17.6,132,13.2,14.06,20,10.6,21.2,40.8,16.4,92
L4,27.6,35.6,29.8,48.5,18.9,126,13,15.7,16.3,11.45,20.85,41.4,15.16,94
L5,27.5,35,30.8,50.8,18.9,127,12.4,15.16,17.6,11.3,23.3,43.7,16.8,90
L6,28,35.1,31.3,51.9,19,130,13,15.03,18.4,10.28,23.5,42.8,16.6,91
L7,28.1,35.6,29.6,52.5,19.4,126,13.5,14.81,16.1,10.66,22.4,40.3,17,90
L8,29.2,35.5,30,47.8,18.2,127,12.3,15,16.4,11.61,22.3,39.1,16,91
L9,29.2,35.1,29.7,46.2,18.3,133,12.5,15.25,15.1,11.39,22.4,37.9,16.4,91
L10,29.8,35.5,30.3,48.5,17.7,134,12.5,14.29,16.4,10.63,22.8,38.6,16.5,90
L11,29.9,35.4,30.6,47.6,18,131,12.3,14.68,14.9,11.16,22.4,35.7,18,86
L12,29.85,36.2,30.7,47,17.75,133,10.4,14.97,14.8,10.34,22.5,33.3,17.4,90
L13,30.8,36,30.2,47.2,18.6,128,12.5,15.04,12.6,9.77,21.3,32.1,17.9,88
L14,31.9,36.1,31.4,43.8,18.6,129,13,15.01,12.2,9.65,21.8,30.5,15.7,86
L15,31.5,37.1,31.6,41.5,17.8,125,13.2,14.65,11.3,9.28,21.5,28.8,19.7,85
Ca1,32.5,37,33.3,40.9,17.2,115,12.5,14.09,11.9,9.54,21.5,25.4,19.2,94
Ca2,31.7,36.1,33.3,41.7,16.1,112,14.9,13.66,10.24,7.6,20.6,21.7,15.7,95
Ca3,31.8,36.6,35.2,36.8,15.1,106,15.5,14.34,10.56,6.65,19.5,21.1,18.4,97
Ca4,32,37,34.9,26.9,10.3,111,13,14.73,9.97,7.29,18.4,15.5,16.1,104
Ca5,32.4,37.1,34.3,20.5,9.93,120,11.5,13.49,9.9,9.79,18.3,16.4,16,94
Ca6,32.3,37.3,37.5,18.2,9.33,120,10.1,12.6,9.28,9.13,16.8,14.4,16.3,88
Ca7,32.4,37.8,37.9,16.3,8.08,124,8.7,10.28,8.04,9.53,15.6,12.2,17.9,82
Ca8,31.2,38.1,37.4,14.6,7.4,127,7.4,11.62,7.13,8.04,14.3,9.2,16.4,75
Ca9,31.2,37,38.8,11.7,6.71,116,6.3,10.91,6.24,7.93,12.9,6.1,20.5,75
Ca10,30.9,35.8,38.2,10.3,6.3,119,5.6,11.93,5.61,8.46,10.5,4.5,15,60
Ca11,29.6,32.8,35.8,9.64,6.66,130,4.8,12.37,6.14,7.76,9.5,2.5,7.2,65
Ca12,28.2,30.5,31.8,9.08,7.7,128,3.22,8.86,5.46,6.33,7.6,0,0,NA
Ca13,27.4,28.2,33,7.23,7.51,125,2.9,8.38,4.03,5.87,7.1,0,0,NA
Ca14,22.9,26.2,29.8,3.58,10.46,NA,3.6,5.59,3.47,4.92,4.2,0,0,NA
Ca15,17.6,22.9,25.9,0,0,NA,3.33,5.17,1.99,3.71,1.55,0,0,NA
Ca16,13.1,22.6,22.6,0,0,NA,0,0,0,0,NA,0,0,NA
Ca17,11.3,21,20.7,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,10.19,19.1,18.5,0,0,NA,0,0,0,0,NA,0,0,NA
