Orcinus_orca_(NRM_558251),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.68,12.99,10.4,6.64,3.23,96,8.3,3.15,0,0,NA,5.47,3.28,85
T2,4.44,12.48,10.26,9.41,3.66,111,7.7,3.95,0.88,1.39,5.3,6.62,3.55,85
T3,5.33,12.92,10.16,9.68,4.04,117,8.4,5.12,1.76,1.81,6.9,7.11,3.83,85
T4,6.91,13.02,10.16,9.67,4.41,121,10.3,4.99,2.98,2.42,7.3,6.77,4.41,90
T5,8.27,12.7,10.83,10.86,4.99,124,10.1,3.76,3.5,2.29,8.8,7.59,5.06,105
T6,9.07,12.61,11.08,12.64,5.52,128,9.6,4,3.99,2.91,10.2,7.27,5.4,110
T7,9.39,12.63,11.04,13.11,4.95,130,9.9,3.95,4.58,3.7,10.8,5.85,5.23,108
T8,10.21,12.64,11.75,13.51,5.89,125,8.7,4.15,6.16,4.25,11.1,7.44,5.31,111
T9,10.7,12.91,12.24,15.07,5.87,126,9.1,4.89,6.16,4.29,11.6,10.02,5.09,112
T10,11.03,13.16,12.02,15.2,6.75,125,8.8,5.38,6.14,4.36,11.65,12.73,6.44,111
T11,11.38,13.89,12.09,16.3,7.7,118,8.4,6.09,5.96,4.13,12.5,15.4,6.38,116
T12,11.66,13.62,12.43,15.4,7.77,116,8.2,5.71,6.1,4.01,12.2,15.45,5.71,93
L1,11.23,13.81,12.82,15.25,8.19,112,7.5,5.98,5.82,3.84,12.1,16,6.06,88
L2,11.31,14.06,12.68,14.74,7.61,110,7.5,5.62,4.9,3.93,12,16.15,6.06,85
L3,11.81,13.92,15.9,14.91,8.21,96,8.5,5.87,4.07,3.32,10.95,17.35,6.62,88
L4,11.15,13.88,15.9,14.84,7.18,99,8.8,5.81,3.93,3.77,11.7,17.1,6.53,87
L5,11.73,14.11,15.8,15.06,7.33,102,8.5,6.1,3.63,2.97,12,16.5,6.43,84
L6,12.45,14.1,15.6,14.44,7.99,100,8.5,5.94,3.36,2.99,12.5,16.8,7.03,88
L7,12.23,13.8,16.1,14.58,7.58,103,7.4,5.89,2.88,3.16,14.9,16,6.54,90
L8,12.6,14.16,18.1,13.96,8.02,104,6.9,6.11,3.41,3.33,15.4,15.4,6.67,93
L9,12.3,15.1,17.5,11.76,7.25,108,7,5.64,3.56,3.66,15.7,14.3,6.21,90
Ca1,12.19,15.3,17.9,10.04,7.12,109,7.5,6.08,4.29,3.33,15.4,12.66,6.23,85
Ca2,12.02,16.2,17.9,9.45,6.74,107,7,5.8,4.63,3.26,14.6,11.67,6.35,84
Ca3,11.89,16.8,17.6,9.45,6.38,105,6.25,5.51,4.77,3.34,13.5,11.09,6.37,86
Ca4,11.45,16.5,17.6,9.37,5.87,96,5.1,5.84,3.06,3.54,12.2,8.93,6.25,88
Ca5,11.56,16.6,17.7,8.46,5.06,95,3.8,5.28,3.62,3.54,11.9,8.09,6.09,88
Ca6,11.51,16.8,17.3,7.64,5.64,101,2.9,5.46,3.09,2.94,10.3,5.73,6.21,87
Ca7,11.14,16.85,17.6,5.57,5.44,103,2.3,5.32,2.7,2.53,8.5,4.97,5.34,86
Ca8,11.03,16.8,18.5,5.38,5.24,105,2.95,5.02,2.14,2.77,7,4.56,5.95,87
Ca9,10.67,16.7,18.6,5.23,6.85,106,2.1,4.83,1.99,1.7,5.8,3.3,5.86,89
Ca10,11.31,16.25,18.35,3.2,5.66,103,1.25,4.8,1.64,1.89,4.7,2.56,5.39,90
Ca11,10.84,15.1,18.3,3.78,5.69,100,1.2,5.14,1.79,1.64,2.7,1.28,3.99,90
Ca12,10.68,14.25,17.9,2.17,6,98,0.85,6.25,0,0,NA,0,0,NA
Ca13,10.26,14,16.25,0,0,NA,0.8,5.82,0,0,NA,0,0,NA
Ca14,9.52,12.25,15.1,0,0,NA,0,0,0,0,NA,0,0,NA
Ca15,8.16,12,12.95,0,0,NA,0,0,0,0,NA,0,0,NA
