Pontoporia_blainvillei_(USNM_501168),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.54,2.19,1.72,2.71,1.24,95,1.75,1.37,0,0,NA,1.56,0.93,77
T2,1.87,2.13,1.69,3.09,1.51,92,1.74,1.59,0,0,NA,1.78,1.23,74
T3,2.21,2.22,1.82,3.31,1.73,90,1.7,1.29,0,0,NA,1.58,1.48,80
T4,2.42,2.19,1.92,3.02,2.2,92,1.71,1.59,0.42,0.51,1.7,1.45,1.88,88
T5,6,2.21,1.99,3.04,2.4,94,1.54,1.52,0.72,0.45,1.8,1.34,1.76,92
T6,2.8,2.3,2.11,NA,NA,NA,1.28,1.84,1.28,0.63,1.75,1.66,1.87,95
T7,2.95,2.45,2.24,NA,NA,NA,1.15,2.03,1.51,0.93,1.7,1.6,1.68,103
T8,3.08,2.48,2.3,3.51,2.54,100,1.14,2.13,1.77,1.11,2,1.57,2.12,105
T9,3.23,2.52,2.4,NA,NA,NA,1.26,1.98,1.58,0.84,2,2.35,2.57,102
T10,3.55,2.69,2.48,3,2.35,113,1.26,2.22,1.38,0.74,2.05,4.25,2.55,105
L1,3.59,2.74,2.6,3.76,2.56,115,1.22,2.42,1.13,1.03,2.1,5.57,3.08,102
L2,3.75,2.77,2.81,3.72,2.49,114,1.14,2.52,1.11,1.21,2.05,5.48,3.68,100
L3,3.95,2.92,2.91,3.71,2.38,113,1.21,2.49,0.76,1.45,1.9,5.42,4.28,96
L4,3.94,2.98,2.93,3.84,2.28,115,0.96,2.43,0.68,1.23,1.9,5.29,4.11,100
L5,3.99,2.99,2.95,3.57,2.23,112,0.81,2.22,0.56,1.37,2,4.79,3.13,104
L6,3.96,3.11,3.1,3.6,2.4,107,0.9,2.41,0.57,1.22,2.3,4.25,3.08,106
Ca1,3.83,3.28,3.07,NA,NA,NA,0.85,2.55,0.65,1.21,2.55,3.33,3.68,97
Ca2,3.71,3.22,3.05,NA,NA,NA,0.78,2.59,0.83,1,2.3,2.85,3.28,95
Ca3,3.44,3.17,3.12,2.65,2.38,101,0.44,2.33,0.81,0.97,1.9,2.13,2.74,96
Ca4,3.18,3.09,3.16,1.72,2.2,103,0.37,2,0.75,0.8,1.3,1.91,2.48,87
Ca5,2.96,3.01,3.17,1.43,1.79,106,0.36,1.81,0.95,0.5,0.8,0.87,1.47,78
Ca6,2.83,2.93,3.01,0.98,1.92,108,0.38,1.75,0.67,0.44,0.6,0.58,1.05,68
Ca7,2.67,2.76,2.96,NA,NA,NA,0.39,1.61,0,0,NA,0,0,NA
Ca8,2.51,2.72,2.78,0.31,1.07,96,0.3,1.45,0,0,NA,0,0,NA
Ca9,2.26,2.63,2.54,0,0,NA,0,0,0,0,NA,0,0,NA
