Pseudorca_crassidens_(NRM_558271),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.6,6.72,6.14,3.69,0.82,125,5.06,1.52,0,0,NA,4.33,2.38,69
T2,3.99,6.83,5.75,4.89,1.37,126,5.23,2.21,0,0,NA,4.07,2.22,75
T3,5.17,6.83,5.68,5.62,1.39,131,5.4,2.26,0.69,1.2,3.1,4.81,2.59,85
T4,5.85,6.67,5.9,5.32,1.71,132,5.43,2.03,1.08,1.49,4.1,5.1,2.99,97
T5,6.51,6.66,6.17,5.74,2.04,135,5.14,2.08,1.52,1.22,4.2,4.75,2.9,95
T6,7.28,6.35,6.53,6.23,3.04,135,5.2,2.74,1.58,1.82,5,5.15,3.11,103
T7,7.92,6.45,6.7,7.48,3.3,125,5.27,3.28,2.22,1.95,5.1,5.12,2.45,95
T8,8.58,6.84,6.71,7.48,3.91,124,5.21,3.91,2.03,1.6,5.4,7.3,2.57,101
T9,8.86,7.54,6.83,8.56,3.61,126,5.65,4.44,1.72,1.64,5.6,8.74,3.41,103
T10,9.35,7.63,6.95,10.29,3.56,126,4.45,4.5,2.01,1.44,5.9,13.31,4.2,103
L1,8.48,7.59,7.03,11.27,3.81,123,5.14,4.36,2.17,1.3,6.85,13.96,4.53,85
L2,9.93,7.85,7.32,12.14,3.63,119,4.96,4.05,1.22,1.31,6.7,14.29,4.63,82
L3,9.81,7.89,7.58,12.12,3.94,116,4.83,3.89,1.56,1.36,7,14.15,4.72,85
L4,9.97,7.91,7.61,12.65,4.36,110,4.87,3.72,1.54,1.49,7.2,14.06,4.71,85
L5,10.05,7.93,7.79,12.31,4.08,100,4.86,3.65,1.47,1.33,6.6,14.05,4.52,84
L6,10.24,8.18,7.88,10.93,4.61,95,4.88,3.39,1.76,1.22,7.3,13.52,4.74,88
L7,10.39,8.5,8.12,NA,3.55,NA,4.44,3.12,2.69,1.12,7.1,12.88,4.33,91
L8,10.63,8.56,8.23,NA,5.13,NA,4.27,3.12,2.28,0.99,7.2,12.12,3.73,92
L9,10.76,8.75,8.79,NA,5.23,92,3.87,3.7,1.93,1.79,6.9,11.43,4.37,90
L10,11.26,8.82,9.01,NA,5.16,92,3.43,3.97,NA,NA,NA,10.88,4.48,92
Ca1,10.99,8.85,9.43,5.54,4.88,97,3.67,4.32,NA,NA,NA,10.25,4.73,90
Ca2,10.78,8.91,9.27,5.4,5.11,99,3.38,4.8,2.82,1.6,7.7,9.81,4.64,85
Ca3,10.81,8.83,9.61,5.67,4.81,103,3.36,4.82,2.79,1.41,7.4,7.63,4.69,89
Ca4,10.87,8.83,9.79,5.6,4.41,100,2.86,4.84,2.51,1.55,6.8,6.44,4.81,87
Ca5,10.99,8.98,9.62,5.45,5.19,102,2.7,4.65,3,1.85,6.4,5.11,5.35,88
Ca6,10.79,9.07,9.57,4.89,4.83,107,2.07,4.51,2.55,1.86,5.5,4.39,5.09,90
Ca7,10.5,9.21,9.9,4.36,4.56,110,1.91,4.33,2.1,2,4.9,3.11,4.76,90
Ca8,10.28,8.6,10.34,3.73,4.09,110,1.23,3.96,2.08,1.76,4,1.97,4.87,90
Ca9,9.61,7.93,9.85,3.08,4.36,120,1.01,3.78,1.6,1.74,3.6,1.21,3.51,90
Ca10,9.13,7.17,9.55,2.61,3.18,128,0.99,4.11,1.48,1.55,2.4,0,0,NA
Ca11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca13,5.6,7.35,7.9,0,0,NA,0,0,0,0,NA,0,0,NA
