Pseudorca_crassidens_(QM_J14210),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.42,6.91,6.34,4.35,1.5,120,4.6,1.73,2.5,0.78,4.02,4.13,1.93,NA
T2,4.15,6.77,6.39,5.8,1.71,116,5,2.46,2,1.51,4.46,4.71,2.66,NA
T3,5.12,6.39,6.1,5.85,1.997,122,3.76,1.54,1.77,1.99,4.15,5.08,3.58,NA
T4,5.89,6.36,5.94,6.8,2.55,127,4.52,1.83,1.72,1.23,4.07,5.18,3.48,NA
T5,6.62,6.35,6.21,7,3.8,125,4.11,2.26,2.66,1.48,4.47,5.38,3.01,NA
T6,7.33,6.34,6.32,7.5,4.8,113,3.89,3.19,3.15,1.65,4.51,6.14,2.86,NA
T7,7.81,6.47,6.38,7.6,4.9,110,4.45,3.34,3.42,2.1,4.51,6.31,2.69,NA
T8,8.5,6.61,6.76,8.7,5.2,113,4.63,3.32,3.46,1.73,4.99,6.65,2.67,NA
T9,8.73,6.91,6.79,8.9,5,117,4.89,3.62,3.02,1.75,5.12,8.06,3.06,NA
T10,9.04,7.17,6.54,10.9,4.9,114,4.71,3.82,3.34,2.06,5.26,11.01,4.31,NA
L1,9.37,7.14,6.5,11.6,4.8,117,4.71,4.05,2.94,1.81,5.42,13.78,5.14,NA
L2,9.67,7.29,6.67,12,4.7,117,4.69,4.11,2.74,1.91,5.39,13.43,5.13,NA
L3,9.56,7.41,7.02,13.2,4.8,117,4.24,4.01,2.75,1.76,5.45,13.07,5.2,NA
L4,9.69,7.58,7.08,13,5,115,4.03,4.01,2.35,1.79,5.72,11.9,5.25,NA
L5,10,7.66,7.34,11.7,5.5,110,4.18,4.32,1.78,1.5,5.32,11.9,5.54,NA
L6,10.2,7.84,7.55,10.2,5.9,108,3.96,3.69,2.07,0.98,5.81,11.77,5.17,NA
L7,10.7,8.2,7.61,9.4,5.9,107,3.73,3.62,1.85,1.19,5.88,11.5,5.06,NA
L8,10.9,8.27,8,8,6.1,105,3.99,4.53,2.3,1.37,6.02,11.03,4.68,NA
L9,11.1,8.31,8.24,7.2,6.5,104,3.84,3.97,2.42,1.22,6.01,10.54,4.28,NA
L10,11.27,8.64,8.51,7,6.5,95,3.1,4.4,2.9,2.1,6.5,10.4,4.5,NA
Ca1,11.09,8.65,8.76,6.6,6,95,3.2,4.5,2.5,2,5.89,9.9,4.7,NA
Ca2,11.09,8.48,8.45,6.9,6.2,90,2.6,5.2,2.8,2,5.9,9.3,5.4,NA
Ca3,11.13,8.55,8.64,6.4,5.2,90,2.6,5.3,3,2.2,5.8,8.7,5.5,NA
Ca4,11.09,8.68,8.53,6.7,5.2,93,2.6,5.1,3,2.2,5.5,7.4,5,NA
Ca5,11.03,8.65,9,6.3,5.3,93,2.2,4.9,2.6,2,5.3,6.6,4.2,NA
Ca6,10.75,8.87,9.22,5.4,4.8,95,1.7,5.2,2.4,2,4.9,4.9,4.8,NA
Ca7,10.55,8.8,9.42,4.7,5.1,95,1.7,4.8,1.4,1.5,4.5,3.1,4.7,NA
Ca8,9.89,9.08,9.43,4.2,5,90,1.4,4.2,1.6,1.5,3.8,2.4,4.4,NA
Ca9,9.49,8.61,9.3,3.8,4.5,95,0.6,4,1.5,1,2.2,2,2,NA
Ca10,8.99,7.78,8.88,2.9,4.6,90,0.6,4.5,1.5,1,1.8,0,0,NA
Ca11,8.54,7.3,8.4,2.1,5.6,90,0.5,4.4,1,0.6,1.5,0,0,NA
Ca12,7.2,6.41,8.37,1.6,4.9,90,0.2,4.2,1,0.5,0.8,0,0,NA
Ca13,6.1,6.14,7.9,0.66,3.2,90,0,0,0,0,NA,0,0,NA
Ca14,4.69,6.6,6.93,0,0,NA,0,0,0,0,NA,0,0,NA
