Peponocephala_electra_(SAM_ZM38245),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.25,4.8,3.24,1.21,0.65,100,3.29,1.12,0,0,NA,2.46,1.02,72
T2,1.71,4.2,3.33,2.36,0.87,110,3.36,1.37,0,0,NA,2.63,1.23,70
T3,2.32,3.98,3.18,2.55,1.11,115,3.73,1.56,0,0,NA,3.29,1.61,75
T4,2.6,4.37,3.63,2.57,1.21,120,3.48,2.09,0,0,NA,3.43,1.99,84
T5,3.06,3.99,3.82,2.15,1.34,120,3.61,2.01,0.71,0.79,3,3.6,1.95,100
T6,3.34,3.73,3.36,2.09,1.67,120,3.96,1.68,1.21,0.85,3.2,3.53,2.03,105
T7,3.54,3.63,3.51,2.7,1.75,120,3.78,1.56,1.58,0.87,3.6,3.81,1.84,105
T8,3.64,3.71,3.56,3.13,1.58,117,3.77,1.67,1.66,0.88,4,3.88,2.09,100
T9,3.7,3.65,3.57,3.37,1.65,122,3.55,1.89,1.35,0.92,4.05,4.33,2.26,96
T10,3.75,3.75,3.61,4.26,1.65,120,3.35,2.04,1.69,1.11,4.4,4.83,2.03,98
T11,3.8,3.83,3.62,4.78,1.74,123,3.24,2.01,1.6,1.01,4.4,5.8,2.42,100
T12,3.68,3.79,3.63,5.11,1.61,118,3.28,2.07,1.74,1.04,4.4,6.87,2.54,102
T13,3.66,3.73,3.9,5.66,1.64,117,3.15,1.95,1.45,1.08,4.5,7.85,2.35,105
T14,3.59,3.89,3.8,5.92,2,115,3.08,2.04,1.53,0.83,4.3,7.8,2.25,96
L1,3.52,3.78,3.87,6.46,2.12,106,3.29,1.95,1.36,0.73,NA,7.87,1.96,92
L2,3.45,3.82,3.99,6.73,2.09,104,3.4,1.68,1.39,1.57,NA,7.54,1.94,90
L3,3.43,3.83,3.95,7.52,1.98,99,3.11,1.76,1.08,0.63,NA,7.81,1.92,90
L4,3.32,3.89,3.96,7.42,1.98,92,3.23,1.69,0.98,0.62,NA,7.71,1.89,89
L5,3.91,3.93,4.1,7.68,1.91,88,3.15,1.61,1.24,0.71,NA,7.49,2,88
L6,3.14,3.97,3.95,7.78,1.89,88,3.22,1.6,0.75,0.83,NA,6.99,2.05,89
L7,3.07,3.92,3.97,7.2,1.66,88,3.33,1.47,0.82,0.66,NA,6.95,2.21,90
L8,2.98,4.07,4,7.4,1.63,84,3.45,1.58,1.12,0.75,NA,6.8,1.88,90
L9,2.94,4.11,4.04,7.48,1.5,79,3.57,1.47,0.51,0.67,NA,6.94,1.93,90
L10,2.89,4.13,4.08,7.35,1.54,74,3.3,1.48,0.71,0.63,NA,6.75,1.91,90
L11,2.88,4.11,4.2,7.19,1.45,70,3.25,1.45,0.53,0.67,NA,6.69,1.81,93
L12,2.81,4.22,4.14,6.76,1.52,70,3.17,1.4,0.51,0.6,NA,6.76,1.84,92
L13,2.63,4.28,4.26,6.18,1.52,70,3.35,1.33,0.57,0.5,NA,6.43,1.59,90
L14,2.66,4.27,4.46,6.12,1.66,70,3.24,1.39,0.57,0.66,NA,6.52,1.62,90
L15,2.67,4.18,4.26,6.36,1.55,75,3.31,1.3,0.57,0.62,NA,6.53,1.74,90
Ca1,2.67,4.45,4.54,5.84,1.68,70,3.19,1.44,0.51,0.63,4.6,6.13,1.6,90
Ca2,2.56,4.35,4.74,5.39,1.6,74,3.17,1.33,0.66,0.62,4.6,5.79,1.51,90
Ca3,2.42,4.39,4.45,5.28,1.53,76,3.21,1.34,0.86,0.6,4.6,5.54,1.37,90
Ca4,2.36,4.69,4.67,5.1,1.53,75,3.07,1.33,0.77,0.65,4.7,4.64,1.42,88
Ca5,2.28,4.48,4.43,5.33,1.5,74,2.73,1.29,0.82,0.57,4.65,4.88,1.45,88
Ca6,2.27,4.53,4.33,5.1,1.48,73,2.58,1.39,0.93,0.65,4.6,5.24,1.51,88
Ca7,2.13,4.5,4.26,5.3,1.26,70,2.53,1.3,0.82,0.64,4.5,4.8,1.58,86
Ca8,2.21,4.47,4.12,5.3,1.31,70,2.62,1.42,0.65,0.71,4.4,4.91,1.53,85
Ca9,2.17,4.64,4.23,5.89,1.25,67,2.33,1.26,0.73,0.62,4.5,4.85,1.83,82
Ca10,2.15,4.23,4.2,5.24,1.28,69,2.62,1.39,0.76,0.56,4.5,4.34,1.75,80
Ca11,2.09,4.73,4.21,4.95,1.4,68,2.15,1.2,0.76,0.73,4.5,4.19,1.9,78
Ca12,2.08,4.56,4.21,5,1.41,66,2,1.42,0.84,0.8,4.4,3.34,1.61,79
Ca13,2.11,4.56,4.16,4.56,1.29,68,1.83,1.48,0.97,0.57,4.45,3.91,1.76,75
Ca14,2.06,4.44,4.11,4.64,1.21,67,1.65,1.33,0.84,0.65,4.2,3.91,1.7,73
Ca15,2.03,4.39,4.06,4.31,1.17,70,1.44,1.35,0.84,0.64,3.8,3.63,1.57,73
Ca16,2.04,4.53,4.05,3.49,1.22,72,1.39,1.44,0.94,0.7,3.7,3.17,1.65,75
Ca17,2.12,4.47,4.22,3.27,1.07,76,1.24,1.34,0.62,0.62,3.15,2.9,1.58,75
Ca18,2.18,4.44,4.22,3.25,1.29,78,0.89,1.32,0.67,0.62,2.95,2.54,1.65,70
Ca19,2.17,4.4,4.2,3.15,1.17,84,0.86,1.38,0.83,0.79,3.1,1.98,1.48,73
Ca20,2.24,4.43,4.16,2.73,1.12,84,0.84,1.3,0.94,0.71,2.9,1.49,1.41,80
Ca21,2.29,4.51,4.27,2.25,1.3,86,0.81,1.26,0.64,0.63,2.4,1.27,1.32,85
Ca22,2.27,4.46,4.32,2.23,1.27,89,0.7,1.32,0.83,0.61,2.5,1.03,1.13,85
Ca23,2.39,4.43,4.23,1.99,1.16,94,0.64,1.38,0.83,0.71,2.1,0.81,1.15,85
Ca24,2.42,4.19,4.29,1.83,1.19,98,0.57,1.39,0.74,0.65,1.95,0.58,1.03,85
Ca25,2.47,4.14,4.31,1.8,1.23,104,0.54,1.4,0.76,0.6,1.8,0,0,NA
Ca26,2.51,4.96,4.25,1.6,1.19,105,0.51,1.49,0.75,0.62,1.55,0,0,NA
Ca27,2.62,3.73,4.43,1.17,1.39,107,0.43,1.53,0.83,0.59,1.35,0,0,NA
Ca28,2.65,3.57,4.34,0.76,1.4,105,0.51,1.57,0.76,0.46,1.05,0,0,NA
Ca29,2.73,3.45,4.33,0.66,1.04,100,0.55,1.59,0.58,0.5,0.75,0,0,NA
Ca30,2.72,3.31,4.31,0.55,1.23,90,0.49,1.74,0,0,NA,0,0,NA
Ca31,2.59,3.23,4.23,0,0,NA,0.44,1.55,0,0,NA,0,0,NA
Ca32,2.4,3.16,3.78,0,0,NA,0,0,0,0,NA,0,0,NA
Ca33,2.07,3.44,3.71,0,0,NA,0,0,0,0,NA,0,0,NA
Ca34,1.56,3.69,3.55,0,0,NA,0,0,0,0,NA,0,0,NA
