Peponocephala_electra_(USNM_593941),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.22,4.09,3.15,1.18,0.43,110,2.9,0.81,0,0,NA,2.04,0.99,70
T2,1.68,4.01,3.03,2.26,0.6,114,3.16,1.02,0,0,NA,2.05,1.22,76
T3,2.15,3.63,3.04,2.95,0.62,127,3.36,1.45,0,0,NA,2.11,1.4,80
T4,2.57,3.56,3.01,3.17,0.89,129,3.56,1.16,0,0,NA,2.59,1.76,90
T5,2.93,3.5,3.08,3.05,1.07,133,3.78,1.2,0.47,0.49,2.8,2.55,1.9,94
T6,3.24,3.51,3.24,2.92,1.2,130,3.82,1.03,0.67,0.5,3.05,2.82,1.91,100
T7,3.36,3.45,3.38,3.76,1.22,124,3.54,1.16,0.9,0.7,3.3,2.92,1.53,96
T8,3.5,3.43,3.45,3.82,1.36,123,3.63,1.42,0.97,0.6,3.35,3.1,1.75,101
T9,3.67,3.45,3.48,4.44,1.22,122,3.6,1.67,1.18,0.69,3.6,3.85,1.74,100
T10,3.76,3.54,3.47,4.94,1.31,121,3.53,1.74,1.29,0.89,3.95,4.61,1.74,96
T11,3.78,3.68,3.54,4.92,1.45,123,3.14,1.83,1.37,0.78,4.05,5.2,1.84,97
T12,3.71,3.62,3.59,5.15,1.36,124,3.38,1.76,1.32,0.87,3.9,6.27,2.15,101
T13,3.71,3.58,3.76,5.65,1.55,124,3.27,1.81,1.7,0.77,4,7.78,1.99,106
T14,3.65,3.6,3.73,5.84,1.69,121,3.4,1.86,1.19,0.71,3.9,8.57,1.99,100
L1,3.56,3.64,3.69,6.31,1.87,115,3.37,1.79,1.39,0.81,4.05,8.45,1.96,89
L2,3.45,3.68,3.69,6.82,1.83,111,3.29,1.78,1.16,0.81,3.9,8.28,1.86,85
L3,3.33,3.63,3.81,7.71,1.77,106,3.25,1.78,1.07,0.62,4,8.22,1.79,83
L4,3.29,3.69,3.82,7.97,1.6,101,3.35,1.65,1.03,0.66,4.1,8.19,1.79,84
L5,3.19,3.74,3.84,7.89,1.58,97,3.26,1.65,1.1,0.7,4.15,8.16,1.75,85
L6,3.08,3.69,3.94,7.76,1.53,95,3.25,1.59,0.9,0.72,4.15,7.8,1.77,85
L7,3.06,3.76,3.92,7.95,1.35,91,3.3,1.58,1.01,0.7,4.2,7.65,1.77,85
L8,2.98,3.84,3.9,7.78,1.3,88,3.37,1.31,0.83,0.72,4.25,7.28,1.79,85
L9,2.99,3.86,3.9,7.54,1.26,85,3.36,1.29,0.78,0.62,4.25,7.11,1.72,85
L10,2.86,4.01,3.93,7.47,1.27,82,3.24,1.39,0.72,0.62,4.3,7.02,1.68,85
L11,2.82,4.05,3.91,7.39,1.16,79,3.4,1.3,0.52,0.41,4.5,6.87,1.77,84
