Platanista_gangetica_(SMNS_45651),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.49,3.31,2.14,3,1.32,108,1.73,1.26,0,0,NA,1.86,1.51,90
T2,1.52,3.5,2.06,3.7,1.63,108,1.43,1.77,0,0,NA,1.98,1.56,90
T3,1.68,3.71,2.09,3.57,1.87,107,1.08,1.98,0,0,NA,1.97,1.75,90
T4,1.82,3.46,2.13,3.57,1.39,105,1.03,2.17,0,0,NA,2.09,1.76,90
T5,1.77,3.58,2.2,3.12,1.42,104,0.99,1.43,1.34,0.75,1.5,1.76,1.7,90
T6,1.77,3.5,2.25,3.09,1.62,96,0.98,1.74,1.91,1.13,1.95,0.92,1.7,90
T7,2.11,3.48,2.3,3.03,1.62,90,1.16,1.82,2.18,1.45,2.25,0.85,1.43,90
T8,2.19,3.38,2.37,3.11,1.92,89,1.15,1.89,2.29,1.69,2.5,0.72,1.75,90
T9,2.04,3.18,2.44,3.14,1.98,85,0.91,1.92,2.43,1.68,2.5,1.36,1.67,102
T10,2.2,3.28,2.56,3.61,1.99,84,0.85,2.13,2.48,1.5,2.65,2.76,1.81,107
L1,2.31,3.49,2.7,4.14,2.14,83,1.03,1.93,3.09,1.24,2.45,4.65,1.75,100
L2,2.73,3.82,2.73,4.5,1.95,80,1.04,2.04,2.88,1.26,2.7,5.53,1.85,97
L3,2.45,3.86,2.88,4.83,1.82,78,1.11,1.79,2.82,1.18,2.65,6.08,1.82,96
L4,2.87,3.87,3.1,4.98,2.1,78,1.13,1.69,2.76,1.06,2.55,6.56,2.02,94
L5,2.88,3.66,3.09,4.9,2.03,82,0.96,1.71,NA,NA,NA,6.24,1.7,98
L6,3.07,3.59,3.29,NA,2.18,84,0.78,1.77,2.48,1.08,2.5,5.81,1.09,102
L7,3.22,3.57,3.33,5.07,1.97,82,0.94,1.88,2.39,0.95,2.15,5.42,1.09,105
L8,2.83,3.68,3.36,4.77,1.95,80,1.16,1.54,2.33,0.67,1.95,4.98,1.1,103
Ca1,2.89,3.74,3.47,5.11,1.95,77,1.24,1.43,1.57,0.57,2.1,4.6,1.3,104
Ca2,2.82,3.61,3.35,5.02,1.86,73,1.26,1.58,NA,0.46,1.7,4.04,1.83,99
Ca3,2.82,3.95,3.21,4.72,1.94,75,1.22,1.51,1.43,0.47,1.7,3.71,1.47,93
Ca4,2.9,3.98,3.32,3.84,1.49,73,1.08,1.31,1.25,0.52,1.6,3.28,1.49,90
Ca5,2.86,4.11,3.32,NA,NA,NA,1.03,1.38,1.16,0.51,1.35,2.9,1.53,87
Ca6,2.78,3.91,3.24,NA,1.77,NA,1.02,1.43,NA,0.52,NA,2.49,1.21,80
Ca7,2.81,3.79,3.31,3.12,1.93,80,0.78,1.55,1.39,0.56,1.2,1.96,1.38,80
Ca8,2.81,3.76,3.36,2.53,2.04,87,0.65,1.22,1.25,0.48,0.6,1.55,1.66,75
Ca9,2.93,3.67,3.31,1.54,1.97,90,0.6,1.3,1.06,0.45,0.4,0.91,1.64,72
Ca10,2.63,3.31,3.2,1.43,1.87,90,0.54,1.17,1.04,0.5,0.5,0.52,1.33,70
Ca11,2.59,3.08,3.24,1.47,2.35,90,0.61,1.23,0.96,0.43,0.25,0.27,1.16,60
Ca12,2.29,2.82,3,1.11,2.14,90,0.51,1.75,0.74,0.38,0.2,0,0,NA
Ca13,2.44,3,2.88,0.77,1.9,93,0.48,1.37,0.51,0.33,0.1,0,0,NA
Ca14,2.07,2.66,2.58,0.58,1.46,95,0.31,1.33,0,0,NA,0,0,NA
