Phocoena_phocoena_(NRM_805026),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.17,2.31,1.97,2.7,0.85,110,1.99,0.97,0,0,NA,1.44,0.74,75
T2,1.49,2.2,1.93,3.7,1.33,110,2.06,1.3,0,0,NA,1.8,0.96,80
T3,1.86,2,1.89,3.84,1.38,113,2.08,1.42,0.44,0.5,2.4,1.69,1.35,97
T4,2.07,2.06,1.9,3.71,1.73,108,2.14,1.42,0.85,0.58,2.4,1.8,1.45,110
T5,2.21,2.09,2.04,3.81,1.79,108,2.16,1.27,1.03,0.57,2.5,1.86,1.46,108
T6,2.3,2.19,2.09,4.43,1.89,95,2.04,1.28,1.03,0.44,2.3,2.05,1.46,105
T7,2.38,2.22,2.05,4.17,1.75,100,1.95,1.32,1.08,0.57,2.4,2.16,1.47,100
T8,2.36,2.3,2.17,NA,NA,NA,1.94,1.32,1.27,0.62,2.4,1.9,1.65,101
T9,2.36,2.47,2.28,NA,NA,NA,1.85,1.52,1.25,0.59,1.9,2.28,1.75,100
T10,2.38,2.66,2.21,4.92,2.09,96,1.72,1.44,1.9,0.6,2,2.68,1.45,105
T11,2.41,2.65,2.35,4.48,2.06,98,1.69,1.52,1.74,0.56,2.05,3.03,1.59,100
T12,2.35,2.73,2.33,5.24,2.07,100,1.58,1.33,1.87,0.7,2.4,4.44,1.74,100
T13,2.4,2.78,2.38,4.76,1.8,105,1.84,1.25,1.31,0.61,2.2,6.76,1.65,102
L1,2.34,2.82,2.29,5.17,1.66,103,2.03,1.37,1.33,0.64,2.4,7.21,1.53,95
L2,2.28,2.84,2.44,5.52,1.65,105,1.86,1.38,1.17,0.76,2.2,7.3,1.63,93
L3,2.35,2.91,2.55,5.58,1.65,103,1.99,1.49,1.05,0.72,2.25,7.08,1.65,90
L4,2.31,2.91,2.56,5.4,1.56,105,1.82,1.52,0.85,0.77,2.1,7.02,1.65,87
L5,2.35,2.93,2.62,5.5,1.51,105,1.87,1.44,0.71,0.79,2.15,6.99,1.65,82
L6,2.34,2.93,2.69,5.41,1.54,100,1.92,1.46,0.71,0.57,2.05,7.07,1.66,80
L7,2.41,3,2.76,5.36,1.43,94,1.82,1.43,0.7,0.49,1.9,6.75,1.65,80
L8,2.44,3.03,2.72,5.21,1.36,86,1.68,1.3,0.52,0.63,1.85,6.49,1.6,75
L9,2.43,3.11,2.7,5.53,1.48,75,1.73,1.34,0.42,0.46,1.7,6.23,1.58,70
L10,2.45,3.19,2.82,5.73,1.33,70,1.73,1.25,0.44,0.53,1.9,6.19,1.55,69
L11,2.43,3.25,2.84,5.99,1.25,70,1.81,1.33,0.41,0.4,1.75,5.27,1.48,68
L12,2.44,3.06,2.86,5.62,1.17,65,1.79,1.25,0.25,0.4,2.1,5.71,1.49,63
L13,2.47,3.09,2.94,5.99,1.1,58,1.51,1.23,0.28,0.44,2,5.66,1.41,60
L14,2.49,3.2,2.86,5.95,1.14,55,1.45,1.25,0.29,0.57,2.2,5.39,1.43,59
Ca1,2.46,3.26,2.98,5.89,1.16,52,1.38,1.26,0.29,0.54,2.1,5.2,1.41,62
Ca2,2.46,3.34,2.96,5.68,1.27,48,1.29,1.25,0.33,0.5,2.15,4.84,1.59,70
Ca3,2.47,3.27,2.93,5.5,1.35,50,1.27,1.38,0.3,0.49,2.35,4.17,1.77,70
Ca4,2.46,3.24,2.89,5.19,1.4,50,1.06,1.33,0.36,0.41,2.4,3.79,1.92,70
Ca5,2.45,3.1,2.95,4.68,1.6,55,0.81,1.32,0.52,0.4,2.25,3.27,2.16,75
Ca6,2.36,3.19,2.98,4.37,1.54,62,0.76,1.18,0.51,0.34,2.1,2.95,1.83,75
Ca7,2.28,3.05,3.03,3.8,1.66,72,0.6,1.09,0.45,0.44,1.85,2.49,1.52,75
Ca8,2.17,3.05,3.03,NA,1.52,NA,0.5,0.88,0.32,0.29,1.6,1.56,1.21,74
Ca9,2.04,3.02,3.06,2.19,1.43,83,0.5,1,0.31,0.39,1.2,1.34,1.03,70
Ca10,1.95,3.04,3.11,1.91,1.23,85,0.32,1,0.24,0.38,0.95,0.73,0.81,67
Ca11,1.96,2.89,2.98,1.77,1.29,96,0.25,1.16,0.29,0.45,0.6,0.46,0.67,70
Ca12,1.96,2.74,2.99,1.25,1.01,100,0.26,1.21,0.38,0.33,0.4,0.31,0.49,72
Ca13,1.9,2.64,3.16,1,1.01,100,0.27,1.3,0.31,0.28,0.35,0,0,NA
Ca14,1.89,2.53,3.07,0.63,0.92,108,0.26,1.13,0.35,0.25,0.2,0,0,NA
Ca15,1.84,2.41,3.02,0.37,0.97,105,0.23,0.98,0.3,0.22,0.15,0,0,NA
Ca16,1.77,2.34,2.93,0.28,0.78,103,0.21,0.86,0.38,0.22,0.1,0,0,NA
Ca17,1.69,2.25,2.66,0,0,NA,0.19,0.53,0,0,NA,0,0,NA
Ca18,1.55,2.18,2.6,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.3,2.22,2.43,0,0,NA,0,0,0,0,NA,0,0,NA
