Phocoena_phocoena_(USNM_550312),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.18,2.48,2.23,3.13,1.07,103,2.35,1.04,0,0,NA,1.5,0.73,74
T2,1.47,2.29,2.09,4.01,1.33,110,2.21,1.41,0,0,NA,1.43,1.14,78
T3,1.88,2.23,2.17,4.39,1.59,112,2.06,1.66,0.33,0.21,2.05,1.38,1.3,78
T4,2.13,2.32,2.29,4.29,1.8,107,2.06,1.81,0.55,0.44,2.45,1.58,1.42,86
T5,2.31,2.31,2.29,4.27,1.91,110,1.91,1.63,0.71,0.57,2.35,1.53,1.38,90
T6,2.4,2.36,2.38,4.35,2.07,110,1.88,1.64,0.81,0.49,2.3,1.7,1.42,91
T7,2.48,2.44,2.52,4.67,2.05,110,1.81,1.67,0.81,0.63,2.25,1.65,1.54,96
T8,2.52,2.54,2.59,4.47,2.14,109,1.88,1.46,1,0.58,2.15,1.87,1.79,99
T9,2.59,2.76,2.67,5.06,2.21,107,1.86,1.73,1.15,0.71,2.2,2.26,1.62,100
T10,2.59,2.94,2.63,5.38,2.22,108,1.81,1.71,1.43,0.86,2.35,2.69,1.81,102
T11,2.59,3.05,2.63,5.39,2.15,108,1.97,1.42,1.57,0.95,2.6,3.51,1.87,101
T12,2.55,3.06,2.63,5.23,2.14,111,1.91,1.43,1.46,0.87,2.8,4.7,2.11,103
T13,2.51,3.01,2.61,5.75,2.1,114,2.01,1.49,1.59,1,3.1,6.78,1.91,105
L1,2.39,3,2.63,6.01,1.88,115,2.02,1.51,1.34,0.97,3,7.45,1.96,98
L2,2.29,3.04,2.65,5.81,1.85,116,2.02,1.5,1.25,0.93,3.1,7.68,1.88,93
L3,2.35,3,2.74,6.04,1.95,118,1.86,1.52,1.24,0.78,3,7.55,1.8,85
L4,2.37,3.01,2.86,5.77,1.79,119,2.07,1.37,0.91,0.75,2.65,7.44,1.91,81
L5,2.38,3.13,2.87,NA,1.67,120,2.05,1.47,0.69,0.78,2.5,7.02,1.86,77
L6,2.41,3.15,2.95,5.45,1.79,117,2.02,1.61,0.9,0.56,2.7,6.89,1.95,74
L7,2.34,3.19,2.92,5.62,1.83,117,1.96,1.51,0.7,0.54,2.5,6.73,1.79,71
L8,2.5,3.28,2.96,5.47,1.61,116,1.95,1.64,0.59,0.68,2.6,6.39,1.84,68
L9,2.44,3.44,2.97,5.36,1.58,103,1.88,1.6,0.55,0.57,2.55,6.29,1.86,64
L10,2.52,3.48,3.07,5.24,1.56,96,2.07,1.57,0.54,0.46,2.65,6.24,1.81,65
L11,2.45,3.61,3.07,5.46,1.8,89,2.15,1.55,0.5,0.66,2.7,5.91,1.77,62
L12,2.45,3.58,3.16,5.72,1.68,82,1.92,1.61,0.64,0.48,2.85,5.69,1.79,58
L13,2.46,3.52,3.1,5.88,1.68,78,1.86,1.67,0.45,0.51,2.9,5.48,1.6,60
L14,2.5,3.68,3.16,5.78,1.72,74,1.85,1.61,0.6,0.52,3,5.14,1.85,57
Ca1,2.51,3.71,3.21,5.69,1.67,72,1.92,1.61,0.4,0.36,2.95,4.82,1.75,60
Ca2,2.52,3.72,3.31,5.61,1.82,67,1.67,1.58,0.46,0.4,2.95,4.55,1.74,58
Ca3,2.51,3.71,3.38,5.33,1.91,69,1.51,1.55,0.46,0.39,2.9,4.14,1.61,56
Ca4,2.43,3.71,3.38,5.23,2.05,73,1.38,1.52,0.53,0.51,2.85,3.69,1.73,59
Ca5,2.39,3.66,3.39,5,1.98,75,1.04,1.5,0.47,0.38,2.55,3.25,1.74,60
Ca6,2.35,3.63,3.42,4.65,2.03,77,0.87,1.38,0.48,0.42,2.45,2.85,1.5,59
Ca7,2.24,3.59,3.44,4.02,1.81,82,0.74,1.23,0.37,0.4,1.9,2.53,1.33,57
Ca8,2.18,3.43,3.4,3.46,1.9,85,0.64,1.22,0.38,0.37,1.65,1.84,1.25,58
Ca9,2.11,3.38,3.43,2.78,1.81,92,0.54,1.14,0.29,0.36,1.35,1.19,1.09,57
Ca10,2.09,3.41,3.5,2.27,1.82,97,0.49,1.2,0.28,0.26,0.75,0.53,0.8,60
Ca11,2.05,3.31,3.5,1.73,1.62,102,0.41,1.16,0.25,0.35,0.65,0.25,0.44,65
Ca12,2.06,3.13,3.48,1.22,1.32,104,0.37,1.29,0.28,0.41,0.3,0,0,NA
Ca13,2.02,2.94,3.52,1.15,1.51,105,0.39,1.35,0.27,0.26,0.25,0,0,NA
Ca14,1.99,2.74,3.45,0.87,1.65,107,0.32,1.32,0.25,0.2,0.25,0,0,NA
Ca15,1.91,2.61,3.32,0.58,1.47,110,0.3,1.33,0.23,0.23,0.25,0,0,NA
Ca16,1.8,2.61,3.16,0,0,NA,0.32,0.84,0.19,0.18,0.2,0,0,NA
Ca17,1.72,2.48,3,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,1.56,2.47,2.79,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.36,2.64,2.67,0,0,NA,0,0,0,0,NA,0,0,NA
