Cephalorhynchus_eutropia_(USNM_395374),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.91,2.94,2.54,1.95,0.48,117,2.05,0.59,0,0,NA,1.52,0.74,70
T2,1.31,2.85,2.48,2.82,0.59,130,2.06,1.04,0,0,NA,1.8,0.92,76
T3,1.69,2.67,2.35,NA,NA,NA,2.27,1.5,0.17,0.16,1.6,1.74,1.28,88
T4,1.97,2.51,2.44,3.59,0.88,130,2.32,1.65,0.4,0.38,2.45,1.7,1.44,96
T5,2.18,2.39,2.49,3.6,1.14,129,2.43,1.55,0.51,0.75,2.45,1.81,1.41,99
T6,2.17,2.46,2.49,3.96,1.1,130,2.44,1.4,0.99,0.93,3.1,1.95,1.41,95
T7,2.27,2.52,2.5,4.33,1.2,126,2.21,1.14,1.38,0.97,3.05,2.32,1.56,96
T8,2.38,2.65,2.47,4.66,1.32,124,2.1,1.34,1.41,1.15,3.05,2.97,1.76,97
T9,2.42,2.75,2.56,5.05,1.53,120,2.07,1.48,1.37,0.95,3.1,3.19,1.76,102
T10,2.41,2.79,2.57,5.08,1.73,116,2.22,1.62,1.33,1,3.15,3.41,1.7,101
T11,2.34,2.88,2.64,5.42,1.49,115,2.14,1.54,1.55,0.97,3.25,4.46,1.68,103
T12,2.34,2.85,2.78,5.97,1.44,121,2.37,1.6,1.49,0.81,3.35,5.73,1.52,108
T13,2.29,2.96,2.77,6.01,1.17,119,2.39,1.53,1.55,0.86,3.4,6.45,1.53,103
L1,2.17,2.98,2.73,6.33,1.08,115,2.26,1.35,1.49,0.8,3.3,6.43,1.4,97
L2,2.23,2.97,2.78,6.05,1.81,113,2.25,1.29,1.33,0.6,3.2,6.59,1.38,95
L3,2.15,3.02,2.82,NA,1.5,111,2.44,1.28,1.25,0.68,3.2,6.95,1.43,94
L4,2.14,3.04,2.99,6.11,1.67,112,2.39,1.18,1.35,0.6,3.4,6.85,1.39,94
L5,2.09,3.08,3.03,NA,1.15,110,2.4,1.38,1.18,0.55,3.15,6.79,1.4,96
L6,2.1,3.07,3.13,6.44,1.65,102,2.34,1.11,0.96,0.66,3.05,6.33,1.32,98
L7,2.07,3.11,3.24,6.38,1.53,98,2.34,1.26,1.05,0.78,3.05,6.23,1.32,97
L8,2.04,3.1,3.3,6.33,1.31,92,2.28,1.25,1.07,0.82,3,5.82,1.24,98
L9,1.91,3.19,3.34,6.12,1.34,90,2.23,1.22,0.48,0.64,2.9,5.58,1.17,100
L10,1.91,3.24,3.39,6.08,1.31,85,2.2,1.2,0.56,0.63,2.8,5.54,1.05,98
L11,1.9,3.29,3.39,5.63,1.33,84,2.35,1.17,0.45,0.65,2.9,5.53,1.06,97
L12,1.78,3.41,3.42,5.57,1.2,86,2.28,1.02,0.35,0.45,2.9,5.35,1.07,98
L13,1.72,3.44,3.46,5.44,1.23,85,2.31,1.02,0.2,0.28,3,5,1.05,94
L14,1.77,3.56,3.46,5.41,1.11,84,2.21,1.02,0.31,0.28,3.1,4.56,1.02,91
L15,1.74,3.56,3.43,5.17,1.2,82,2.27,1.07,0.75,0.54,3.2,4.22,1.06,90
L16,1.67,3.6,3.55,5.22,1.25,76,1.89,1.15,0.51,0.51,3.55,4.05,1.18,88
L17,1.65,3.63,3.62,4.88,1.23,73,1.93,1.04,0.84,0.46,3.7,3.9,1.18,84
Ca1,1.66,3.56,3.65,4.64,1.22,70,1.83,1.05,0.84,0.52,3.6,3.67,1.18,82
Ca2,1.64,3.61,3.65,4.67,1,63,1.66,1.08,0.79,0.53,3.55,3.62,1.41,83
Ca3,1.69,3.54,3.63,4.08,1.13,69,1.49,1.09,0.8,0.52,3.4,3.33,1.42,81
Ca4,1.65,3.6,3.57,3.18,1.17,74,1.46,1.1,0.86,0.62,3.1,3.05,1.41,79
Ca5,1.7,3.63,3.54,3.08,1.19,70,1.19,1.06,1.01,0.6,3.05,2.83,1.23,77
Ca6,1.7,3.66,3.53,2.7,0.83,78,0.89,1.02,1.04,0.63,2.7,2.4,1.32,74
Ca7,1.74,3.54,3.59,2.08,1.08,81,0.81,1.01,1.1,0.61,2.3,2.2,1.35,76
Ca8,1.75,3.57,3.64,1.88,0.97,88,0.63,0.91,1.05,0.7,2.15,1.7,1.13,74
Ca9,1.81,3.4,3.59,1.33,1.24,85,0.78,0.9,0.7,0.64,1.7,1.21,1.12,68
Ca10,1.84,3.2,3.6,1.38,1.08,113,0.58,1,0.66,0.73,1.55,0.74,0.91,63
Ca11,1.95,3.09,3.55,1.21,1.13,117,0.49,1.22,0.69,0.79,1.1,0.42,0.91,66
Ca12,2.01,2.99,3.58,1.04,1.25,123,0.3,1.25,0.65,0.59,0.85,0,0,NA
Ca13,2.01,2.81,3.43,0.4,0.93,122,0.37,1.36,0.72,0.53,0.7,0,0,NA
Ca14,2.01,2.7,3.31,0.23,0.77,103,0.37,0.83,0.54,0.51,0.45,0,0,NA
Ca15,1.88,2.62,3.09,0,0,NA,0.27,0.63,0.34,0.37,0.35,0,0,NA
Ca16,1.71,2.64,2.84,0,0,NA,0,0,0,0,NA,0,0,NA
Ca17,1.23,2.73,2.65,0,0,NA,0,0,0,0,NA,0,0,NA
