Stenella_attenuata_(USNM_395390),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1,3.31,2.59,2.76,0.63,120,2.26,0.88,0,0,NA,1.76,0.72,68
T2,1.41,3,2.55,3.67,0.7,123,2.11,1.15,0,0,NA,1.85,0.83,77
T3,1.84,2.77,2.44,4.33,0.8,123,2.19,1.17,0,0,NA,1.84,1.01,86
T4,2.12,2.77,2.44,4.5,0.97,125,2.17,1.11,0.39,0.34,1.95,1.83,1.19,98
T5,2.32,2.7,2.5,4.81,1.09,124,2.1,1.17,0.83,0.53,2.4,1.98,1.26,103
T6,2.53,2.67,2.49,4.72,1.19,122,2.02,1.09,1.18,0.6,2.5,2.06,1.41,98
T7,2.57,2.65,2.57,4.74,1.3,120,2.09,1.28,1.46,0.62,2.6,2.22,1.4,102
T8,2.67,2.68,2.66,5.08,1.31,119,2.05,1.44,1.5,0.67,2.7,2.66,1.41,101
T9,2.77,2.73,2.71,5.2,1.39,117,2.09,1.54,1.38,0.8,2.85,3.06,1.46,99
T10,2.83,2.78,2.78,5.63,1.49,114,2.06,1.33,1.18,0.81,2.95,3.47,1.48,97
T11,2.9,2.84,2.77,5.78,1.53,112,2.04,1.43,1.18,0.79,3.1,3.76,1.41,94
T12,2.89,2.91,2.78,5.9,1.6,113,1.92,1.59,1.4,0.89,3.2,4.16,1.53,96
T13,2.88,2.87,2.81,6.03,1.71,114,1.9,1.59,1.45,0.81,3.2,4.76,1.67,102
T14,2.82,2.94,2.85,6.04,1.77,118,1.81,1.48,1.46,0.71,3.25,5.7,1.76,104
T15,2.79,2.96,2.8,6.56,1.57,111,1.74,1.53,1.49,0.6,3.3,7.15,1.57,106
L1,2.69,3.04,2.82,7.03,1.43,110,1.85,1.45,1.18,0.67,3.25,7.51,1.34,104
L2,2.65,3.11,2.94,7.25,1.37,103,1.96,1.45,1.19,0.58,3.2,7.62,1.29,101
L3,2.55,3.13,2.95,7.32,1.35,97,1.99,1.44,1.16,0.52,3,7.71,1.31,98
L4,2.48,3.23,2.96,7.13,1.31,94,2.11,1.59,1.25,0.55,3.05,7.35,1.39,94
L5,2.5,3.25,3.1,7.23,1.26,92,2.06,1.36,0.44,0.58,2.6,7.38,1.46,94
L6,2.4,3.17,3.18,7.37,1.34,92,2.03,1.48,0.43,0.69,2.4,7.19,1.41,92
