Steno_bredanensis_(USNM_504462),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.18,3.56,2.79,NA,NA,NA,2.59,NA,0,0,NA,1.37,1.01,76
T2,1.56,3.48,2.74,4.7,1.11,122,2.66,1.19,0,0,NA,1.58,1.08,94
T3,1.98,3.26,2.66,5.71,1.08,126,2.72,1.61,0,0,NA,1.69,1.17,98
T4,2.17,3.15,2.53,5.87,1.24,129,2.66,1.45,0,0,NA,1.76,1.29,97
T5,2.29,3.08,2.62,6.21,1.53,134,2.77,1.2,0,0,NA,2.25,1.5,99
T6,2.51,3.06,NA,6.66,1.31,132,2.48,1.03,0.3,0.4,2.25,2.09,1.4,102
T7,2.63,3.15,2.79,6.92,1.24,130,2.27,0.9,1.06,0.59,2.55,2.56,1.15,100
T8,2.8,3.25,2.86,7.46,1.27,128,2.26,1.18,1.31,0.74,2.7,3.34,1.47,100
T9,2.89,3.33,2.91,7.73,1.43,125,2.32,1.45,1.37,0.66,2.65,4.09,1.29,98
T10,2.96,3.55,2.84,8.27,1.69,122,2.3,1.63,0.7,0.5,3,4.38,1.48,100
T11,2.86,3.59,2.92,8.8,1.64,116,2.36,1.95,1.75,0.64,3.45,6.95,1.63,98
T12,2.83,3.69,2.99,9,1.55,114,2.39,1.9,1.37,0.51,3.4,8.14,1.66,100
L1,2.75,3.56,2.99,9.29,1.34,109,2.13,1.69,0.94,0.65,3.25,8.1,1.42,100
L2,2.76,3.67,3.05,9.42,1.45,106,2.31,1.72,0.56,0.56,2.95,7.96,1.36,102
L3,2.71,3.69,3.1,9.41,1.41,102,2.22,1.65,0.51,0.71,3.15,7.96,1.42,100
L4,2.66,3.73,3.06,9.41,1.36,98,2.25,1.42,0.52,0.61,3.15,7.52,1.47,99
L5,2.63,3.86,3.11,9.22,1.27,96,2.3,1.35,0.51,0.69,3.25,7.22,1.41,97
L6,2.57,3.78,3.33,9.38,1.26,88,2.42,1.29,0.39,0.6,3.25,6.8,1.47,97
L7,2.58,3.78,3.34,9.49,1.2,86,2.19,1.36,0.36,0.67,3.4,6.6,1.53,98
L8,2.62,3.93,3.43,9.31,1.38,85,2.23,1.31,0.22,0.51,3.35,6.48,1.42,98
L9,2.6,4.02,3.4,9.07,1.42,84,2.2,1.3,0,0,NA,6.36,1.29,99
L10,2.59,4.23,3.29,8.66,1.34,82,2.24,1.34,0,0,NA,6.37,1.34,97
L11,2.63,4.28,3.41,8.68,1.32,82,2.15,1.37,0.28,0.6,3,6.11,1.36,94
L12,2.67,4.28,3.49,8.39,1.44,81,2.22,1.32,0,0,NA,5.89,1.3,93
L13,2.64,4.46,3.55,8.17,1.32,80,2.25,1.3,0,0,NA,5.66,1.32,89
L14,2.7,4.32,3.71,7.93,1.51,80,2.16,1.4,0.28,0.5,3.9,5.23,1.22,88
Ca1,2.73,4.34,3.88,7.21,1.48,81,2.34,1.33,0.34,0.32,3.35,4.93,1.4,87
Ca2,2.79,4.32,3.91,7.13,1.75,80,2.25,1.33,0.64,0.5,4.05,4.54,1.55,87
Ca3,2.82,4.37,4.12,6.84,1.77,77,2.07,1.41,0.92,0.58,4.1,4.51,1.64,87
Ca4,2.91,4.37,4.11,6.6,1.88,75,2.14,1.37,0.8,0.54,4.05,4.26,1.69,85
Ca5,2.91,4.47,4.09,6.11,1.75,74,1.98,1.39,1.16,0.56,4.25,4.1,1.67,85
Ca6,2.96,4.46,4.09,5.84,1.76,72,1.88,1.47,1.27,0.48,4.25,3.68,1.91,82
Ca7,2.99,4.62,4.05,5.3,1.8,82,1.8,1.4,1.17,0.45,3.95,3.23,1.97,78
Ca8,2.99,4.55,4.02,4.69,1.74,88,1.61,1.55,1.51,0.44,3.75,2.69,2.08,77
Ca9,3.08,4.67,4.09,4.69,1.88,94,1.32,1.67,1.28,0.42,3.4,2.49,1.94,76
Ca10,3.18,4.43,4.24,4.29,1.61,96,1.32,1.71,1.3,0.48,3,2.01,1.91,78
Ca11,3.21,4.4,4.19,3.94,1.63,99,1.1,1.62,1.35,0.56,2.5,1.55,1.76,79
Ca12,3.21,4.36,4.2,3.37,1.57,106,1.07,1.72,1.27,0.47,2.2,1.13,1.8,77
Ca13,3.23,4.16,4.25,3.12,1.39,108,0.89,1.81,1.11,0.69,2.1,0.79,1.95,80
Ca14,3.29,3.95,4.23,2.83,1.6,110,0.8,1.87,0.89,0.61,1.85,0.56,1.61,87
Ca15,3.31,3.79,4.24,2.42,1.7,111,0.66,2.03,0.92,0.73,1.45,0,0,NA
Ca16,3.35,3.48,4.27,2.01,1.7,112,0.51,2.02,0.74,0.63,1.25,0,0,NA
Ca17,3.33,3.2,4.15,1.38,1.51,113,0.46,2.11,0.63,0.43,0.8,0,0,NA
Ca18,3.29,3.11,4.06,0.81,1.6,112,0.31,2.08,0.41,0.3,0.4,0,0,NA
Ca19,3.12,3,3.86,0.38,1.45,100,0.31,1.9,0.19,0.28,0.35,0,0,NA
Ca20,2.49,3.04,3.37,0,0,NA,0.19,1.55,0,0,NA,0,0,NA
Ca21,1.76,3.12,3.05,0,0,NA,0,0,0,0,NA,0,0,NA
