Stenella_coeruleoalba_(USNM_504350),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.95,4.21,3.03,2.88,0.73,116,2.14,0.8,0,0,NA,2.59,0.75,65
T2,1.44,4.15,2.87,3.35,0.83,120,2.17,1.48,0,0,NA,2.96,0.88,84
T3,1.92,3.78,3.08,3.52,0.91,123,2.07,1.54,0,0,NA,3,1.41,83
T4,2.23,3.67,3.16,3.81,0.96,121,2.29,1.47,0.69,0.47,2.65,3.3,1.63,94
T5,2.51,3.49,3.23,4.34,1.11,120,2.31,1.34,1.04,0.6,2.8,3.54,1.61,100
T6,2.71,3.47,3.25,4.51,1.28,120,2.37,1.24,1.38,0.74,3,3.52,1.57,107
T7,2.84,3.55,3.39,4.76,1.49,117,2.29,1.31,1.82,0.68,3.1,3.92,1.64,108
T8,2.95,3.59,3.45,5.86,1.45,116,2.19,1.46,1.68,0.9,3.55,4.52,1.65,102
T9,3.07,3.57,3.48,6.43,1.52,114,1.99,1.64,1.61,1.06,3.75,5.11,1.69,100
T10,3.08,3.65,NA,6.94,1.44,112,2.02,1.53,1.97,0.9,3.75,5.58,1.99,96
T11,3.11,3.77,3.47,7.23,1.51,112,2.04,1.6,1.86,0.97,3.9,6.3,1.77,98
T12,3.06,3.83,3.54,7.56,1.48,113,2.11,1.51,2.13,0.99,4.15,6.91,1.8,98
T13,2.93,3.85,3.68,7.83,1.57,112,2.09,1.65,2.2,0.88,4.2,7.89,1.69,100
T14,2.85,3.85,3.78,8.36,1.49,108,2.09,1.51,2.08,0.81,4.3,9.28,1.64,105
T15,2.73,3.87,3.68,8.59,1.47,108,2.12,1.64,1.88,0.74,3.9,10.83,1.43,106
L1,2.65,3.93,3.69,8.58,1.4,105,2.19,1.54,1.6,0.65,3.9,10.58,1.17,105
L2,2.49,3.94,3.64,8.88,1.38,100,2.18,1.5,1.63,0.62,4,10.16,1.09,101
L3,2.44,4.08,3.63,8.95,1.28,99,2.13,1.47,1.38,0.53,3.85,10.23,1.12,96
L4,2.36,4,3.73,9.02,1.19,96,2.3,1.37,0.68,0.69,3.5,10.13,1.07,92
L5,2.28,3.95,3.88,9.02,1.2,96,2.21,1.51,1.21,0.52,3.7,10.11,1.25,87
L6,2.22,4,3.89,9.09,1.18,95,2.22,1.44,1.27,0.76,3.6,9.66,1.15,83
L7,2.2,4.01,3.89,8.98,1.16,94,2.18,1.48,0.84,0.66,3.45,9.56,1.14,83
