Sotalia_fluviatilis_(USNM_571558),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.23,3.02,2.47,2.57,1.02,105,2.38,1.01,0,0,NA,1.95,0.97,80
T2,1.75,2.68,2.34,3.43,1.22,108,2.45,1.21,0,0,NA,1.75,1.12,95
T3,2.31,2.41,2.36,3.53,1.15,112,2.59,1.23,0,0,NA,1.76,1.43,100
T4,2.68,2.39,2.3,3.83,1.53,109,2.44,1.04,0.33,0.54,2.6,1.67,1.66,103
T5,2.92,2.37,2.32,3.92,1.5,105,2.45,1.14,0.98,0.66,2.6,2.01,1.66,100
T6,2.92,2.42,2.37,4.03,1.48,100,2.3,1.25,1.47,0.68,2.75,2.11,1.82,98
T7,2.97,2.45,2.44,4.47,1.47,98,2.45,1.42,1.44,0.83,2.75,2.17,1.86,98
T8,2.97,2.56,2.5,4.81,1.59,99,2.37,1.73,1.44,0.9,2.9,2.46,1.78,99
T9,3.04,2.71,2.51,5.03,1.55,103,2.5,1.53,1.23,0.85,2.9,2.75,1.87,101
T10,3.07,2.77,2.54,5.09,1.75,105,2.53,1.65,1.54,0.92,3.1,3.09,2.04,98
T11,3.05,2.74,2.59,5.46,1.61,109,2.44,1.69,1.52,0.8,3.2,4.12,2.12,98
T12,3.09,2.86,2.59,5.87,1.51,113,2.42,1.68,1.64,0.86,3.2,4.96,1.84,99
L1,2.94,2.94,2.65,6.72,1.62,108,2.64,1.46,1.54,0.8,3.4,6.49,1.8,95
L2,2.91,2.95,2.67,6.89,1.52,103,2.69,1.51,1.4,0.73,3.7,6.56,1.81,93
L3,2.85,2.96,2.71,6.88,1.5,103,2.64,1.44,1.3,0.77,3.6,6.62,1.8,91
L4,2.93,3.04,2.9,6.92,1.49,104,2.71,1.33,1.1,0.75,3.6,6.78,1.81,88
L5,2.86,3.12,3,6.88,1.41,103,2.57,1.37,1.17,0.75,3.85,6.57,1.69,90
L6,2.86,3.07,3.06,6.43,1.48,101,2.52,1.5,1.14,0.89,3.8,6.53,1.67,87
L7,2.84,3,2.99,6.47,1.62,101,2.52,1.41,1.01,0.96,3.9,6.37,1.62,84
L8,2.85,3.14,3.02,6.27,1.57,95,2.37,1.42,0.64,1.07,3.8,6,1.52,85
L9,2.89,3.13,3.13,6.36,1.41,84,2.42,1.34,0.35,0.57,3.8,5.85,1.45,86
L10,3,3.21,3.21,6.08,1.48,82,2.51,1.31,0.43,0.56,3.65,5.45,1.42,88
L11,2.98,3.23,3.31,5.86,1.56,80,2.45,1.33,0.7,0.7,4.3,5.09,1.4,86
L12,2.97,3.31,3.22,5.58,1.54,80,2.27,1.45,0.85,0.6,4.25,4.73,1.56,87
Ca1,2.98,3.34,3.41,5.03,1.52,78,2.29,1.45,1.06,0.61,4.6,4.53,1.84,84
Ca2,3.08,3.39,3.43,4.79,1.45,75,2.3,1.39,1.08,0.67,4.5,4.19,2.2,82
Ca3,2.97,3.47,3.57,4.83,1.43,70,2.09,1.43,1.08,0.6,4.35,4.2,2.02,82
Ca4,2.97,3.44,3.51,4.45,1.46,73,1.94,1.55,1.12,0.72,3.95,3.8,2.27,78
Ca5,3.01,3.51,3.67,4.55,1.54,73,1.49,1.58,1.08,0.71,3.5,3.72,2.57,78
Ca6,3.11,3.57,3.67,4.33,1.66,77,1.28,1.71,1.1,0.62,3.1,3.16,2.35,74
Ca7,3.17,3.64,3.62,4.47,1.65,81,0.95,1.7,0.95,0.63,2.8,2.52,2.83,72
Ca8,3.16,3.6,3.79,4.29,1.74,89,0.76,1.89,1,0.68,2.4,1.85,2.21,69
Ca9,3.16,3.46,3.78,3.54,1.8,97,0.67,1.98,1.04,0.66,2,1.03,1.55,63
Ca10,3.15,3.34,3.79,2.95,1.61,105,0.56,2.08,0.99,0.67,1.6,0.62,1.23,63
Ca11,3.06,3.23,3.86,2.29,1.93,113,0.48,2.06,0.48,0.45,1.15,0,0,NA
Ca12,3.05,3.13,3.97,1.71,1.63,119,0.4,2.11,0.3,0.32,0.55,0,0,NA
Ca13,3.04,2.98,3.72,1.14,2.02,114,0.31,1.79,0.24,0.31,0.3,0,0,NA
Ca14,2.73,2.95,3.37,0,0,NA,0,0,0,0,NA,0,0,NA
Ca15,2.15,3.05,3.26,0,0,NA,0,0,0,0,NA,0,0,NA
