Stenella_frontalis_(USNM_22017),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.25,3.67,2.91,2.76,0.8,125,2.36,0.99,0,0,NA,2.28,0.87,85
T2,1.62,3.51,2.95,3.59,0.78,124,2.55,1.22,0,0,NA,2.28,1.07,92
T3,1.97,3.38,2.78,3.81,1.04,122,2.77,1.15,0,0,NA,2.37,1.25,93
T4,2.29,3.4,2.86,4.04,1.24,122,2.83,1.11,0.32,0.34,2.45,2.37,1.53,98
T5,2.59,3.22,2.93,4.01,1.25,118,2.77,1.18,0.93,0.59,2.6,2.72,1.53,103
T6,2.67,3.26,3.09,4.45,1.26,117,2.7,0.89,0.92,0.58,2.9,2.86,1.6,103
T7,2.77,3.34,3.17,4.75,1.37,120,2.6,1.19,1.15,0.7,2.9,3.16,1.81,98
T8,2.87,3.42,3.26,5.22,1.32,120,2.53,1.54,1.16,0.76,3.1,3.41,1.77,94
T9,2.9,3.46,3.28,5.57,1.42,123,2.51,1.59,1.2,0.8,3.4,4.1,1.74,92
T10,2.93,3.62,3.27,5.71,1.61,121,2.54,1.79,1.15,0.93,3.7,4.56,1.66,97
T11,2.88,3.67,3.31,6.08,1.68,121,2.48,1.75,1.45,0.87,3.9,5.28,1.59,96
T12,2.88,3.68,3.37,6.51,1.8,119,2.52,1.92,1.51,0.89,4.2,6.4,1.74,95
T13,2.85,3.74,3.42,6.66,1.76,117,2.45,1.81,1.43,0.89,4.1,7.65,1.98,102
T14,2.76,3.63,3.43,7.29,1.85,111,2.36,1.76,1.61,0.69,4.05,9.5,1.63,107
L1,2.72,3.84,3.46,7.59,1.65,105,2.46,1.71,1.19,0.59,3.8,8.85,1.38,102
L2,2.74,3.67,3.56,8.25,1.61,97,2.35,1.7,1.68,0.67,4.05,9.15,1.39,102
L3,2.59,3.74,3.58,8.62,1.48,99,2.47,1.72,1.34,0.57,4.15,8.95,1.39,99
L4,2.58,3.8,3.72,8.71,1.48,100,2.55,1.62,1.34,0.48,4.2,8.93,1.47,97
L5,2.53,3.83,3.7,8.71,1.42,97,2.54,1.57,1.29,0.45,4.1,8.7,1.44,95
