Stenella_longirostris_(PEM_N1278),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.31,4.15,3.05,3.6,1.12,125,1.86,1.44,0,0,NA,2.27,2.11,80
T2,1.6,3.6,2.83,4.37,0.88,128,2.06,1.59,0,0,NA,2.1,1.53,90
T3,1.9,3.26,2.94,4.79,0.9,127,2.27,1.85,0,0,NA,1.98,1.68,90
T4,2.37,3.12,2.93,5.39,1.2,124,2.28,1.64,1,0.69,2.4,2.55,1.63,95
T5,2.68,3.12,3.04,5.38,1.48,125,2.13,1.39,1.04,0.56,2.4,2.79,1.92,95
T6,2.88,3.44,3.16,5.52,1.43,125,2.2,1.65,1.24,0.72,2.6,3.28,1.79,90
T7,2.96,3.25,3.18,5.86,1.48,125,2.24,1.59,1.47,0.68,2.7,3.53,1.7,95
T8,3.1,3.12,3.18,6.73,1.74,122,2.18,1.51,1.64,1.17,2.9,3.79,1.85,95
T9,3.21,3.3,3.26,6.84,1.94,120,2.17,1.69,2,1.08,3.3,4.36,2.05,95
T10,3.3,3.41,3.27,6.71,2,120,2.31,1.7,2.06,1.15,3.5,4.76,2.1,95
T11,3.31,3.43,3.24,7.05,2.21,120,2.25,1.93,1.73,1.07,3.8,5.21,2.1,95
T12,3.21,3.56,3.25,7.51,2.02,120,2.32,2.04,1.98,0.99,4.1,5.9,2.05,96
T13,3.16,3.54,3.36,7.52,1.91,116,2.36,1.99,NA,NA,NA,7.06,2.1,100
T14,3.08,3.67,3.47,7.91,2.02,110,2.31,1.89,1.93,0.8,4.15,8.46,1.92,102
T15,2.98,3.67,3.48,7.95,2.02,100,2.31,1.66,1.26,0.78,4.1,8.57,1.72,102
L1,2.76,3.81,3.4,8.67,1.62,100,2.34,1.78,1.45,0.65,4.3,8.33,1.63,98
L2,2.67,3.86,3.5,8.99,1.6,102,2.56,1.7,1.31,0.87,4.2,8.43,1.65,94
L3,2.59,3.94,3.63,9.22,1.57,100,2.44,1.56,1.35,0.64,4.3,8.59,1.68,90
L4,2.58,4.03,3.52,9.08,1.64,97,2.54,1.52,1.22,0.65,4.3,8.44,1.68,90
L5,2.42,3.97,3.74,8.96,1.67,95,2.54,1.74,1.08,0.65,4.2,7.96,1.55,90
L6,2.41,3.97,3.69,9.33,1.6,93,2.35,1.58,0.7,0.63,4,8.07,1.54,96
L7,2.25,3.14,3.6,9.4,1.51,92,2.37,1.6,0.44,0.64,3.9,7.9,1.46,98
L8,2.24,4.09,3.57,9.35,1.61,89,2.36,1.73,0.34,0.66,3.8,7.68,1.44,90
L9,2.26,4.17,3.72,9.27,1.5,88,2.42,1.58,0.27,0.8,3.8,7.54,1.42,88
L10,2.26,4.07,3.53,9.39,1.43,85,2.21,1.6,0.43,0.66,4,7.34,1.32,85
L11,2.21,4.08,3.72,9.37,1.6,82,2.17,1.51,0,0,NA,7.29,1.19,82
L12,2.23,4.21,3.88,9.11,1.55,81,2.32,1.55,0,0,NA,7.08,1.1,80
L13,2.23,4.05,3.87,8.89,1.57,80,2.35,1.44,0,0,NA,7.05,1.06,78
L14,2.21,4.14,4.11,8.97,1.49,76,2.25,1.33,0,0,NA,6.75,1,72
L15,2.23,4.13,3.9,9.13,1.58,75,2.1,1.47,0,0,NA,6.96,1.05,73
L16,2.2,4.24,4.07,8.52,1.48,72,2.16,1.42,0,0,NA,6.86,1.14,70
L17,2.17,4.16,3.82,8.44,1.5,75,2.06,1.38,0,0,NA,6.48,0.99,70
L18,2.22,4.14,3.97,8.38,1.42,75,2.04,1.32,0.34,0.27,4.95,6.53,1.04,70
L19,2.27,4.13,3.95,8.48,1.39,73,1.91,1.36,1,0.73,5.2,6.22,1.11,72
L20,2.21,4.14,4.05,8.36,1.47,73,1.81,1.38,0.26,0.22,4.9,6.06,1.1,70
Ca1,2.28,4.17,4.12,2.85,1.45,70,1.96,1.51,0.92,0.68,5.6,5.75,1.22,68
Ca2,2.43,4.2,4.19,2.87,1.55,72,1.74,1.55,0.71,0.51,5.5,5.71,1.14,70
Ca3,2.45,4.28,4.18,7.64,1.55,68,1.89,1.6,1.14,0.64,5.5,5.72,1.09,70
Ca4,2.46,4.46,4.47,7.16,1.64,66,1.98,1.74,1.04,0.59,5.3,5.4,1.18,68
