Sousa_plumbea_(PEM_N1593),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.05,3.79,3.43,4.37,1.41,112,2.7,1.56,0,0,NA,2.46,1.74,65
T2,2.8,3.69,3.21,5.01,1.43,112,2.55,2.12,0,0,NA,1.98,1.8,75
T3,3.22,3.56,3.22,5.19,1.91,110,3.02,1.6,0.61,0.66,2.8,2.1,1.86,90
T4,3.68,3.45,3.16,5.38,1.87,108,3.27,1.38,1.02,1.19,3.2,2.62,1.97,100
T5,4.04,3.3,3.22,5.73,2.11,107,3.32,1.36,1.41,1.11,4.8,2.31,1.92,105
T6,4.08,3.37,3.43,5.52,2.58,106,3.24,1.68,1.98,1.15,3.9,2.58,2.22,110
T7,4.3,3.53,3.56,6.14,2.58,102,3.31,2,2.18,1.05,4,3.25,2.46,105
T8,4.58,3.71,3.62,6.99,2.63,104,3.34,2.33,1.96,2.28,4.1,3.23,2.31,97
T9,4.57,4.01,3.62,7.73,2.89,110,3.3,2.57,2.14,1.37,4.25,3.89,2.62,90
T10,4.56,4.05,3.62,8.1,2.91,112,3.04,2.59,2.25,1.15,4.6,4.97,2.92,95
T11,4.53,4.08,3.7,8.81,2.66,107,3.21,2.34,2.35,1.26,4.7,6.05,2.96,97
T12,4.45,4.05,3.8,9.3,2.29,99,3.13,2.29,2.19,1.2,4.7,7.37,3.04,100
L1,4.41,4.04,3.88,9.27,2.6,93,3.33,2.33,1.94,1.23,4.85,8.87,3.15,100
L2,4.45,4.03,4.02,9.36,2.41,92,3.7,2.24,1.79,1.22,4.85,9.08,2.74,95
L3,4.3,4.08,4.34,9.25,2.7,92,3.55,2.12,1.33,1.4,5,9.58,2.72,90
L4,4.31,4,4.09,9.39,2.53,90,3.34,2.09,1.53,1.38,4.9,9.39,3.1,88
L5,4.4,4,4.27,9.33,2.48,90,3.4,2.06,1.21,1.17,5.1,9.52,2.76,90
L6,4.38,4.37,4.34,9.15,2.5,88,3.77,1.99,0.8,0.87,4.85,9.62,2.73,85
L7,4.41,4.37,4.41,8.94,2.4,86,3.79,1.99,0.61,0.67,5.1,9.03,2.98,78
L8,4.17,4.46,4.77,8.74,2.56,84,3.72,1.97,0.75,0.6,5.5,9.03,2.6,78
L9,4.55,4.52,4.84,8.62,2.84,85,3.82,1.96,0.98,0.84,5.7,8.67,2.77,75
Ca1,4.78,4.6,4.9,8.04,2.69,90,3.94,2.02,1.38,0.79,6.3,8.06,3.29,77
Ca2,4.84,4.7,5.22,7.42,2.8,84,3.72,2.21,1.73,1.13,6.8,7.98,3.24,75
Ca3,4.62,4.87,4.99,7.27,2.86,81,3.23,2.37,1.65,1.28,7.2,7.55,3.9,76
Ca4,4.96,4.95,5.04,7.05,2.77,82,3.11,2.36,1.67,1.27,7.3,7,4.24,80
Ca5,4.94,5.13,5.07,6.83,2.77,80,3.14,2.57,1.52,1.19,7,6.46,4.38,80
Ca6,5.03,5.28,5.06,6.69,2.83,80,2.31,2.64,1.42,1.09,6.4,6.17,4.2,83
Ca7,5.03,5.35,5.1,6.43,2.94,80,2.05,2.48,1.27,1.28,5.6,5.6,3.88,78
Ca8,5.27,5.15,5.15,6.27,3.19,83,1.53,2.4,1.35,1.19,5,4.8,3.36,70
Ca9,5.24,4.94,5.24,5.48,3.48,92,1.17,2.73,1.17,1.01,4,4.31,3.01,73
Ca10,5.45,4.63,5.27,5,3.41,95,0.93,2.99,1.15,1.11,3.25,2.54,2.1,75
Ca11,5.57,4.38,5.42,3.67,3.56,98,0.86,2.88,0.91,1.03,2.5,0.9,1.76,80
Ca12,5.57,3.94,5.2,2.63,3.58,103,0.75,2.83,0.86,0.85,1.6,0,0,NA
Ca13,5.3,3.68,4.73,1.16,2.64,105,0.57,3.16,0.84,0.63,0.8,0,0,NA
Ca14,4.42,3.85,4.28,0,0,NA,0.61,1.74,0,0,NA,0,0,NA
