Ziphius_cavirostris_(RBINS_1504),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.42,8.44,7.1,6.62,3.01,90,6.5,3,0,0,NA,5.49,2.84,110
T2,4.7,7.85,7,14.81,3.98,105,6.8,4.15,1.01,0.94,5.5,5.63,2.71,100
T3,5.92,6.59,6.6,17.9,4.4,105,6.7,5.94,1.72,1.04,6,5.35,4.34,95
T4,7.05,7,6.3,19.8,4.88,110,6.5,5.17,2.23,1.61,6.3,5.44,4.22,90
T5,7.51,6.7,6.42,21.9,5.97,110,6.5,4.56,2.02,1.69,6,5.71,3.94,80
T6,8.23,7.3,6.32,22.7,5.86,110,6.5,4.67,2.53,2.25,6.5,6.06,4.5,85
T7,9.74,7.78,6.83,25,5.97,115,6.5,4.85,6.39,3.76,7.8,0,0,NA
T8,10.28,8.58,6.89,25,6.6,115,5.8,5.69,7.26,4.63,8.5,7.26,6.94,90
T9,10.69,8.99,7.51,26.2,6.75,115,5.5,5.8,7.41,4.92,8.45,10.37,7.61,90
T10,11.16,9.51,7.98,26.3,7.56,115,5.3,6.05,6.86,4.47,8.35,14.47,7.88,90
L1,11.66,10.13,9.3,27,7.88,115,4.5,5.88,6.2,3.68,7.85,13.9,7.06,72
L2,11.89,10.84,9.23,27.2,8.18,110,4.5,5.74,6.95,3.32,7.6,14.25,6.33,65
L3,12.43,10.53,9.39,28.2,8.32,105,4.4,5.8,6.55,3.2,7.4,13.71,6.25,65
L4,12.87,10.84,9.92,29,8.17,100,4,6.09,5.55,3.6,7.55,13.81,6.45,60
L5,13.14,10.66,10.26,29.3,8.13,103,3.5,6.15,5.35,3.45,8.1,13.95,6.49,60
L6,13.74,10.78,10.05,29.9,8.14,105,3.2,6.3,5.37,3.85,8.05,13.88,6.46,60
L7,14.15,11.19,10.7,30,8.42,105,3.1,6.49,4.86,3.92,7.9,12.94,5.86,55
L8,14.72,10.99,10.61,29.95,8.67,102,3.5,6.76,4.35,4.13,8.1,12.11,6.02,55
L9,15.12,11.4,10.64,29.8,8.74,100,3.8,7.03,4.42,4.35,7.8,11.74,6.36,57
L10,15.23,11.58,10.61,28.8,8.69,103,3.5,7.86,4.08,4.62,7.75,11.27,7.78,60
L11,15.35,11.81,10.68,27.7,9.05,101,3,8.53,3.72,4.91,7.5,10.73,8.63,65
Ca1,14.75,12.61,11.17,25,9.31,100,2.85,8.59,3.57,3.25,6.8,8.54,8.54,65
Ca2,13.72,12.27,12.1,21.1,9.36,105,2.5,8.53,2.79,3.21,5.5,7.78,6.93,75
Ca3,13.04,11.72,12.56,16.9,9.07,105,2.5,8,2.74,2.73,5.35,6.27,7.13,75
Ca4,12.71,11.52,12.97,13.8,8.45,105,2,7.15,3.68,1.99,5.4,5.11,5.72,75
Ca5,12.19,10.73,12.58,12.3,7.95,110,1.5,6.52,3.08,2.16,4.1,3.82,2.94,55
Ca6,11.71,9.74,12.45,8.7,7.88,110,1,6.35,2.51,2.05,3.5,2.18,2.11,55
Ca7,11.03,8.79,12.17,6.35,8.27,110,0.6,6.86,2.02,1.64,2.2,0.82,1.23,70
Ca8,9.92,8.46,11.25,3.4,7.39,110,0.55,5.36,2.41,1.11,1.3,0,0,NA
Ca9,7.82,8.17,10.45,0.6,2.59,100,0.55,2.64,1.92,0.76,0.5,0,0,NA
Ca10,6.06,8.04,8.59,0,0,NA,0,0,0,0,NA,0,0,NA
