Cephalorhynchus_hectori_(USNM_500864),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.77,2.39,1.93,1.59,0.46,110,1.86,0.66,0,0,NA,1.31,1.07,62
T2,1.03,2.14,1.89,1.97,0.51,115,2.6,0.86,0,0,NA,1.4,0.94,80
T3,1.31,2.04,1.93,2.66,0.64,112,2.5,1.12,0.21,0.18,2.05,1.36,0.98,83
T4,1.5,1.94,1.95,2.83,0.81,116,2.35,0.97,0.42,0.33,2.1,1.57,0.96,92
T5,1.61,1.84,1.91,2.86,0.97,114,2.19,0.95,0.59,0.37,2.1,1.55,0.96,96
T6,1.68,1.9,1.91,3,0.98,117,2.4,0.78,0.56,0.51,2.05,1.42,0.97,99
T7,1.69,1.8,1.93,2.98,0.99,115,2.35,0.82,0.85,0.58,2.15,1.86,0.97,95
T8,1.75,1.99,1.92,3.2,1.09,113,2.05,0.97,0.85,0.65,2.15,2.36,1.2,93
T9,1.82,2.09,1.99,3.28,1.15,112,1.95,1.19,1,0.61,2.3,2.86,1.16,95
T10,1.7,2.15,1.99,3.62,1.06,110,2.05,1.16,0.97,0.67,2.45,3.17,1.11,97
T11,1.68,2.16,2.02,4.1,0.95,110,2,1.04,0.87,0.54,2.5,4.09,1.12,103
T12,1.63,2.18,2.05,4.25,0.95,109,1.95,1.03,0.97,0.6,2.6,5.36,0.97,110
L1,1.59,2.16,2.05,4.53,0.92,109,2.04,0.94,0.94,0.56,2.55,5.56,0.95,111
L2,1.58,2.27,2.1,4.68,0.89,106,2.05,0.91,0.89,0.49,2.55,5.75,0.98,99
L3,1.53,2.32,2.11,4.65,0.78,105,2.01,0.91,0.71,0.46,2.55,5.76,0.99,99
L4,1.5,2.34,2.14,4.74,0.76,105,2.13,0.85,0.7,0.44,2.55,5.77,0.94,100
L5,1.47,2.35,2.22,4.84,0.68,102,1.89,0.86,0.43,0.43,2.45,5.54,0.87,101
L6,1.46,2.34,2.26,4.76,0.72,96,1.93,0.9,0.61,0.49,2.5,5.41,0.88,98
L7,1.38,2.3,2.28,4.76,0.75,93,1.88,0.76,0.55,0.4,2.45,5.14,0.82,100
L8,1.34,2.37,2.35,4.81,0.69,85,1.77,0.87,0.78,0.5,2.6,5.01,0.72,99
L9,1.31,2.39,2.32,4.78,0.69,83,1.79,0.79,0.58,0.54,2.5,4.74,0.73,98
L10,1.34,2.37,2.35,4.7,0.71,82,1.73,0.77,0.33,0.39,2.35,4.32,0.72,98
L11,1.35,2.4,2.34,4.64,0.69,79,1.69,0.78,0.45,0.35,2.4,4.18,0.69,96
L12,1.31,2.42,2.37,4.5,0.7,77,1.71,0.72,0.37,0.4,2.45,3.87,0.69,95
L13,1.31,2.48,2.4,4.35,0.64,76,1.6,0.75,0.44,0.39,2.55,3.62,0.7,95
L14,1.33,2.48,2.38,4.2,0.64,75,1.6,0.73,0.52,0.39,2.6,3.56,0.71,92
L15,1.33,2.58,2.45,4.26,0.63,74,1.53,0.69,0.47,0.35,2.7,3.39,0.71,89
L16,1.31,2.57,2.46,4.08,0.67,72,1.51,0.73,0.42,0.31,2.8,3.2,0.72,87
Ca1,1.24,2.51,2.5,3.8,0.69,68,1.73,0.74,0.41,0.25,NA,3.12,0.72,86
Ca2,1.25,2.66,2.54,3.52,0.72,66,1.59,0.7,0.4,0.22,NA,3.03,0.79,81
Ca3,1.3,2.63,2.52,3.31,0.78,66,1.45,0.71,0.59,0.34,NA,2.82,0.97,80
Ca4,1.3,2.57,2.47,3.14,0.78,63,1.32,0.75,0.6,0.31,NA,2.57,0.91,80
Ca5,1.28,2.62,2.45,2.76,0.99,63,1.25,0.74,0.63,0.37,NA,2.31,0.9,78
Ca6,1.25,2.69,2.52,2.65,0.86,63,1,0.77,0.59,0.35,NA,1.99,0.94,79
Ca7,1.29,2.73,2.52,2.3,0.95,68,0.81,0.75,0.6,0.37,NA,1.79,0.73,77
Ca8,1.32,2.65,2.56,2.03,0.83,74,0.65,0.66,0.68,0.36,NA,1.44,0.77,78
Ca9,1.36,2.7,2.64,1.68,0.8,83,0.61,0.66,0.56,0.43,NA,1.12,0.61,76
Ca10,1.42,2.69,2.69,1.41,0.81,82,0.51,0.78,0.55,0.46,NA,0.64,0.65,75
Ca11,1.49,2.65,2.67,1.07,0.78,83,0.43,0.74,0.5,0.47,NA,0.39,0.64,75
Ca12,1.51,2.57,2.8,0.82,0.71,134,0.34,0.88,0.43,0.46,NA,0.25,0.53,75
Ca13,1.54,2.5,2.73,0.54,0.87,129,0.29,0.97,0.35,0.41,NA,0,0,NA
Ca14,1.53,2.38,2.63,0.36,0.67,120,0.24,0.88,0.26,0.38,NA,0,0,NA
Ca15,1.57,2.28,2.51,0,0,NA,0.26,0.82,0,0,NA,0,0,NA
Ca16,1.51,2.19,2.42,0,0,NA,0,0,0,0,NA,0,0,NA
Ca17,1.38,2.21,2.26,0,0,NA,0,0,0,0,NA,0,0,NA
