Globicephala_melas_(NRM_558264),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.89,8.57,7.05,1.58,1.74,84,6,1.95,0,0,NA,3.63,1.92,73
T2,3.72,8.42,6.61,4.75,2.99,93,6.6,2.68,0,0,NA,5.41,1.82,87
T3,4.71,7.93,6.5,5.24,3.04,98,6.7,2,1.31,1.66,4.5,4.68,3.21,96
T4,5.36,7.72,6.5,6.15,3.56,110,6.7,2.59,1.95,1.32,5,5.17,3.44,95
T5,6.27,7.79,6.33,5.43,3.52,117,7.1,2.57,2.44,1.73,4.6,5.93,3.47,97
T6,6.87,7.81,6.87,5.25,3.36,115,6.8,2.91,2.37,1.73,4.4,6.05,3.56,98
T7,6.97,7.58,6.97,5.69,4.02,111,6.9,3.59,2.43,1.62,4.8,5.87,3.86,95
T8,7.54,7.76,6.9,7.07,4.04,113,6.3,3.54,2.38,1.72,5.3,7.38,4.03,98
T9,7.51,8.01,6.83,9.21,4.4,107,5.7,3.95,2.21,1.55,5.7,8.63,4.02,101
T10,8.06,8.05,6.76,10.89,4.5,105,5.6,4.01,2.14,1.46,6.2,9.52,4.83,108
T11,8.03,8.2,6.98,12.38,4.66,103,5.9,4.01,1.93,1.56,6.5,11.36,4.95,103
L1,8.19,8.41,7.51,13.21,4.86,97,5.9,4.1,1.75,1.16,6.2,13.49,4.66,98
L2,8.43,8.21,7.52,13.76,4.89,93,6.1,3.92,1.37,1.23,6.5,12.91,4.51,90
L3,8.23,8.27,7.96,14.03,4.95,90,6.3,3.88,0.8,0.99,6.3,12.48,4.72,85
L4,8.43,8.06,8.19,14.88,5.03,88,6.5,3.78,0.45,1.18,6.2,13.08,4.56,84
L5,8.48,8.25,8.07,15.2,4.98,87,6.2,3.66,0.77,1.11,6.6,12.45,4.52,86
L6,8.32,8.26,8.36,15.3,4.75,84,5.9,3.62,0.64,1.05,6.4,12.18,4.26,85
L7,8.33,8.36,8.32,15.45,4.95,78,6,3.25,0.65,0.94,6.7,11.8,4.47,87
L8,8.33,8.25,8.57,15.55,4.82,80,6,3.38,0.42,0.64,6.8,11.66,4.4,84
L9,8.41,8.51,8.75,14.6,4.72,82,5.9,3.36,0,0,NA,11.53,4.42,86
L10,8.45,8.72,8.62,14.5,4.73,83,6.2,3.45,0,0,NA,12.07,4.17,90
L11,8.73,9.08,8.62,13.13,4.8,80,6.2,3.55,0,0,NA,11.6,4.28,94
L12,8.42,8.92,8.71,11.91,5.19,78,5.6,3.82,0,0,NA,11.05,4.37,96
L13,8.63,9.07,8.9,11.11,5.58,76,5.7,3.77,0,0,NA,10.27,4.71,100
L14,8.86,8.91,9.3,10.1,5.39,72,5.5,3.94,0,0,NA,9.7,4.33,98
Ca1,8.76,9.01,9.45,10.18,4.65,71,5.25,3.83,0,0,NA,9.1,5.15,92
Ca2,9,9.31,9.31,10.02,4.87,71,4.4,3.93,0,0,NA,9.05,5.12,90
Ca3,9.21,9.62,9.72,9.89,5.07,70,4.3,3.79,0,0,NA,8.34,5.41,85
Ca4,9.06,9.47,9.32,10,5.09,68,3.8,4.08,0,0,NA,7.82,5.05,84
Ca5,9.15,9.6,9.31,10.25,4.66,70,3.7,3.91,0,0,NA,6.97,5.43,86
Ca6,9.3,9.75,9.57,10.1,4.78,76,3.5,4,0,0,NA,6.32,5.03,87
Ca7,9.28,9.57,9.74,9.34,4.95,77,3.1,4.15,0.75,1.32,7.9,5.71,5.12,88
Ca8,9.19,9.78,9.66,7.79,4.81,80,2.8,4.04,0.67,1.59,7,4.91,4.47,82
Ca9,9.2,9.58,9.8,6.89,4.68,80,2.7,4.23,0.93,1.49,6.1,4.84,3.74,80
Ca10,8.95,9.63,9.74,6.91,4.02,105,2.4,3.85,1.12,1.96,6,3.08,3.17,78
Ca11,8.74,9.18,9.91,6.44,3.89,114,2,4.21,1.63,2.88,4.6,2.2,2.86,78
Ca12,8.3,8.95,9.87,5.25,4.25,122,1.7,3.95,1.47,2.1,3.6,1.52,2.24,85
Ca13,7.97,8.22,10.19,5.22,4.12,135,1.4,3.92,1.51,1.67,3.1,1.07,2.2,90
Ca14,7.98,7.66,10.28,3.36,3.47,147,1.1,3.81,1,1.49,2.5,0,0,NA
Ca15,7.38,6.92,9.75,2.87,3.34,143,0.95,3.93,1.04,1.28,1.4,0,0,NA
Ca16,6.42,6.48,8.56,1.03,2.67,123,0.7,3.68,0.68,1.09,0.7,0,0,NA
Ca17,5.34,6.58,7.98,0,0,NA,0.75,2.61,0,0,NA,0,0,NA
Ca18,4.04,6.41,6.68,0,0,NA,0,0,0,0,NA,0,0,NA
