Inia_geoffrensis_(MNHN_A61),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.96,4.49,3.35,6.04,2.41,90,2,0.66,0.8,0.95,2,0.79,1.44,75
T2,2.25,4.21,3.51,6.89,2.48,90,2,0.75,0.9,1.07,2,0.81,1.65,75
T3,2.51,3.99,3.44,7.88,2.68,90,2,1.01,1.3,0.73,1.96,1.2,2.06,85
T4,2.59,3.95,3.51,8.05,2.58,85,2,1.35,1.27,0.67,1.78,1.3,2.1,90
T5,2.84,3.96,3.69,8.33,3.14,88,2,1.78,1.35,0.6,1.73,1.12,1.83,95
T6,3.31,3.9,3.68,8.45,3.4,82,2,1.85,1.46,0.72,1.56,0.76,2,95
T7,3.52,3.91,3.5,9.03,3.68,81,1.98,1.91,1.9,1.06,2.06,0.69,2.05,100
T8,3.88,3.98,3.55,8.91,3.59,85,2.1,2.72,1.76,1.18,1.8,0.47,2.05,100
T9,3.82,3.94,3.69,8.6,4.01,88,2.1,3.23,1.79,0.91,2.05,0.96,2.04,110
T10,4.16,4.07,3.85,8.45,3.94,88,2.15,3.45,2.24,0.91,2.05,1.58,2.19,110
T11,4.33,4.25,3.95,8.57,3.85,85,2.01,3.45,2.37,0.82,2.47,2.63,2.87,112
T12,4.54,4.34,4.02,8.69,4.69,88,2.23,3.74,2.46,0.98,2.27,3.98,3.78,105
T13,4.71,4.29,4.26,8.74,4.83,85,2.43,3.59,2.36,1.14,2.27,5.98,3.96,100
L1,5.04,4.77,4.42,8.41,5.29,90,2.61,4.03,2.12,1.54,2.77,8.03,4.54,90
L2,5.31,4.91,4.48,8.66,4.94,90,2.4,3.82,1.16,1.29,3.43,8.24,5.09,95
L3,5.43,4.89,4.73,8.49,4.68,90,2.06,3.53,1.01,1.28,3.97,8.26,5.67,100
Ca1,5.49,4.7,4.99,8.63,4.99,90,1.7,3.97,0.75,1.23,3.72,7.27,5.75,105
Ca2,5.45,4.6,4.39,7.74,5.09,95,1.48,3.82,0.59,1.09,4.08,6.54,5.67,100
Ca3,5.51,4.67,4.26,6.81,4.96,95,1.76,3.54,0.86,1.77,3.76,5.91,4.96,95
Ca4,5.36,4.89,4.62,6.03,5.25,95,1.62,3.73,1.48,2.08,3.51,4.87,4.57,80
Ca5,5.34,4.79,4.72,5.87,5.01,100,1.29,3.82,1.36,2.6,2.71,4.08,4.78,70
Ca6,5.08,4.53,4.68,5.5,5.43,110,1.12,3.68,2.07,2.09,2.07,2.71,4.05,70
Ca7,4.97,4.43,4.58,3.87,4.56,105,1.22,3.35,1.78,1.43,1.55,1.9,3.71,60
Ca8,4.47,4.18,4.49,2.26,3.56,100,1.06,3.51,1.35,0.88,1.33,0.9,2.43,60
Ca9,4.26,4.19,4.31,2.05,3.14,105,0.96,3.42,0.95,0.57,1.14,0.67,1.07,NA
Ca10,3.56,4.02,4.22,1.83,2.02,90,0.84,2.61,0,0,NA,0,0,NA
Ca11,2.95,3.84,3.99,0,0,NA,0.73,1.7,0,0,NA,0,0,NA
