Inia_geoffrensis_(USNM_49582),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.84,3.92,3.57,6.31,2.06,75,2.2,2.01,0,0,NA,1.11,1.81,82
T2,2.26,3.89,3.38,7.37,2.17,80,2.54,2.24,0.39,0.43,1.85,1,1.97,85
T3,2.56,3.78,3.42,7.75,2.38,89,2.37,2.1,0.55,0.49,1.4,1.08,2.1,92
T4,2.69,3.7,3.36,7.54,2.55,78,2.27,2.18,0.66,0.59,1.5,1.34,2.2,99
T5,3.11,3.67,3.49,7.74,2.87,80,2.15,2.28,0.93,0.73,1.45,1.54,2,103
T6,3.15,3.8,3.57,8.78,3.13,76,1.81,2.27,1.18,0.69,1.6,1.08,2.06,105
T7,3.59,3.81,3.51,8.51,3.24,71,1.73,1.84,1.17,0.77,1.7,0.92,2.28,102
T8,3.77,3.75,3.64,8.63,3.28,70,1.39,1.81,1.33,0.75,1.85,0,0,NA
T9,3.69,3.89,3.87,8.32,3.31,72,1.51,2.47,1.84,0.94,2,0.81,2.19,106
T10,3.97,3.98,3.94,7.7,3.51,68,1.4,2.71,1.82,0.88,2.15,1.35,2.33,112
T11,4.16,4.05,4.18,8.15,3.56,71,1.55,2.72,1.54,0.93,2.2,2.17,2.89,118
T12,4.31,4.28,4.13,8.18,3.53,70,1.71,3.19,1.71,1.1,2.35,3.63,3.74,97
T13,4.63,4.11,4.26,8.31,4.23,73,1.77,3.47,1.76,1.17,2.35,5.33,3.88,100
L1,4.93,4.57,4.46,8.25,5.05,80,2.1,3.81,1.5,1.15,2.5,7.69,3.99,96
L2,5.15,4.78,4.31,8.06,4.21,82,2.08,3.47,1.43,1.42,3.15,7.81,4.41,100
L3,5.45,4.61,4.62,7.85,4.42,85,1.78,3.3,1.22,1.04,3.55,7.17,4.98,105
Ca1,5.19,4.68,4.51,7.69,4.18,83,1.47,3.05,NA,NA,NA,6.1,5.01,100
Ca2,5.09,4.68,4.53,6.77,4.47,81,1.62,2.95,1.32,1.09,3.1,5.54,5.51,97
Ca3,5.13,4.42,4.54,6.43,4.18,81,1.5,3.03,1.24,1.08,3,4.85,4.69,94
Ca4,5.02,4.54,4.34,5.68,4.57,86,1.45,2.89,1.42,1.28,3.3,4.38,4.01,88
Ca5,4.87,4.21,4.52,5.46,4.65,94,1,3.27,1.57,1.71,3.05,3.03,3.69,80
Ca6,4.8,4.06,4.54,4.86,4.22,95,0.82,3.09,1.57,1.49,2.5,2.47,3.64,75
Ca7,4.51,4.12,4.72,3.89,3.71,103,0.88,2.63,1.26,1.2,2,1.76,2.66,72
Ca8,4.2,4.13,4.81,2.47,3.05,102,0.66,3.36,1.16,0.92,1.55,0.89,1.53,70
Ca9,3.72,3.8,4.57,1.53,2.13,108,0.54,2.53,0.74,0.6,0.95,0.34,0.44,75
Ca10,3.21,3.57,4.15,0.82,1.45,97,0.49,1.79,0.57,0.49,0.85,0,0,NA
Ca11,2.53,3.69,3.79,0,0,NA,0,0,0,0,NA,0,0,NA
