Kogia_breviceps_(USNM_504737),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.67,5.74,4.38,0,0,NA,4.21,1.35,0,0,NA,3.16,1.63,63
T2,4.27,5.42,4.55,5.55,1.96,83,3.66,1.83,0.58,0.69,2.5,2.59,2.38,52
T3,4.69,5.53,4.24,7.8,4.16,92,3.67,2.07,0.79,1.08,3.5,2.25,2.55,61
T4,5.01,5.35,4.08,8.64,4.75,96,3.99,2.35,1.7,1.38,4.1,1.88,2.99,77
T5,5.41,5.28,3.98,9.47,4.75,102,4.11,2.2,1.78,1.09,4.35,1.71,2.9,80
T6,5.69,5.36,4.27,10.19,4.73,106,3.99,2.27,1.46,0.99,4.95,1.83,2.99,76
T7,5.95,5.66,4.22,10.61,4.5,109,3.98,2.56,1.86,1.5,4.8,1.51,2.88,80
T8,6.3,5.48,4.36,11.51,4.65,110,3.95,2.92,2.68,2.09,4.9,2.44,2.08,92
T9,6.74,5.77,4.6,12.49,5.66,109,3.92,3.37,3.61,2.07,4.9,3.78,3.89,87
T10,7.05,5.96,4.67,12.83,5.51,108,4.12,3.6,4.41,2.11,5,5.8,5.33,90
T11,7.38,6.34,4.98,12.83,5.85,105,4.39,3.61,4.38,2.68,5.5,6.19,5.72,87
T12,7.56,6.49,5.17,13.6,5.59,107,4.43,3.74,4.72,2.37,5.7,6.95,6.19,91
L1,7.61,6.33,5.33,13.81,5.83,108,4.38,3.38,4.71,2.48,5.8,8.78,6.57,95
L2,7.65,6.36,5.54,13.8,6.17,105,4.34,3.36,4.79,2.53,5.85,8.77,6.84,93
L3,7.92,6.47,5.62,14.02,6.52,102,4.31,3.43,4.93,2.43,6.05,8.57,7.36,85
L4,8,6.55,5.68,13.26,6.83,103,4.32,3.46,5.02,2.56,6.2,7.83,7.67,83
L5,8.1,6.62,5.87,13.01,6.92,105,4.36,3.71,5.02,2.47,6.1,7.82,7.3,85
L6,8.09,6.49,5.91,12.34,7.1,106,4.33,3.61,5.11,2.67,6.6,7.67,7.52,85
L7,8.05,6.56,6.25,12.03,6.72,109,4.34,3.39,5.33,2.81,7.05,7.08,7.81,88
L8,8.04,6.95,6.41,11.28,6.82,110,4.45,3.35,5.08,2.7,7.4,6.41,7.37,88
L9,8.09,6.9,6.43,10.56,6.06,110,4.16,3.46,4.95,2.52,7.3,6.27,7.44,88
Ca1,7.89,7.03,6.23,9.78,5.89,107,3.72,3.56,4.28,2.18,6.9,5.83,7.19,83
Ca2,7.85,7.07,6.26,9.03,5.32,109,2.92,3.59,3.3,1.75,6.2,5.42,6.96,84
Ca3,7.56,6.88,6.4,7.66,4.67,110,2.56,3.55,2.74,1.71,5.8,5.13,6.17,86
Ca4,7.33,6.67,6.26,5.41,4.14,104,2.36,3.37,2.57,1.54,5.4,4.24,5.98,90
Ca5,7,6.54,6.28,5.13,3.03,100,2.19,2.99,1.95,1.3,5,3.22,4.95,91
Ca6,6.61,6.51,6.36,3.82,3.2,98,1.77,2.96,1.63,1.14,4.4,2.52,3.99,83
Ca7,6.16,6.32,6.15,2.9,2.56,100,1.5,2.69,1.77,1.3,3.9,1.84,3.33,75
Ca8,5.78,6.08,6.11,2.48,1.98,98,1.27,2.65,1.51,1.31,3.45,1.12,2.89,70
Ca9,5.62,5.75,5.96,1.87,1.7,95,1.1,2.43,1.56,0.95,2.8,0.57,2.1,78
Ca10,5.4,5.43,6,1.49,1.73,97,0.86,2.18,0.95,0.76,2.25,0,0,NA
Ca11,5.04,5.32,5.59,1.16,1.55,99,0.69,1.97,0.79,0.66,1.55,0,0,NA
Ca12,4.63,5.21,5.47,0.83,1.49,105,0.61,1.89,0.83,0.6,0.9,0,0,NA
Ca13,4.3,4.84,5.02,0,0,NA,0.77,1.63,0.75,0.53,0.55,0,0,NA
Ca14,3.56,4.45,4.62,0,0,NA,0,0,0,0,NA,0,0,NA
