Lagenorhynchus_albirostris_(NRM_20065395),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.34,5.01,3.64,2.87,1.13,125,2.37,1.39,0,0,NA,2.94,1.33,65
T2,1.7,4.83,3.6,3.53,1.19,123,2.21,1.81,0,0,NA,3.17,1.66,90
T3,2.02,3.6,3.58,3.91,1.24,122,2.39,1.81,0.76,0.68,2.6,2.54,1.76,104
T4,2.41,4.53,3.73,4.13,1.29,120,2.87,1.82,1.01,0.72,2.5,2.27,2.05,100
T5,2.71,4.55,3.78,4.28,1.42,120,3.13,1.55,1.51,0.69,2.5,2.74,2.16,96
T6,2.87,4.36,3.83,4.91,1.62,121,3.04,1.7,1.76,0.82,2.6,3.01,2.24,95
T7,2.91,4.51,3.92,5.21,2.04,119,3.05,1.74,2.58,1.05,3.1,3.55,2.29,96
T8,3.05,4.62,4.17,6.02,2.14,114,3.16,1.79,2.65,1.17,3.6,4.14,2.28,100
T9,3.05,4.68,4.12,6.55,2.29,112,2.87,1.84,2.3,1.35,3.8,5.38,2.25,104
T10,3.04,4.64,4.19,6.98,2.26,112,3.07,2.08,2.23,1.37,4,6.52,2.33,105
T11,2.97,4.85,4.29,6.96,2.36,110,2.94,1.98,2.11,1.47,4.3,7.59,2.38,104
T12,2.9,4.73,4.31,7.09,2.32,108,2.98,1.85,2.17,1.51,4.35,8.39,2.55,105
T13,2.83,4.93,4.43,7.9,2.29,102,3.01,1.86,2.29,1.21,4.5,9.77,2.09,110
T14,2.7,5.13,4.6,8.23,2.56,98,2.93,1.81,2.33,0.97,4.3,10.72,1.98,107
T15,2.69,5.32,4.66,8.58,2.15,98,2.92,1.91,2.26,0.94,4.4,10.24,1.88,105
T16,2.64,5.26,4.84,9.11,1.95,96,2.7,1.59,1.82,1.06,4.2,9.38,1.6,100
L1,2.51,5.63,4.93,9.39,1.92,95,2.82,1.73,1.39,1.11,3.95,9.53,1.65,98
L2,2.54,5.39,4.93,9.84,1.84,97,2.61,1.7,1.25,1.26,3.9,9.41,1.69,100
L3,2.53,5.44,4.99,9.91,1.85,98,2.49,1.81,1.11,1.18,4,9.12,1.72,96
L4,2.37,5.19,4.86,9.71,1.72,97,2.7,1.78,1.05,1.04,3.8,9.69,1.85,96
L5,2.27,5.25,4.9,9.85,1.73,97,2.75,1.4,1.04,0.97,3.6,9.12,1.51,98
L6,2.28,5.06,5.03,9.87,1.77,98,2.71,1.63,1.12,0.94,3.7,9.33,1.73,95
L7,2.09,5.82,5.13,9.4,1.74,97,3.16,1.57,0.61,0.88,3.8,8.26,1.57,94
L8,2.14,5.85,5.3,9.96,1.61,99,3.11,1.6,0.8,0.97,3.75,8.64,1.65,90
L9,2.15,5.05,5.02,10.13,1.5,99,2.69,1.55,0.83,1.65,3.8,7.74,1.53,89
L10,2.17,5.33,5.01,9.99,1.57,98,2.96,1.59,0.62,0.67,4,7.87,1.8,86
L11,2.17,5.03,5.2,9.88,1.29,96,2.93,1.34,0.51,0.92,4.1,7.25,1.49,89
L12,2.12,5.52,5,9.97,1.35,94,2.86,1.22,0.42,0.83,4.3,7.62,1.56,90
L13,2.13,5.2,5.02,9.86,1.42,92,2.87,1.42,0.43,1.02,4.8,7.36,1.62,90
L14,2.06,5.28,5.14,9.42,1.5,91,3.15,1.3,0.59,1.16,5.2,7.21,1.65,92
L15,2.07,5.46,5.18,9.44,1.3,89,2.82,1.38,0.38,0.87,5.3,6.96,1.54,91
L16,2.02,5.55,5.35,9.29,1.15,89,2.95,1.37,0.46,0.66,5.2,6.57,1.57,91
L17,2.03,5.18,5.19,9.27,1.16,88,2.87,1.37,0.24,0.8,5.4,6.49,1.38,93
