Mesoplodon_bidens_(MNHN_A14519),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.84,6.11,4.95,0.84,3.21,NA,5.1,3.07,0,0,0,5.18,2.02,50
T2,4.51,5.53,4.38,1.38,3.11,NA,5.6,4.28,0,0,0,5.07,2.82,75
T3,5.06,5.6,4.99,12.9,5.4,101,6,4.99,0,0,0,5.92,2.49,85
T4,6.81,5.98,4.69,15.8,5.68,105,6.2,5.97,0.72,1.53,5.1,6.71,2.86,85
T5,5.81,5.97,4.59,16,5.54,100,6,5.68,0.98,0.99,4.7,6.61,3.14,75
T6,7.5,5.66,5.21,17.6,7.13,106,5.9,5.52,1,1.73,4.8,6.98,3.77,70
T7,8.25,6.46,5.28,19.5,6.96,105,6,6.07,1.45,2.42,5,6.49,3.52,75
T8,8.86,6.75,5.61,20.8,6.94,108,6,6.67,2.53,3.45,4.9,3.96,3.74,90
T9,9.46,7.31,5.84,21.2,6.99,109,6,7.01,3.87,3.97,6,3.44,5.17,90
T10,10.12,9.33,6.28,23.5,7.61,106,6,7.62,3.28,3.55,7,8.87,6.73,92
L1,10.74,9.2,6.77,24.6,7.9,104,6,8.13,3.79,3,6.26,10.25,5.25,80
L2,11.13,8.26,6.95,24.8,7.7,107,6,7.93,2.3,2.83,5.97,10.16,5.6,70
L3,11.49,8.41,7.26,26,8.2,104,6,8.18,1.91,2.3,5.75,9.85,5.44,70
L4,11.79,8.85,7.28,27.4,7.5,106,5.8,8.32,2.16,4.27,6.31,10.44,5.49,62
L5,12.36,8.66,7.95,27.6,7.9,104,6,8.82,2.27,4.42,6.08,9.99,5.73,63
L6,13.02,9.08,8.05,28.5,7.6,105,5.8,9.28,2.79,4.88,6.79,9.05,5.89,62
L7,13.84,9.39,8.14,28.5,7.8,106,5.5,9.72,2.61,5.01,6.58,9.89,5.98,65
L8,14.4,9.67,8.37,28.5,7.7,106,5.3,10.51,1.79,5.62,6.72,8.64,6.13,70
L9,14.74,9.93,8.49,28,8.3,102,5,10.33,2.06,5.21,6.25,9,6.51,70
L10,14.84,10.06,8.56,27.5,8.6,102,5,10.12,1.95,5.51,6.07,8.89,6.45,70
L11,14.73,10.66,9.24,26,9.1,100,4.3,10.54,1.72,5.21,6.71,8.29,6.78,70
L12,14.23,11.15,9.06,23,9.6,100,3.8,10.41,1.5,4.72,5.43,7.01,8.11,85
Ca1,13.57,10.67,9.44,22.7,8,103,2.14,9.86,1.25,4.35,5.04,6.53,6.63,85
Ca2,13.13,10.27,9.28,19.3,8.2,105,1.95,9.08,1.25,4.13,4.67,6.55,8.49,85
Ca3,12.39,10.64,9.84,15.9,7.5,113,1.78,7.81,2.05,3.72,4.28,5.23,8.26,75
Ca4,11.95,10.48,9.55,11.4,6.3,115,1.8,7,2.14,3.16,3.96,4.2,7.36,65
Ca5,11.19,9.65,9.04,9.3,6.4,117,1.52,5.81,1.7,2.67,3.29,2.51,6.52,60
Ca6,10.45,8.18,9.35,6.6,6.6,116,1.36,5.9,2.25,1.91,2.27,1.38,5.73,60
Ca7,9.7,7.53,9.34,4.8,5,117,1.03,6.15,1.97,1.27,1.73,0,0,NA
Ca8,8.6,7.11,9.32,3.4,5.4,104,1.12,5.2,1.5,0.65,0.86,0,0,NA
Ca9,6.84,7.39,8.59,1.38,4.81,110,0.77,4.28,0,0,NA,0,0,NA
Ca10,4.74,6.9,7.68,0,0,NA,0.9,2.55,0,0,NA,0,0,NA
Ca11,4.2,6.48,6.49,0,0,NA,0,0,0,0,NA,0,0,NA
