Mesoplodon_bidens_(USNM_594220),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.41,6.13,4.31,13.63,3.17,96,4.59,2.92,0,0,NA,3.15,1.75,63
T2,4.18,6.54,4.19,14.45,4.23,104,5.15,3.45,0,0,NA,2.97,2.25,71
T3,4.98,6.4,4.19,15.5,4.66,107,5.33,3.5,0,0,NA,3.06,2.39,77
T4,5.83,6.49,4.19,15.7,5.48,109,5.26,3.83,0.5,0.71,4.5,2.32,2.72,82
T5,6.58,6.59,4.51,16.65,5.16,109,5.02,4.32,0.58,0.9,5,2.37,2.74,87
T6,7.22,6.91,4.6,18.05,6.05,108,4.72,5.33,0.93,1.14,5.1,3.06,3,90
T7,7.7,6.45,4.8,18.55,5.93,109,4.68,5.3,2.48,1.81,5.2,3.05,3.2,90
T8,8.47,6.8,5.05,19.85,5.97,108,4.5,5.7,4.01,2.32,5.5,3.65,3.67,90
T9,9.19,7.64,5.32,20.75,6.27,110,4.73,6.19,4.26,3.15,5.85,5.86,4.59,101
T10,9.63,7.42,5.53,21.85,6.24,107,4.75,6.53,3.51,2.27,5,8.64,4.98,95
L1,10.09,7.56,5.8,22.5,6.24,105,4.47,6.87,3.07,2.31,5.3,9.09,4.83,78
L2,10.31,7.53,6.04,23.05,6.59,98,4.54,6.87,NA,NA,NA,9.54,4.82,70
L3,10.63,7.72,6.16,23.8,6.37,94,4.62,7.12,3.1,2.39,5.45,9.23,4.84,64
L4,10.89,7.87,6.46,24.5,6.52,94,4.59,7.17,2.75,3.65,5.9,8.61,4.88,66
L5,11.47,7.83,6.78,25.1,6.96,101,4.5,7.53,3.08,3.1,5.9,8.24,5.02,70
L6,12.08,8.07,6.76,25.45,6.81,102,4.33,7.86,2.6,4.24,6,7.8,4.89,70
L7,12.62,8.41,7.05,25.6,6.67,100,3.99,8.41,3.1,4.17,5.9,7.72,5.07,64
L8,13.19,8.82,7.23,25.6,7.11,97,3.99,8.95,2.5,4.41,5.8,7.66,5.4,62
L9,13.41,8.96,7.44,24.9,7.54,99,3.77,8.94,2.2,4.1,5.7,7.12,5.72,67
L10,13.35,9.33,7.62,24.15,7.71,100,3.45,8.93,1.89,4.09,5.6,7.36,5.82,67
Ca1,13.11,9.38,7.83,22.9,8.32,100,2.95,8.9,1.58,4.27,5.2,7.11,6.18,70
Ca2,12.66,9.19,8.12,22.05,8.17,102,2.76,8.66,1.76,3.87,4.75,5.76,6,70
Ca3,12.1,8.99,8.15,19.45,7.75,102,2.64,8.39,1.44,3.31,4.3,5.9,5.76,68
Ca4,11.41,8.92,8.26,17.5,7.16,106,2.1,7.91,1.55,2.92,4.15,5.15,5.17,64
Ca5,10.89,8.93,8.31,13.95,6.16,107,1.53,7.13,1.76,2.64,4,4.07,4.88,68
Ca6,10.34,8.81,8.65,10.9,5.12,112,1.38,6.21,1.92,2.17,3.15,2.69,4.71,77
Ca7,9.56,8.37,8.92,8,5.35,120,1.05,5.41,1.7,1.79,2.4,1.53,4.14,77
Ca8,8.97,7.61,8.77,5.15,4.97,120,1.04,4.6,1.77,1.63,1.6,0.67,2.03,80
Ca9,8.48,7.12,8.57,3.05,4.77,113,0.86,4.37,1.62,1.31,1,0,0,NA
Ca10,7.64,6.64,8.07,1.3,4.48,107,0.67,4.21,0.91,1.01,0.3,0,0,NA
Ca11,6.29,6.67,7.4,0,0,NA,0,0,0,0,NA,0,0,NA
Ca12,4.91,5.96,6.04,0,0,NA,0,0,0,0,NA,0,0,NA
