Balaenoptera_musculus_(USNM_124326),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,14.02,35.2,26.3,17.4,9.63,85,14.8,11.24,1.98,3.61,5.03,42.6,6.87,70
T2,16.1,33.35,26.9,22.1,12.13,84,14.6,10.38,6.03,3.69,5.8,40.3,7.42,55
T3,19.7,34.2,27.9,26.9,12.3,85,18.2,11.83,5.3,3.84,7,35.6,12.74,55
T4,21.6,37.2,27.7,28.9,16.15,90,19.1,13.29,6.44,5.59,6.2,30.7,18.7,64
T5,22.1,34.6,25.7,31.9,18.7,88,20.2,14.43,10.8,6.3,9.2,31.2,20.5,76
T6,22.8,34.45,26.1,34.4,22.7,89,19.8,14.41,13.73,8.59,14.3,35.3,22.2,85
T7,24.9,34.8,26.2,38.2,22.8,97,18.3,14.1,13.08,11.13,16.3,40.5,25.2,92
T8,24.9,35.2,26.1,39.3,23.9,100,20.1,15.5,15.19,12.27,17.5,40.3,22.7,96
T9,25.4,35.1,27.3,40.5,26.55,104,20.2,15.19,14.59,11.86,19.6,43.7,24.2,99
T10,26.4,34.7,28.6,43.8,25.8,106,21.5,16.2,16.8,12.33,20.1,43.2,22.8,103
T11,26.7,35.9,29.65,44.5,26.4,111,21.5,16.2,17.2,13.86,22.4,46.8,23.8,105
T12,27.1,35.8,29.3,46.2,25.8,111,20.7,16.7,19.3,13.98,23.4,46.7,23.3,106
T13,27.35,35.7,29.5,48.4,25.5,118,21,17.2,20.6,12.43,24,47.8,20.8,105
T14,28.35,36.9,29.9,49.8,25.1,118,18.5,16.8,18.4,11.52,25.4,47.5,21.6,111
L1,28.75,36.9,27.9,50.4,25.4,120,18.3,18.5,17.8,12.9,22.5,47.6,23.7,104
L2,28.85,37.6,28.5,53.7,25,121,18.5,17.6,19.6,12.48,23.8,49.8,22.8,95
L3,29.85,38.6,29.1,56.4,23.4,120,18.3,20.1,19.7,13.14,23.2,48.4,21.6,91
L4,29.5,38.9,30.8,57.3,23.5,121,16.2,19.4,17.4,14.05,24.4,48.2,22.5,93
L5,30.1,38.5,30.7,59.5,23.5,122,13.1,19.1,16.5,13.64,23.3,48.6,22.25,88
L6,30.7,38.95,31.6,62.8,22.45,125,11.9,18.9,17.6,13.75,24.3,47.8,23.9,88
L7,30.5,39.1,31.7,61.8,23.3,124,12.2,18.3,16.65,14.13,24.4,47.6,23.3,86
L8,31.4,39.2,31.05,64.5,25.7,124,9.9,18.9,19,12.95,24.6,46.2,24.3,82
L9,31.35,39.9,31.5,66.2,23.4,123,9.8,19.3,17.2,12.02,24.65,47.3,26.1,83
L10,31.9,40.1,30.5,65.7,23.8,123,10.2,17.8,17.5,11.56,24.9,44.2,23.8,84
L11,31.2,40.7,31.4,65.8,23.2,124,10.9,18.6,18.3,11.71,25,44.2,25.35,82
L12,31.9,40.3,32,65.7,23.75,125,10.6,18.2,17.8,10.81,25,42.5,25.5,80
L13,32.4,39.9,32.4,66,25.7,126,9.9,17.6,16.7,10.71,24.75,39.1,25,83
L14,32.8,40.6,33.6,64.3,24.6,128,10.3,17.1,15.4,11.39,25.5,38.5,23,80
L15,32.3,40.8,33.9,63.6,24.4,130,10.5,15.8,15.8,11.34,25.9,37.4,21.2,76
L16,32.55,41.1,34.5,60.8,23.7,127,10.4,15.7,13.1,10.33,24.7,33.5,20.7,73
Ca1,32.6,41.7,35.3,59.5,23.4,125,10.8,15.6,15.5,8.97,23.4,26.4,20.8,82
Ca2,32.45,41.5,35.1,56.2,22.7,122,11.1,15.1,15.1,7.96,22.1,25.9,18.5,87
Ca3,32.1,42,35.7,50.7,21.5,120,11.5,15.4,14.65,7.04,21.3,21.6,17.8,82
Ca4,31.75,42.2,35.5,42.3,19.9,116,11.9,16.5,13.27,5.24,21.2,17.2,16.5,84
Ca5,31.9,42.15,36.8,35.3,20.3,115,10.5,16.4,12.73,7.29,22.1,16.1,15.8,84
Ca6,32.1,42.65,36.2,32.3,18.7,119,11,16.2,11.21,8.67,22.7,15.1,17.4,80
Ca7,31.7,40.9,36.5,28,16.7,120,9.4,14.8,9.81,9.14,20,12.3,15.5,75
Ca8,31.45,40.7,36.8,23.5,10.72,128,6.5,12.57,8.55,8.46,18.8,6.8,17.3,73
Ca9,30.5,40.4,37.4,18.3,6.9,132,5.3,12.5,8.82,7.05,15.7,4.9,15.6,75
Ca10,30.1,38.2,38.4,12.2,5.37,130,3.8,13.32,9.48,7.9,14.1,3.6,9.5,76
Ca11,28.6,35.4,38.1,8.4,5.16,132,4.2,12.81,8.13,6.14,11.2,2.1,4.8,80
Ca12,27.9,34.3,37.75,8.17,6.02,133,2.8,10.8,7.02,6.58,9.8,0,0,NA
Ca13,26.85,30.65,34.9,7.32,5.37,138,2.1,8.69,6.87,7.27,8.1,0,0,NA
Ca14,25.7,28.7,34.3,6.29,5.14,142,1.8,6.82,6.91,4.98,5,0,0,NA
Ca15,23.1,26.5,30.4,4.71,4.37,144,1.6,6.55,6.7,3.52,4.3,0,0,NA
Ca16,19.95,24.7,28.9,2.55,3.62,126,1.5,6.24,4.95,2.3,3.3,0,0,NA
Ca17,14.55,21.9,25.1,1.65,2.76,108,1.2,4.88,3.55,2.16,2.3,0,0,NA
Ca18,11.27,22.05,24.1,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,9.8,20.25,20.5,0,0,NA,0,0,0,0,NA,0,0,NA
