Mesoplodon_mirus_(SAM_ZM36844),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.86,7.7,5.14,10.5,3.54,94,5.68,2.9,0,0,NA,4.6,1.47,55
T2,4.37,7.24,4.38,NA,4.37,103,6.03,3.92,0,0,NA,4.68,2.28,60
T3,5.46,6.89,4.16,16.3,4.6,106,6.25,4.75,0,0,NA,4.52,2.43,64
T4,6.14,6.7,4.42,17.2,4.82,107,5.93,3.85,1.36,1.56,5.5,4.51,2.6,67
T5,6.91,6.55,4.51,19.5,5.32,105,5.8,4.84,1.37,1.78,5.7,4.64,2.94,68
T6,7.64,6.75,4.76,19.2,5.92,103,5.8,5.02,1.92,1.85,5.9,5.09,3.7,94
T7,8.23,6.75,4.94,20.8,5.9,106,6.09,5.93,2.4,1.86,6.8,4.81,3.3,97
T8,8.88,6.82,5.3,21.6,6.52,103,6.1,5.9,4.72,3.1,7.7,4.78,4.21,90
T9,9.56,7.23,5.57,22.4,6.68,104,5.86,6.43,4.64,3.01,8.1,7.98,4.03,97
T10,10.09,7.57,5.88,22.5,6.44,106,5.68,6.74,3.46,3.67,7.7,9.8,5.21,80
L1,10.79,8.25,6.1,22.8,6.19,102,5.81,7.26,3.35,3.18,7.2,9.76,5.29,74
L2,11.11,8.3,6.44,23.1,6.18,100,6.24,7.3,3.01,3.2,7.2,10.42,5.52,70
L3,11.42,8.13,6.42,23.8,6.88,97,6.31,7.16,3.81,3.11,7.2,10.04,5.64,70
L4,12.15,8.51,6.7,24.6,7.29,98,6.22,7.71,3.46,3.49,7.5,10.01,5.93,67
L5,12.68,8.2,7.02,24.7,7.17,100,5.83,7.79,3.75,3.83,7.7,10.14,6.03,65
L6,13.35,8.66,7.22,25.3,8.09,104,5.64,8.16,NA,3.84,7.3,10.26,6.5,65
L7,14.09,8.89,7.49,25.7,8.43,104,5.01,8.69,3.4,4.07,7.3,9.8,6.5,65
L8,14.62,9.35,7.59,26,8.61,102,4.85,9.05,NA,4.15,7,8.93,7.26,68
L9,14.97,9.55,7.89,25.6,8.75,96,4.42,9.53,2.52,3.62,6.3,9.31,7.83,65
L10,14.84,9.48,8.39,25.4,9.25,94,3.74,9.15,1.91,4.2,6.7,8.93,8.33,75
L11,14.44,9.6,8.38,23.7,9.41,98,4.04,8.74,1.76,3.45,6,8.31,8.42,75
Ca1,13.87,9.71,8.25,21.5,9.18,97,3.53,8.44,1.83,3.2,5.75,7.61,7.9,72
Ca2,13.21,9.32,8.96,20.3,8.94,101,3.01,8.13,1.59,3.24,5.4,6.41,7.5,80
Ca3,12.47,9.14,8.52,16.9,8.49,108,2.92,7.57,1.37,2.41,4.75,5.49,6.82,85
Ca4,11.91,8.91,8.67,14.2,7.79,106,2.25,7.37,1.86,1.61,4,4.39,5.98,85
Ca5,11.35,9.01,8.86,11.1,6.39,113,1.84,6.65,1.54,1.87,3.6,2.85,5.7,75
Ca6,10.85,8.37,9.18,8.2,6.17,115,1.53,5.74,1.69,1.48,2.4,1.63,3.74,75
Ca7,10.16,7.68,9.22,5.6,5.19,117,1.1,5.26,1.35,0.79,1.6,0,0,NA
Ca8,9.48,7.14,8.63,3.8,5.15,110,1.02,5.15,1.68,0.76,0.85,0,0,NA
Ca9,8.16,6.89,8.36,1.7,4.98,105,0.86,5.25,0,0,NA,0,0,NA
Ca10,5.67,6.69,7.41,0,0,NA,0.77,2.41,0,0,NA,0,0,NA
