Balaenoptera_acutorostrata_(USNM_49775),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,6.36,16.45,9.1,5.17,3.29,107,6.59,5.21,2.1,2.49,3.53,17.9,4.68,56
T2,8.21,16.9,10.87,6.32,5.13,106,7.57,6.24,4.1,2.7,6.3,18.55,4.17,57
T3,10.23,16.85,10.89,9.93,8.28,90,7.97,7.06,5.56,4.24,6.8,17.7,7.03,59
T4,11.69,16.45,11.13,16.25,9.21,83,8.56,7.93,7.25,6,8.9,18.6,8.68,68
T5,12.23,16.05,11.34,19.55,11.49,89,9.88,8.31,7.17,7.2,11.05,23.45,11.76,84
T6,13.16,16.25,12.17,20.9,13.05,95,10.06,8.37,8.57,7.46,12.55,26.7,12.37,85
T7,13.66,16.55,12.2,23.4,11.75,103,9.68,8.21,9.4,8.92,14,29,11.71,90
T8,14.16,17.15,12.51,25.75,12.37,110,8.81,9.07,10.54,8.96,14.95,29.5,12.32,95
T9,14.94,17.55,12.56,26.8,11.36,121,8.74,10.04,10.96,10.05,15.4,30.85,12.02,98
T10,15.16,17.75,12.62,20.75,11.13,125,8.45,9.93,9.59,9.16,16.05,31.2,12.16,97
T11,15.8,17.8,12.95,30.3,10.35,124,8.6,9.98,10.69,9.11,15.8,30.75,12.23,93
L1,15.9,17.6,13.61,33.25,12.47,126,8.36,10.12,10.13,9.96,15.65,27.9,11.81,85
L2,16.05,17.7,13.77,34.6,12.37,127,8.36,10.56,10.56,10.04,15.4,28.9,13.1,82
L3,16.35,17.5,13.88,35.9,11.4,129,8.06,10.8,11.03,10.4,15.4,27.95,14.42,76
L4,17.04,17.95,13.93,36.15,10.76,129,8.17,11.07,9.07,9.74,16.85,27.2,15.07,76
L5,17.15,17.95,14.12,36.55,10.95,127,7.87,10.89,10.01,9.5,15.15,26,15.35,77
L6,17.7,18.2,14.57,36.95,11.53,126,7.64,11.39,9.36,9.7,15.05,26.15,14.8,72
L7,18.15,19.15,14.26,38.1,11.21,128,7.67,11.51,11.16,9.68,15.9,26.25,16.2,70
L8,18.95,19.35,14.43,37.2,12.38,126,7.07,11.22,10.27,9.45,15.75,25.65,17.15,69
L9,19.15,19.85,15,34.75,11.59,127,6.82,11.62,10.42,8.47,15.75,24.1,16.45,78
L10,20.25,20.45,15.95,33.15,11.72,125,6.48,11.65,10.43,7.93,15.45,21.95,18.9,75
L11,21.6,21.05,16.25,32.3,12.33,125,6.2,11.78,10.19,7.56,14.85,20.75,19.45,85
L12,21.85,21.2,16.4,32.25,12.99,120,6.61,13.14,8.47,7.71,14.4,17.6,17.5,97
Ca1,22.1,21.1,17.85,29.9,11.32,112,6.29,13.7,8.61,5.97,14.45,15.95,16.85,102
Ca2,21.85,22.2,18.45,25.85,13.7,111,5.19,12.91,8.44,6.16,12.8,13.6,15.8,98
Ca3,20.8,22.7,19.2,19.2,12.38,115,4.32,11.5,7.56,5.8,12.3,10.43,13.4,92
Ca4,20.5,21.9,20.2,14.95,6.76,117,3.24,10.45,7.48,6.98,11.45,8.2,13.14,81
Ca5,20.55,20.65,18.45,12.25,5.38,116,2.6,9.28,6.26,4.92,8.05,5.51,10.85,73
Ca6,19.45,17.9,18.3,8.93,5.8,115,2.25,10.2,6.32,3.51,6.2,2.49,7.77,62
Ca7,18.3,15.35,18.25,5.52,4.84,120,1.75,6.35,5.6,2.76,5.05,0.63,1.31,53
Ca8,16.9,14.9,17.5,2.58,4.63,123,0.96,5.83,4.13,2.03,2.9,0,0,NA
Ca9,11.87,13.9,16.05,0,0,NA,1.36,2.52,2.75,1.68,1.5,0,0,NA
Ca10,9.57,12.94,13.6,0,0,NA,0,0,2.12,1.44,1.4,0,0,NA
