Mesoplodon_mirus_(USNM_504724),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.74,8.28,6.35,12.57,3.19,102,5.75,3.42,0,0,NA,4.24,1.99,62
T2,3.82,7.88,6.05,16.45,3.81,114,6.09,4.18,0.53,0.64,4.05,3.84,2.46,70
T3,5.24,6.94,4.83,17.5,4.12,116,6.32,4.07,1.25,1.05,5.6,4,2.59,76
T4,5.88,7.2,4.88,17.95,4.64,116,6.59,3.73,1.47,1.16,6.85,3.83,2.9,92
T5,6.73,7.77,5.27,18.55,5.21,116,6.32,4.12,1.71,1.42,6.8,4.16,2.69,97
T6,7.22,8.24,5.06,18.8,6,113,6.3,4.07,2.55,1.77,6.8,4.22,3.44,100
T7,8.08,8.23,6.15,19.95,6.76,110,5.7,5.11,3.54,2.52,6.7,3.76,2.98,105
T8,8.74,8.61,6.38,20.5,7.4,111,4.99,5.56,5.27,2.93,6.7,4.12,4.34,100
T9,8.8,9.63,6.53,21.85,7.28,112,5.13,6.35,5.49,3.46,7.1,7.92,6.27,102
T10,10.16,9.24,6.11,22.15,7.66,108,5.67,7.08,5.45,3.52,7.85,11.14,7.44,85
L1,10.9,9.36,6.51,23.15,8.17,107,5.97,7.48,NA,NA,NA,12.3,6.77,83
L2,11.24,9.37,6.88,24.7,8.24,105,5.68,7.68,NA,NA,NA,12.75,7.24,75
L3,11.68,9.47,7.15,25.2,8.24,105,5.69,7.85,4.72,3.49,8.1,13.25,7.33,68
L4,12.2,9.58,7.31,26.35,8.12,103,5.6,8.19,4.82,4.21,8.3,12.79,7.67,66
L5,12.76,9.72,7.85,27.2,8.06,102,5.51,8.64,4.73,4.34,8.35,12.68,7.97,62
L6,13.43,10.23,7.77,27.5,8.24,101,4.94,9.13,4.63,4.35,8.7,12.19,7.73,64
L7,13.89,10.85,7.92,28.1,8.69,102,4.96,9.39,3.81,5.32,8.45,11.95,8.06,61
L8,14.47,11.11,8.07,27.9,9.16,101,4.42,9.78,3.87,4.76,8.05,11.77,8.75,60
L9,14.6,11.55,8.47,27.65,9.89,104,3.69,10.02,3.58,4.44,7.65,11.61,8.55,63
L10,14.26,11.65,8.99,26.55,9.91,103,3.1,9.94,3.44,4.95,7.4,11.53,8.56,60
Ca1,13.61,11.46,8.95,24.5,10.11,105,3.16,9.21,3.18,3.72,7.05,9.94,8.11,64
Ca2,12.97,10.98,9.63,24.05,9.69,106,2.93,8.97,2.92,3.36,6.25,8.18,8.15,70
Ca3,12.21,10.71,9.88,22.05,9.13,109,2.41,8.46,2.47,3.18,5.55,6.94,8.35,72
Ca4,11.53,10.81,10.3,20.95,8.26,111,2.02,7.77,2.13,2.8,5.45,6.07,7.97,75
Ca5,11.11,10.64,10.74,14.5,8.1,116,1.42,7.16,2.01,3.02,4.6,4.45,7.12,81
Ca6,10.73,10.61,10.41,11.45,8.05,115,2.18,6.32,2.34,1.69,3.05,3.08,5.71,78
Ca7,10.1,9.63,10.49,9.45,7.58,117,1.07,6.43,NA,NA,NA,1.47,4.15,80
Ca8,9.52,8.6,10.29,6.55,7.76,122,0.87,5.4,1.7,1.2,1.55,0,0,NA
Ca9,8.82,8.02,10.24,3.7,7.45,116,0.94,6.34,1.75,1.21,1.25,0,0,NA
Ca10,7.35,7.83,9.53,1.85,5.74,108,0.85,5.33,0,0,NA,0,0,NA
Ca11,5.28,7.99,8.41,0,0,NA,0.73,2.54,0,0,NA,0,0,NA
