Mesoplodon_perrini_(USNM_504260),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.73,5.45,4.17,12.36,2.81,94,5.64,2.54,0,0,NA,2.95,1.36,64
T2,3.46,5.9,3.81,14.22,3.33,97,5.96,3.55,0,0,NA,2.49,1.73,61
T3,4.18,5.74,4.11,15.05,3.98,98,5.74,3.93,0,0,NA,2.48,2.16,71
T4,4.84,6.04,3.98,15.35,4.3,94,5.69,3.2,0,0,NA,2.73,3.15,75
T5,5.5,5.98,4.24,16.2,4.95,95,5.32,3.2,0.79,1.43,5.1,2.95,3.38,80
T6,6.08,6.22,4.34,16.95,4.96,100,5.51,3.85,1.55,1.18,5.5,2.84,3.37,82
T7,6.56,6.4,4.34,18.1,5.72,103,5.02,4.19,2.65,2.33,5.6,0,0,NA
T8,7.53,6.22,4.42,19.3,5.79,107,4.98,4.14,4.27,3.67,5.9,5.03,3.16,81
T9,8.17,6.88,4.9,19.9,6.13,110,5,4.66,5.35,3.44,6.15,7.56,4.96,98
T10,8.72,7.1,5.09,20.6,6.27,106,5.25,4.87,5.46,3.57,6.8,10.29,6.17,100
L1,9.22,7.1,5.48,21,6.4,104,5.19,5.19,NA,NA,NA,11.67,6.41,90
L2,9.56,7.26,5.75,21.25,6.37,100,5.24,5.17,5.13,3.28,6,12.06,6.43,80
L3,9.87,7.28,5.87,22.1,6.62,97,5.41,5.04,NA,NA,NA,12.19,7.15,76
L4,10.03,7.45,5.96,22.6,6.04,96,5.27,5.32,4.71,4.53,6.7,11.73,7.34,71
L5,10.21,7.86,6.18,22.85,6.35,94,5.63,5.56,4.86,3.16,6.4,12.11,7.18,72
L6,10.78,7.77,6.27,23.25,6.65,96,5.46,5.57,5.31,2.88,6.1,11.49,7.75,70
L7,11,7.94,6.44,23.35,7.19,96,5.24,5.74,NA,NA,NA,11.16,7.78,72
L8,11.28,7.98,6.66,24.1,7.43,97,4.55,6.16,4.16,2.67,5.7,10.84,8.34,67
L9,11.27,8.34,6.8,24.25,7.09,98,4.5,6.31,3.82,3.26,5.3,9.86,8.83,70
L10,11.51,8.45,6.96,23.8,7.94,97,4.25,6.76,3.05,3.8,5,9.32,8.97,74
L11,11.93,8.6,7.17,23.3,7.67,102,3.72,6.97,2.63,3.51,4.9,8.98,9.57,75
Ca1,11.69,8.51,7.45,22.15,8.06,100,3.38,7,2.08,3.7,4.8,8.27,8.97,77
Ca2,11.15,8.5,7.65,20.35,7.54,104,2.89,7.17,2.01,2.92,4.3,6.86,7.84,78
Ca3,10.8,8.23,8.12,19.25,7.04,108,2.43,6.96,1.83,2.57,3.5,6.58,7.87,83
Ca4,10.42,8.15,8.32,17.2,6.99,109,1.8,6.55,1.58,2.07,3.6,5.88,8.05,83
Ca5,9.95,8.15,8.51,14.85,6.57,111,1.56,6.13,1.8,1.85,3.2,4.96,7.16,78
Ca6,9.71,8.14,8.84,12.1,6.07,114,1.42,5.41,2.21,1.74,2.9,3.6,6.19,77
Ca7,9.17,7.91,8.73,9.7,5.92,114,1.41,5.06,1.81,1.22,2.65,2.35,4.54,75
Ca8,8.29,7.31,8.64,7.1,5.9,116,1.15,4.48,2.23,0.93,1.85,1.32,3.72,80
Ca9,8.07,6.89,8.54,5.35,5.58,117,0.77,4.54,1.54,0.89,1.25,0,0,NA
Ca10,7.63,6.55,8.52,3.55,6.04,114,0.72,5.19,1.99,0.98,0.9,0,0,NA
Ca11,6.76,6.13,7.66,2.15,5.98,115,0.48,4.65,1.46,0.87,0.85,0,0,NA
Ca12,5.81,6.25,6.98,1.3,3.44,103,0.33,2.7,0,0,NA,0,0,NA
Ca13,4.26,6.18,5.96,0,0,NA,0,0,0,0,NA,0,0,NA
