Orcinus_orca_(NRM_558401),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.42,11.63,10.41,7.23,1.53,93,9,2.12,0,0,NA,5.78,3.26,78
T2,4.11,11.61,10.49,8.99,2.49,100,9.5,3.2,1.59,1.95,6.4,5.72,3.61,92
T3,4.91,12.38,10.21,9.67,3.53,104,9.9,4.23,2.15,2.25,7.3,6.81,3.41,106
T4,6.44,12.22,10.4,9.8,4.34,100,11.2,4,3.45,2.32,7.5,6.96,5.22,105
T5,7.46,11.74,10.05,9.26,4.74,106,10.6,4.22,3.87,2.61,8.3,6.85,5.24,113
T6,8.07,11.55,10.68,10.04,5.48,109,9.6,4.47,4.4,4.12,9.6,6.69,5.13,108
T7,9.18,11.83,11.25,11.18,6.44,111,8.8,4.84,5.52,4.1,10,6.37,4.7,111
T8,9.53,12.03,11.42,12.56,6.19,119,8.55,4.88,5.88,4.15,10.9,7.56,5.09,108
T9,9.88,11.78,11.29,14.25,6.51,116,8.5,4.3,5,4.11,12.1,9.85,5.46,105
T10,10.21,12.64,11.22,14.55,7.19,118,8.5,5,5.04,3.66,11.7,10.36,6.3,110
T11,10.5,13.4,11.59,15.4,7.26,120,7.6,4.97,5.23,3.57,12.4,13.37,6.67,109
T12,10.47,13.79,12,15.8,7.52,120,8.1,5.47,4.98,3.69,12.3,14.47,5.63,103
L1,10.74,13.93,12.38,15.2,7.58,121,7.3,5.28,5.47,3.94,12.4,15.25,5.6,95
L2,10.72,14.05,13.02,15.6,7.55,116,6.8,5.15,4.76,4.2,11.9,15.85,6.06,90
L3,10.99,14.17,13.66,15.35,7.97,112,7,5.44,4.04,3.78,11.4,16.75,6.19,90
L4,10.89,14.05,13.22,16.3,7.7,114,6.9,5.23,4.93,3.68,11.9,16.6,6.37,86
L5,10.89,14.61,13.47,15.2,7.36,110,7,5.17,3.85,3.26,12.5,16.25,5.86,87
L6,11.26,14.95,13.76,14,7.56,105,6.9,5,3.52,3.19,13.2,14.45,5.66,89
L7,11.04,15,14.42,12.22,7.16,109,7.5,4.65,3.32,3.25,13.7,13.37,5.35,92
L8,11.04,15.14,14.64,12,7.51,111,6.6,5.11,3.65,3.34,13.8,12.7,5.19,92
L9,11.01,15.6,14.93,11.27,7.11,115,6.5,5.27,4.05,3.32,14.2,11.87,4.97,89
Ca1,11.11,15.85,15.55,11.42,7.14,108,6.25,5.34,3.85,3.58,14.1,11.63,4.75,86
Ca2,11.01,15.95,15.9,10.1,6.01,110,6.2,5.62,3.87,3.4,13.3,11.4,4.56,83
Ca3,10.93,15.9,15.95,8.96,7,106,5.4,5.85,4.13,3.5,12.9,9.7,4.96,79
Ca4,10.89,15.85,15.9,8.63,5.83,104,5.35,5.55,4.17,3.24,12.7,8.52,4.55,85
Ca5,10.93,16.1,16.6,7.99,4.95,106,5,5.17,3.1,2.78,11.4,6.98,5.03,83
Ca6,10.72,16.2,16.7,7.76,4.74,97,4.1,4.63,3.06,3.55,10.4,6.03,5.21,81
Ca7,10.59,16.25,17.3,6.92,4.16,102,3.6,4.66,2.75,2.75,8.2,4.66,5.14,84
Ca8,10.22,16,16.85,5.62,4.93,106,3.3,5.95,2.3,2.4,6.6,3.73,4.83,80
Ca9,9.86,15.55,17,4.99,4.92,108,2.1,5.32,1.86,2.46,6.5,2.27,4.45,90
Ca10,9.81,14.95,16.7,3.81,5.83,106,2,4.84,1.56,1.81,4.9,1.75,3.66,90
Ca11,9.79,13.25,16.4,3.47,6.02,107,1.55,5.21,1.7,1.37,3.5,0,0,NA
Ca12,9.53,12.7,15.8,2.19,5.95,106,1.4,5.84,0.96,0.9,1.8,0,0,NA
Ca13,9.27,11.99,15.4,0.79,4.25,108,1.6,5.28,0,0,NA,0,0,NA
Ca14,8.4,11.38,13.3,0,0,NA,0.8,4.7,0,0,NA,0,0,NA
Ca15,7.09,10.93,11.45,0,0,NA,0,0,0,0,NA,0,0,NA
Ca16,5.48,10.75,10.71,0,0,NA,0,0,0,0,NA,0,0,NA
