Pontoporia_blainvillei_(SMNS_45597),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.38,2.57,2.03,3.02,1.45,107,1.8,1.33,0,0,NA,2.03,0.96,80
T2,1.77,2.3,2.08,3.36,1.5,100,1.7,1.58,0.47,0.38,1.5,2.21,1.44,90
T3,2.12,2.3,2.14,3.23,1.82,105,1.7,1.88,0.55,0.36,1.3,2.12,1.68,90
T4,2.26,2.19,2.01,3.9,2.16,105,1.6,1.2,0.42,0.39,1.4,1.9,1.84,90
T5,2.64,2.32,1.99,4.05,2.49,100,1.8,1.42,1.44,1,1.4,1.48,1.91,95
T6,2.92,2.38,2.11,3.88,2.53,105,1.8,1.79,1.67,1.03,1.7,1.46,1.94,105
T7,3.03,2.51,2.24,4.02,3.05,115,1.6,2.29,2.26,1.27,2.1,1.51,1.7,105
T8,3.34,2.56,2.35,3.89,3.02,115,1.5,2.11,1.8,1.33,2.15,2.14,2.18,100
T9,3.71,2.63,2.39,4.82,2.88,115,1.5,2.69,1.59,1.22,2.4,3.73,3.73,105
T10,4.01,2.79,2.5,4.86,3.37,115,1.5,2.73,1.42,1.41,2.5,6.11,3.89,110
L1,4.24,2.99,2.6,4.78,3.47,115,1.22,2.93,1.7,1.23,2.6,6.68,4.99,110
L2,4.43,3.14,2.88,4.52,3.01,115,0.99,3.28,1.66,1.48,2.6,6.73,5.32,105
L3,4.23,3.38,3.05,4.69,3.04,112,0.87,3.54,1.37,1.42,2.7,6.21,5.76,110
L4,4.15,3.3,3.17,4.57,3.06,110,1.01,3.23,1.22,1.43,2.8,5.35,5.94,105
L5,4.19,3.55,3.21,4.08,2.65,106,1.15,2.49,1.12,1.14,2.9,4.92,5.17,100
L6,4.4,3.54,3.34,3.81,2.91,105,1.06,2.62,0.94,1.15,2.9,4.59,4.86,95
Ca1,4.17,3.52,3.2,3.75,3.02,100,0.95,2.71,0.89,1.32,3,3.67,4.42,90
Ca2,3.63,3.95,3.32,3.17,3,95,0.78,2.5,1.33,1.3,2.5,3.04,3.97,90
Ca3,3.29,3.59,3.31,2.7,2.86,95,0.53,2.46,1,1.05,1.8,2.07,3.53,80
Ca4,3.04,3.31,3.26,2.02,2.64,100,0.36,2.15,0.85,0.72,1.1,1.98,2.82,78
Ca5,2.81,3.06,3.55,1.58,2.18,105,0.36,2.1,1.07,0.66,0.8,0.59,2.02,70
Ca6,2.71,2.88,3.22,0.95,2.24,110,0.3,2.16,0.9,0.45,0.55,0.47,1.66,63
Ca7,2.34,2.73,3.05,0.73,1.23,110,0.28,1.81,0,0,NA,0,0,NA
Ca8,2.18,2.67,2.92,0.37,1.34,100,0.27,1.48,0,0,NA,0,0,NA
Ca9,1.88,2.66,2.72,0,0,NA,0,0,0,0,NA,0,0,NA
Ca10,1.62,2.72,2.71,0,0,NA,0,0,0,0,NA,0,0,NA
