Pontoporia_blainvillei_(USNM_504920),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.49,2.26,1.76,2.52,1.11,108,1.71,1.22,0,0,NA,2.28,0.73,73
T2,1.81,2.29,1.71,2.92,1.28,108,1.61,1.44,0,0,NA,2.29,1.1,75
T3,2.19,2.23,1.74,2.88,1.49,106,1.6,1.3,0.43,0.39,1.9,2.16,1.32,75
T4,2.36,2.19,1.83,2.99,1.97,102,1.62,1.49,0.5,0.32,1.8,2.13,1.51,82
T5,2.56,2.17,1.91,2.86,1.99,100,1.5,1.55,0.93,0.5,1.75,2.02,1.62,93
T6,2.96,2.2,1.99,3.04,2.24,93,1.4,1.64,1.21,0.57,1.8,1.84,1.59,97
T7,3.24,2.31,2.1,3.6,2.43,95,1.45,1.96,1.48,0.71,1.85,1.97,1.93,103
T8,3.15,2.54,2.24,3.53,2.5,98,1.28,2.04,1.61,0.88,2.05,2.23,2.19,104
T9,3.58,2.7,2.34,3.47,2.86,102,1.29,2.33,1.3,0.84,2.1,3.77,2.86,103
T10,3.83,2.72,2.54,3.75,2.81,115,1.36,2.47,1.32,1.01,2.15,5.78,3.06,107
L1,4.11,2.79,2.71,3.73,2.63,118,1.33,2.33,1.15,0.93,2.3,5.99,4.1,104
L2,4.21,2.95,2.87,4.11,2.67,117,1.17,2.73,1.29,0.98,2.3,6,4.46,101
L3,4.39,3.04,2.96,4.1,2.19,112,1.33,2.69,0.91,1.05,2.3,5.79,5.27,98
L4,4.41,3.02,3.06,4.13,2.51,115,1.09,2.48,0.95,1.14,2.45,5.14,5.13,100
L5,4.55,3.06,3.08,3.91,2.42,112,1.21,2.4,0.83,0.79,2.8,5.06,3.94,100
L6,4.39,3.23,3.04,3.6,2.58,110,1.08,2.51,1.02,1.17,2.75,4.43,3.83,100
Ca1,4.29,3.35,3.14,3.26,2.5,104,1.01,2.49,1.08,0.94,2.75,3.62,4.26,95
Ca2,4.04,3.29,3.19,NA,NA,NA,0.84,2.51,0.77,0.92,2.2,2.64,3.66,94
Ca3,3.6,3.25,3.26,NA,NA,NA,0.67,2.18,0.91,0.77,1.8,2.21,3.46,88
Ca4,3.28,3.26,3.34,1.81,2.25,101,0.63,2.03,0.69,0.73,1.15,1.66,1.95,83
Ca5,3.09,3.06,3.26,1.46,1.91,104,0.45,1.83,0.93,0.61,0.95,1.08,1.25,68
Ca6,2.87,2.92,3.32,0.81,1.88,99,0.47,1.81,0.56,0.44,0.75,0.42,0.99,70
Ca7,2.59,2.85,3.09,0.47,1.61,92,0.42,1.75,0,0,NA,0,0,NA
Ca8,2.46,2.75,2.87,0,0,NA,0.36,0.98,0,0,NA,0,0,NA
Ca9,2.11,2.67,2.75,0,0,NA,0,0,0,0,NA,0,0,NA
Ca10,1.92,2.65,2.54,0,0,NA,0,0,0,0,NA,0,0,NA
