Phocoenoides_dalli_(USNM_504969),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.01,3.9,3.08,4.3,0.7,100,2.84,0.72,0,0,NA,1.09,0.62,58
T2,1.32,3.89,3.06,8.07,1.2,107,2.63,1.2,0,0,NA,1.99,0.82,62
T3,1.56,3.5,2.99,9.2,1.41,111,2.8,1.6,0.42,0.6,2,1.85,1.04,75
T4,1.85,3.38,2.91,9.43,1.44,122,2.77,1.59,0.7,0.82,2.45,1.8,1.2,88
T5,1.85,3.21,2.87,9.55,1.57,121,2.84,1.48,0.94,0.75,2.55,1.85,1.39,90
T6,1.91,3.25,2.78,9.46,1.51,117,2.83,1.65,1.19,0.81,2.6,1.8,1.39,91
T7,1.97,NA,NA,9.42,1.41,116,2.91,1.58,1.09,0.71,2.65,1.73,1.43,97
T8,1.97,3.46,2.87,9.41,1.28,112,3.01,1.6,1.01,0.64,2.5,1.99,1.36,100
T9,1.98,3.4,2.84,9.53,1.36,116,2.89,1.46,1.21,0.82,2.55,1.82,1.27,96
T10,2.04,3.53,2.91,9.5,1.19,109,2.96,1.46,1.1,0.66,2.5,2.11,1.38,98
T11,2.03,3.56,2.93,9.6,1.25,105,2.93,1.44,1.25,0.66,2.35,2.21,1.37,100
T12,2.09,3.67,3.05,10.04,1.35,103,2.84,1.46,1.28,0.73,2.25,2.22,1.41,98
T13,2.04,3.78,3.15,10.54,1.39,98,2.9,1.49,0.98,0.77,2.2,2.54,1.34,98
T14,2,3.79,3.2,11.15,1.32,98,2.94,1.7,0.88,0.77,2.35,2.65,1.51,96
T15,1.97,3.78,3.29,11.64,1.58,100,2.91,1.59,0.78,0.97,2.6,2.85,1.46,97
T16,1.99,3.81,3.38,12.23,1.51,97,2.94,1.43,0.74,0.75,2.6,3.68,1.55,100
T17,1.92,3.77,3.42,12.66,1.53,92,3.14,1.47,0.73,0.79,2.65,6.51,1.6,98
L1,1.97,3.7,3.46,12.83,1.41,90,3.13,1.48,0.64,0.71,2.85,9.94,1.26,96
L2,1.88,3.82,3.56,13.17,1.34,90,2.98,1.48,0,0,NA,10.51,1.32,86
L3,1.84,3.87,3.49,13.24,1.34,88,3.05,1.43,0,0,NA,10.67,1.22,87
L4,1.87,3.95,3.45,13.13,1.36,81,3.19,1.33,0,0,NA,11.39,1.26,87
L5,1.77,3.97,3.55,13.2,1.35,83,3.22,1.26,0,0,NA,11.38,1.14,83
L6,1.8,3.93,3.52,12.96,1.32,80,3.05,1.26,0,0,NA,11.36,1.19,80
L7,1.75,3.95,3.51,12.82,1.3,79,3.35,1.19,0,0,NA,11.03,1.14,80
L8,1.77,4.06,3.52,12.41,1.29,78,3.34,1.16,0,0,NA,11.06,1.09,80
L9,1.76,3.95,3.59,12.38,1.23,76,3.19,1.16,0,0,NA,10.52,1.07,79
L10,1.68,4.1,3.58,12.25,1.2,75,3.18,1.15,0,0,NA,10.72,1,76
L11,1.68,4.04,3.66,12.14,1.22,75,3.16,1.11,0,0,NA,10.47,1.02,74
L12,1.68,4.04,3.6,11.92,1.18,75,3.33,1.12,0,0,NA,10.39,1,75
L13,1.69,4.12,3.66,11.95,1.22,73,3.29,1.02,0,0,NA,10.25,1.07,75
