Cephalorhynchus_commersonii_(USNM_550154),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.99,2.37,2.09,1.79,0.46,100,2.23,0.59,0,0,NA,1.63,0.59,67
T2,1.31,2.28,2.07,2.26,0.62,106,2.23,0.91,0,0,NA,1.71,0.79,76
T3,1.61,2.12,2.09,2.82,0.87,112,2.19,1.16,0.34,0.33,2.15,1.58,1.07,92
T4,1.84,2.14,2,3.3,0.96,116,2.28,1.04,0.41,0.33,2.2,1.41,1.19,95
T5,1.96,2.1,1.98,3.38,1.03,117,2.44,0.89,0.76,0.53,2.2,1.32,1.2,97
T6,2.08,2.13,2.04,3.46,1.1,115,2.43,0.96,0.87,0.58,2.3,1.43,1.24,95
T7,2.17,2.16,2.11,3.8,1.16,118,2.26,1.13,0.96,0.65,2.55,1.49,1.22,90
T8,2.18,2.28,2.16,3.89,1.2,117,2.36,1.23,0.82,0.73,2.65,1.98,1.31,90
T9,2.2,2.34,2.14,4.25,1.24,115,2.37,1.4,0.73,0.71,2.8,2.38,1.33,89
T10,2.2,2.4,2.16,4.51,1.28,114,2.13,1.44,0.83,0.71,2.9,2.7,1.64,98
T11,2.12,2.47,2.15,4.67,1.2,114,2.03,1.36,0.76,0.63,2.85,3.23,1.57,106
T12,2.04,2.49,2.21,4.75,1.12,114,2.01,1.24,0.84,0.55,2.8,5.15,1.41,114
T13,2,2.43,2.23,4.85,1.05,115,1.97,1.23,1.07,0.52,2.85,5.32,1.41,109
L1,1.97,2.46,2.24,4.88,1.07,113,1.98,1.17,0.98,0.52,2.95,5.77,1.37,103
L2,1.92,2.46,2.33,5.1,1.03,108,1.98,1.16,1.03,0.51,2.9,5.84,1.36,103
L3,1.88,2.47,2.38,5.07,1.07,106,1.92,1.11,1.05,0.44,2.85,5.65,1.31,97
L4,1.86,2.48,2.41,5.08,1.04,104,1.96,0.92,0.87,0.54,2.95,5.51,1.24,95
L5,1.83,2.54,2.46,5.05,0.97,103,1.91,1.02,0.82,0.54,2.9,5.49,1.23,97
L6,1.8,2.56,2.5,5.14,0.93,101,1.76,1.04,0.93,0.57,2.75,5.29,1.25,98
L7,1.75,2.68,2.57,5.04,0.95,100,1.7,0.95,0.46,0.4,2.4,4.91,1.14,96
L8,1.71,2.65,2.56,4.97,0.91,95,1.65,1.03,0.43,0.45,2.4,4.69,1.11,97
L9,1.64,2.68,2.58,4.8,0.84,88,1.57,1.11,0.38,0.41,2.6,4.4,1.03,95
L10,1.63,2.75,2.6,4.78,0.82,88,1.59,0.99,0.33,0.37,2.45,4.31,1.02,97
L11,1.62,2.79,2.58,4.6,0.81,89,1.64,1.1,0.4,0.4,2.6,3.85,1.04,95
L12,1.58,2.79,2.6,4.52,0.72,87,1.81,0.95,0.33,0.38,2.5,3.65,1.02,95
L13,1.58,2.9,2.66,4.5,0.69,85,1.68,0.96,0.59,0.46,2.9,3.33,0.96,93
L14,1.59,2.96,2.73,4.35,0.7,75,1.52,0.99,0.74,0.46,3.05,3.1,0.95,88
Ca1,1.52,2.91,2.74,4.23,0.73,67,1.53,0.89,0.81,0.37,3.25,2.96,0.9,85
Ca2,1.52,2.89,2.67,3.97,0.7,62,1.51,0.88,0.74,0.36,3.1,2.79,0.91,83
Ca3,1.54,2.91,2.83,3.85,0.82,59,1.4,0.92,0.75,0.38,3.05,2.69,0.83,82
Ca4,1.51,2.84,2.76,3.61,0.76,57,1.39,0.9,0.9,0.36,3.1,2.6,0.86,81
Ca5,1.49,2.81,2.72,3.46,0.78,57,1.33,0.82,0.83,0.37,3.1,2.51,0.85,78
Ca6,1.52,2.75,2.76,3.08,0.79,59,1.28,0.8,0.93,0.41,2.9,2.45,1.01,77
Ca7,1.51,2.75,2.75,2.75,1,54,1.1,0.86,0.89,0.43,2.7,2.25,1.01,75
Ca8,1.53,2.75,2.82,2.22,1.1,59,0.96,0.9,0.92,0.44,2.45,2.24,1.08,76
Ca9,1.55,2.75,2.87,2.16,1.11,68,0.69,0.89,0.89,0.44,2.1,1.96,0.96,75
Ca10,1.57,2.7,2.86,1.87,1.02,75,0.63,0.83,0.81,0.51,1.8,1.45,1.04,73
Ca11,1.6,2.76,2.9,1.56,1.04,77,0.43,0.91,0.64,0.56,1.55,1.11,0.96,71
Ca12,1.65,2.74,2.88,1.25,0.97,80,0.45,0.93,0.59,0.46,1.3,0.73,0.85,67
Ca13,1.68,2.62,2.85,1.11,1.1,113,0.42,1.05,0.57,0.51,1.1,0.4,0.81,67
Ca14,1.7,2.58,2.91,0.82,0.98,114,0.36,1.12,0.55,0.42,0.9,0.2,0.55,71
Ca15,1.75,2.58,2.84,0.62,1.11,113,0.3,1.31,0.38,0.31,0.6,0,0,NA
Ca16,1.76,2.52,2.77,0.31,0.96,113,0.32,1.05,0.25,0.25,0.25,0,0,NA
Ca17,1.73,2.39,2.66,0,0,NA,0.29,0.78,0,0,NA,0,0,NA
Ca18,1.59,2.36,2.43,0,0,NA,0,0,0,0,NA,0,0,NA
