Phocoena_dioptrica_(USNM_571486),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.24,3.18,2.81,2.59,1.17,94,3.49,0.95,0,0,NA,2.3,1.05,76
T2,1.59,3.24,2.79,4.2,1.41,103,3.08,1.32,0,0,NA,2.79,1.46,83
T3,2.02,3.36,2.56,4.98,1.75,106,3.06,1.51,0,0,NA,2.36,1.62,86
T4,2.2,3.27,2.66,5.12,1.87,107,2.91,1.74,0.52,0.68,2.5,1.95,1.7,93
T5,2.42,3.24,2.67,5.07,2.15,105,2.98,1.73,0.77,0.85,2.95,2.19,1.73,97
T6,2.52,3.36,2.86,5.05,2.28,105,3.05,1.92,1.04,0.77,3,2.21,1.87,96
T7,2.64,3.32,2.91,5.28,2.91,103,2.76,1.91,1.06,0.72,2.9,2,1.9,97
T8,2.75,3.34,2.92,5.57,2.58,103,2.91,2.22,1.15,0.87,2.75,2.38,1.95,97
T9,2.85,3.25,3.16,5.68,2.71,102,3.04,1.8,1.11,1.03,2.65,2.69,2.14,99
T10,3.12,3.42,3.23,6.01,3.06,108,2.91,2,0.85,1.02,2.45,2.26,2.06,109
T11,3.06,3.59,3.34,6.26,3.26,109,2.74,2.2,1.4,1.32,2.9,2.51,2.1,107
T12,3.21,3.84,3.63,6.55,3.11,105,2.47,2.37,1.92,1.17,2.5,3.03,2.35,103
T13,3.25,3.95,3.43,7.05,3.25,110,2.56,2.22,2.05,1.26,3,3.66,2.66,97
T14,3.33,3.3,3.48,7.21,2.78,114,2.35,2.25,1.89,1.13,2.9,5.53,2.44,96
L1,3.4,3.82,3.44,7.87,2.74,115,2.36,2.02,2.15,1.19,3,6.82,2.44,93
L2,3.25,3.93,3.53,7.93,2.89,114,2.32,2.06,2.38,1.26,3,7.28,2.47,91
L3,3.29,4.04,3.59,8.16,2.97,113,2.12,2.12,NA,NA,NA,7.13,2.6,87
L4,3.26,3.94,3.64,8.09,2.63,113,2.06,1.98,2.05,1.22,3.2,7.24,2.62,91
L5,3.22,3.98,3.62,8.04,2.4,113,1.86,1.88,1.71,1.24,2.95,6.95,2.6,78
L6,3.17,4.06,3.62,8.17,2.57,112,1.93,1.9,1.69,1.26,3.25,6.79,2.45,77
L7,3.14,4,3.69,8.1,2.74,100,2.06,1.92,1.82,1.09,3.1,6.81,2.5,76
L8,3.22,4.03,3.69,7.92,2.58,100,1.86,1.9,1.5,1.17,3.25,6.45,2.41,76
L9,3.22,4.16,3.75,7.49,2.68,99,1.85,1.93,1.06,1.22,3.25,5.92,2.56,76
L10,3.27,4.2,3.81,7.33,2.34,93,1.88,1.88,0.97,1.2,2.7,5.84,2.75,76
L11,3.19,4.18,3.95,7.43,2.46,87,1.85,1.87,1.09,1.21,2.75,5.64,2.5,73
L12,3.25,4.35,4.08,7.42,2.55,85,1.73,1.86,0.68,1.3,2.95,5.32,2.21,73
L13,3.26,4.27,4.3,7.26,2.79,89,1.74,1.92,0.79,1.35,3,4.94,2.22,70
L14,3.26,4.21,4.39,6.86,2.62,88,1.71,1.92,0.82,1.26,2.95,4.16,2.16,73
Ca1,3.25,4.17,4.46,6.21,2.8,90,1.71,1.85,0.75,1.08,3.35,4.11,2.24,73
Ca2,3.23,4.12,4.63,5.91,2.43,90,1.69,1.74,NA,NA,NA,3.72,2.04,67
Ca3,3.21,4.09,4.58,5.72,2.59,95,1.56,1.8,0.77,1.3,3.05,3.33,1.95,56
Ca4,3.11,4,4.59,5.55,2.76,92,1.57,1.83,0.87,1.07,2.85,2.57,2.23,60
Ca5,3.16,4.03,4.42,5.43,2.47,95,1.58,1.86,0.78,1.19,2.95,2.69,2.16,57
Ca6,3.14,4.02,4.51,5.26,2.95,96,1.25,1.94,0.92,0.89,2.5,2.16,2.2,71
Ca7,3.01,3.99,4.46,4.85,2.78,97,1.1,1.88,0.82,0.86,2.35,2.26,2.25,72
Ca8,2.88,4.08,4.28,4.35,2.74,100,1.03,1.78,0.7,0.9,1.9,2.19,2.41,69
Ca9,2.76,4.09,4.29,3.85,2.42,101,0.78,1.66,0.56,0.78,1.55,1.33,2.15,73
Ca10,2.7,4.16,4.36,3,2.17,102,0.78,1.46,0.48,0.66,1.35,0.89,1.57,70
Ca11,2.67,4.13,4.21,2.54,2.23,103,0.54,1.32,0.45,0.61,1,0.55,1.41,70
Ca12,2.67,4.01,4.31,1.96,2.02,107,0.58,1.65,0.45,0.59,0.8,0,0,NA
Ca13,2.58,3.75,4.13,1.48,1.71,113,0.62,1.65,0.47,0.49,0.7,0,0,NA
Ca14,2.63,3.67,3.99,1.25,1.53,132,0.46,1.81,0.44,0.43,0.55,0,0,NA
Ca15,2.53,3.54,4.09,0.91,1.64,118,0.41,1.75,0.4,0.34,0.3,0,0,NA
Ca16,2.44,3.47,3.97,0.52,1.51,110,0.34,1.67,0.31,0.28,0.2,0,0,NA
Ca17,2.28,3.36,3.86,0,0,NA,0.32,1.35,0,0,NA,0,0,NA
Ca18,2.11,3.32,3.59,0,0,NA,0.21,0.88,0,0,NA,0,0,NA
Ca19,1.88,3.28,3.2,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.59,3.24,3.22,0,0,NA,0,0,0,0,NA,0,0,NA
