Platanista_gangetica_(SMNS_45652),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.88,4.05,2.25,2.84,1.54,98,1.91,1.5,0,0,NA,1.66,1.53,90
T2,2.05,3.98,2.22,3.68,1.97,102,1.8,1.9,0,0,NA,1.2,1.85,90
T3,2.21,3.59,2.25,3.67,2.13,108,1.5,1.73,0,0,NA,1.32,1.87,90
T4,2.38,3.76,2.41,3.48,1.89,113,1.41,1.53,0.3,0.33,1.5,1.19,2.03,90
T5,2.45,3.58,2.41,3.09,1.47,103,1.38,1.72,0.99,0.98,1.5,1.28,2.01,90
T6,2.59,3.72,2.45,3.22,1.8,92,1.32,1.99,2.35,1.26,2.39,0.78,2.16,90
T7,2.85,3.66,2.49,3.23,1.98,84,1.3,1.93,2.39,1.58,2.83,0.5,2.24,90
T8,2.96,3.63,2.47,3.5,2.21,82,1.21,2.07,2.41,1.55,2.74,0.54,2.02,90
T9,2.8,3.51,2.63,3.68,2.33,79,1.12,2.28,2.61,1.85,3.04,1.05,2.06,90
T10,3.14,3.45,2.69,3.84,2.46,78,1.16,2.37,2.46,1.68,3.13,2.98,1.95,90
L1,3.23,3.52,2.85,4.46,2.73,80,1.36,2.29,2.79,1.62,2.81,4.95,2.47,84
L2,3.48,3.78,2.93,4.77,2.81,79,1.23,2.27,3.05,1.36,2.51,6.43,2.35,85
L3,3.52,3.88,3.1,4.87,2.97,80,1.03,2.4,3.3,1.54,2.77,6.71,2.47,78
L4,3.65,4,3.17,5.8,2.87,76,1.02,2.32,3.11,1.53,2.73,7.07,2.9,85
L5,3.6,3.77,3.33,5.76,2.62,74,1.29,2.25,2.72,1.67,2.81,6.62,2.54,95
L6,3.83,3.7,3.45,5.84,2.54,76,1.49,2.27,2.57,1.12,2.66,6.42,2.82,98
L7,3.93,3.71,3.37,5.55,2.43,80,1.59,2.24,2.39,1.07,2.52,6.06,2.73,94
L8,3.76,3.86,3.45,5.45,2.81,80,1.79,1.93,2.31,0.84,2.58,5.76,2.68,93
Ca1,3.67,3.86,3.44,5.81,2.64,78,1.58,1.77,2.25,0.67,2.51,5.51,2.38,92
Ca2,3.62,3.88,3.55,5.67,2.63,74,1.46,1.87,2.44,0.79,2.44,4.82,2.03,88
Ca3,3.75,3.98,3.75,5.24,2.3,75,1.45,1.88,2.08,0.68,2.21,4.61,2.17,88
Ca4,3.7,3.94,3.67,4.78,2.24,77,1.4,1.69,1.46,0.66,1.95,4.18,2.27,85
Ca5,3.66,3.99,3.73,4.31,2.49,79,1.42,1.74,1.82,0.79,2.02,3.76,2.27,81
Ca6,3.68,4.01,3.57,3.93,2.35,83,1.24,1.69,1.55,0.67,1.76,3.25,1.98,78
Ca7,3.55,3.99,3.68,3.61,2.45,85,0.96,1.71,1.82,0.73,1.56,2.49,1.78,76
Ca8,3.3,3.98,3.64,2.83,2.26,88,0.77,1.81,1.42,0.59,1.12,2.04,2.04,80
Ca9,3.56,3.82,3.76,2.63,2.23,92,0.64,1.68,1.43,0.77,0.95,1.64,1.79,74
Ca10,3.33,3.65,3.62,2.07,2.21,92,0.61,1.28,1.22,0.62,0.78,0.84,1.45,65
Ca11,3.34,3.46,3.5,1.85,2.25,90,1.55,1.4,1.25,0.7,0.59,0.5,1.23,60
Ca12,3.24,3.44,3.47,1.33,2.13,90,0.6,1.53,1.09,0.59,0.41,0,0,NA
Ca13,2.54,3.25,3.42,1.01,2.45,90,0.38,2.01,0,0,NA,0,0,NA
