Physeter_macrocephalus_(NRM_558211),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,8.62,45.2,33.5,6.61,3.78,93,13.7,11.79,0,0,NA,18.6,15.7,74
T2,13.44,40.5,32.8,8.83,8.51,91,14.3,16.4,0,0,NA,17.3,15.5,81
T3,14.1,40,29.6,14.4,16.4,90,20.5,10.74,2.03,3.37,16.7,19.5,14.16,95
T4,15.1,38.4,32.5,16.4,15,91,22.3,10.65,2.56,4.47,17.5,17.6,14.47,92
T5,15.3,37.8,30.1,19.2,15.1,95,22.8,11.32,2.84,3.94,15.9,17.8,17.3,105
T6,16.7,37.2,33.5,20.4,14.7,101,23.2,12.18,2.92,6,13.4,15.8,16.9,104
T7,18.5,37,32.2,23.7,15.1,101,23.3,10.62,5.03,5.98,13.7,13.5,15.8,108
T8,19.4,35.7,30.9,29.3,16.8,102,20.2,10.55,6.47,6.08,15,8,14.2,108
T9,20.9,40.3,32.9,31.8,19.5,106,17.2,11.25,7.44,7.08,16.3,8.5,14.8,90
T10,21.9,36.8,33.1,35.8,19.5,104,16.9,11.18,11.35,9.32,16.5,16,14.3,103
T11,22.5,35.4,35.1,32.5,20.1,112,15.4,12.19,12.24,8.92,15.6,22.3,15.2,90
L1,23,35.3,34.7,34.1,21.1,114,14.3,13.21,13.4,8.03,18.7,21.9,14.21,80
L2,25.6,35.1,36.2,33.9,21.4,117,16.5,13.66,14.43,8.24,18.3,21.4,14.13,78
L3,25.7,36.3,35.2,35.1,21.3,118,15.6,14.71,13.54,8.67,19.5,21.9,14.25,79
L4,26.9,36.3,35.9,39.8,19,127,14.2,13.42,12.91,8.97,24.8,22.2,14.11,80
L5,26.1,36.2,36.3,44.3,26.7,123,13.4,14.64,13.22,8.27,24.3,23.1,14.64,78
L6,27.1,34.5,36.6,NA,NA,NA,13.5,13.96,10.75,9.67,25.2,23.8,14.18,87
L7,27.5,35.5,36.6,34.3,17.7,135,12.8,13.82,12.64,9.38,28.8,21.2,13.76,92
L8,28,37.4,37.5,30.9,15.7,130,14.1,12.91,11.81,9.8,28.5,20.7,13.67,90
Ca1,28.7,38,40.5,25.7,14.6,127,13.3,13.36,12.58,9.75,29.4,20.8,12.67,84
Ca2,28.5,39.1,38.2,22.4,14.1,122,12.5,13.23,10.7,9.29,29.3,21.9,13.57,78
Ca3,28.7,40.7,39.1,22.2,17.1,111,11.8,14.12,7.44,8.2,28.7,17.3,17.1,80
Ca4,30.2,38.9,40.9,22.3,19.2,93,8.2,13.82,7.47,6.92,27.6,10.4,23.4,85
Ca5,29.4,38.4,42,19.2,17.9,98,10.5,14.48,6.31,6.39,24.7,9.6,24.1,83
Ca6,29.3,36.5,40.6,16.1,19.4,103,8.7,16.3,6.24,6.34,22.2,7.8,22.4,80
Ca7,28.2,35.3,40.1,12.8,17.9,100,6.6,16.3,5.13,5.45,19.4,5.6,21.9,78
Ca8,27.9,34.2,39.6,10.7,13.6,107,6.1,15.8,5.15,5.77,14.8,3.1,7.4,70
Ca9,26.3,31,38.1,8.7,11.3,113,4.6,15.9,4.02,6.36,12,0,0,NA
Ca10,24.4,30.8,34.7,3.8,7.9,105,4.1,17.8,3.63,6.31,8.1,0,0,NA
Ca11,22,31.2,32.3,0,0,NA,4.3,16.3,2.81,4.98,3.5,0,0,NA
Ca12,17.8,28.9,27.7,0,0,NA,3.1,9.9,0,0,NA,0,0,NA
Ca13,14.1,24.3,24.5,0,0,NA,0,0,0,0,NA,0,0,NA
