Phocoena_phocoena_(NRM_875216),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.87,2.41,2.08,1.83,0.74,85,1.93,0.85,0,0,NA,1.45,0.89,66
T2,1.27,2.41,2.02,2.97,0.85,115,1.88,1.08,0,0,NA,1.68,0.94,65
T3,1.59,2.19,1.92,3.59,1.28,120,1.86,1.01,0.44,0.44,1.6,1.67,1.05,75
T4,1.83,2.21,1.85,3.54,1.31,116,1.91,1.08,0.74,0.57,2.1,1.71,1.38,87
T5,1.92,2.15,1.99,3.9,1.72,112,1.95,1.14,0.84,0.59,2.15,1.58,1.35,96
T6,1.99,2.18,2.07,3.96,1.67,110,1.94,1.2,0.79,0.46,2.1,1.52,1.31,90
T7,2.03,2.2,2.15,3.95,1.62,108,1.83,1.07,0.87,0.49,2.05,1.55,1.29,90
T8,2.16,2.28,2.2,3.97,1.6,107,1.76,1.14,0.98,0.52,2.1,1.61,1.42,92
T9,2.14,2.34,2.23,NA,1.81,NA,1.64,1.14,0.66,0.47,1.95,1.75,1.54,97
T10,2.16,2.53,2.29,NA,1.81,NA,1.58,1.18,0.97,0.58,1.95,2.06,1.33,105
T11,2.18,2.6,2.24,4.81,1.87,110,1.61,1.19,1.04,0.61,2,2.43,1.41,102
T12,2.17,2.66,2.24,4.88,1.79,109,1.59,1.16,1.24,0.66,2.25,3.44,1.43,110
T13,2.09,2.67,2.24,4.88,1.75,107,1.64,1.11,1.45,0.64,2.2,6.26,1.42,107
L1,2.1,2.7,2.3,5.42,1.6,110,1.68,1.33,1.52,1.68,2.4,6.77,1.42,105
L2,2.08,2.74,2.33,5.42,1.77,109,1.61,1.2,1.22,0.65,2.45,7.05,1.47,99
L3,2.1,2.86,2.36,5.4,1.6,107,1.65,1.29,1.07,0.76,2.15,6.87,1.64,90
L4,2.05,2.87,2.46,5.21,1.6,104,1.5,1.24,0.81,0.65,2,6.65,1.62,90
L5,2.11,2.94,2.58,5.43,1.57,100,1.6,1.29,0.75,0.6,2,6.78,1.63,88
L6,2.21,2.88,2.64,5.22,1.5,97,1.63,1.18,0.51,0.52,1.95,6.71,1.55,82
L7,2.16,2.87,2.68,5.04,1.54,88,1.44,1.28,0.61,0.6,1.95,6.8,1.5,80
L8,2.22,2.97,2.8,5.05,1.42,82,1.46,1.29,0.59,0.65,2,6.65,1.63,75
L9,2.16,2.97,2.75,4.98,1.35,75,1.5,1.27,0.57,0.57,1.95,6.42,1.68,69
L10,2.29,3.05,2.82,5.02,1.22,70,1.47,1.18,0.36,0.43,1.8,6.11,1.5,64
L11,2.16,3.12,2.82,5.11,1.21,68,1.37,1.16,0.49,0.62,2,5.82,1.38,60
L12,2.2,3.1,2.91,4.97,1.14,65,1.54,1.19,0.24,0.36,2.2,5.51,1.38,58
L13,2.25,3.19,2.92,5.04,1.05,60,1.56,1.08,0.33,0.45,2.4,5.4,1.28,55
L14,2.27,3.21,3.02,4.83,1.11,53,1.43,1.12,0.32,0.47,2.4,5.11,1.28,51
Ca1,2.33,3.23,3.08,4.43,1.27,58,1.62,1.16,0.44,0.59,2.45,4.93,1.51,52
Ca2,2.31,3.18,2.99,4.44,1.3,54,1.42,1.22,0.5,0.46,2.5,4.52,1.45,53
Ca3,2.27,3.24,3.04,4.18,1.31,49,1.23,1.26,0.65,0.48,2.5,4.39,1.59,54
Ca4,2.29,3.19,3.04,4.27,1.86,52,1.03,1.34,0.64,0.33,2.4,3.75,1.97,50
Ca5,2.24,3.12,3.09,4.22,1.74,61,1.01,1.41,0.81,0.32,2.2,3.33,1.99,54
Ca6,2.15,3.16,3.14,3.63,1.67,66,0.73,1.21,NA,NA,NA,3.29,1.46,61
Ca7,2.08,3.09,3.14,3.32,1.8,77,0.63,1.18,0.66,0.38,1.8,2.72,1.26,67
Ca8,2.05,3.11,3.06,2.84,1.67,79,0.6,1.13,0.62,0.41,1.45,2.19,1.06,67
Ca9,1.96,3.09,3.21,2.38,1.55,85,0.5,1.09,0.46,0.4,1.15,1.66,0.83,63
Ca10,1.91,3.05,3.1,2.01,1.41,90,0.46,1.13,0.33,0.34,0.85,1.13,0.58,60
Ca11,1.86,2.99,3.09,1.69,1.37,102,0.47,1.24,0.32,0.4,0.6,0.55,0.75,60
Ca12,1.82,2.89,3.17,1.42,1.27,101,0.36,1.18,0.28,0.33,0.45,0.43,0.59,65
Ca13,1.83,2.73,3.15,1.29,1.24,105,0.29,1.18,0.37,0.25,0.35,0,0,NA
Ca14,1.79,2.62,2.95,0.99,1.28,106,0.28,1.16,0.28,0.25,0.3,0,0,NA
Ca15,1.73,2.51,2.95,0.49,1.2,105,0.28,1.09,0.24,0.23,0.2,0,0,NA
Ca16,1.7,2.51,2.9,0.25,1.06,103,0.28,0.96,0.24,0.23,0.15,0,0,NA
Ca17,1.65,2.44,2.85,0,0,NA,0.17,0.71,0.24,0.24,0.1,0,0,NA
Ca18,1.51,2.42,2.68,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.29,2.42,2.44,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.08,2.39,2.33,0,0,NA,0,0,0,0,NA,0,0,NA
