Phocoena_spinipinnis_(USNM_395751),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.99,3.04,2.35,1.99,0.61,104,2.53,0.96,0,0,NA,1.42,0.82,78
T2,1.41,2.83,2.27,2.3,0.87,107,2.61,1.33,0,0,NA,1.34,1.03,79
T3,1.77,2.63,2.15,3.23,1.21,108,2.5,1.71,0,0,NA,1.45,1.25,83
T4,2.02,2.64,2.15,3.72,1.52,105,2.41,1.67,0.35,0.4,1.9,1.28,1.52,80
T5,2.2,2.77,2.21,3.8,1.61,105,2.4,1.64,0.45,0.57,1.9,1.31,1.6,81
T6,2.32,2.83,2.22,3.83,1.79,108,2.37,1.6,0.42,0.51,1.8,1.35,1.39,85
T7,2.47,2.81,2.25,4.01,2.1,113,2.29,1.57,0.49,0.54,1.85,1.37,1.52,92
T8,2.38,2.86,2.31,4.55,1.88,119,2.06,1.47,0.48,0.65,1.75,1.28,1.5,96
T9,2.51,2.92,2.32,4.45,1.81,120,2.03,1.57,0.4,0.5,1.55,1.46,1.65,95
T10,2.61,2.99,2.34,4.55,1.87,119,1.97,1.7,0.78,0.82,2,1.87,1.44,99
T11,2.69,3.05,2.39,5.01,1.89,122,2.01,1.76,0.94,0.78,2.2,2.2,1.64,104
T12,2.67,3.09,2.55,5.19,2.01,122,2.08,2.03,0.82,0.73,2.4,3,1.75,101
T13,2.8,3.08,2.52,5.4,1.95,123,1.9,2.02,0.73,0.74,2.4,3.74,1.72,101
T14,2.7,3.03,2.58,5.46,1.94,120,1.99,1.92,0.61,0.74,2.4,5.4,1.76,97
L1,2.72,3.06,2.69,5.32,1.88,121,1.96,2.02,0.43,0.64,2.4,5.84,1.85,88
L2,2.61,3.09,2.68,5.68,1.76,120,1.87,1.99,0.39,0.61,2.65,6.04,1.81,79
L3,2.54,3.2,2.76,5.92,1.73,119,1.96,1.8,0.29,0.67,2.5,6.33,1.77,74
L4,2.47,3.24,2.81,5.89,1.82,118,1.92,1.69,0.25,0.62,2.45,6.14,1.87,70
L5,2.45,3.18,2.8,5.88,1.79,116,2.02,1.55,0.25,0.39,2.9,6.17,1.69,68
L6,2.41,3.32,2.75,5.48,1.8,117,1.91,1.69,0,0,NA,5.98,1.62,66
L7,2.39,3.34,2.76,5.61,1.74,118,1.94,1.5,0,0,NA,5.6,1.8,63
L8,2.36,3.34,2.82,6.07,1.49,115,1.85,1.42,0,0,NA,5.67,1.73,62
L9,2.37,3.3,2.89,5.99,1.41,116,1.9,1.23,0,0,NA,5.24,1.83,60
L10,2.32,3.39,2.97,5.65,1.41,114,1.98,1.3,0,0,NA,5.11,1.75,62
L11,2.29,3.41,3.06,5.37,1.45,114,1.8,1.33,0,0,NA,4.95,1.58,61
L12,2.3,3.55,3.08,5.3,1.6,112,1.67,1.32,0,0,NA,4.74,1.65,62
L13,2.28,3.46,3.12,NA,1.52,NA,1.63,1.28,0,0,NA,4.51,1.5,63
L14,2.25,3.55,3.28,4.65,1.78,116,1.5,1.32,0.25,0.36,3.1,4.2,1.49,59
L15,2.24,3.55,3.26,NA,1.4,NA,1.45,1.25,0.21,0.25,2.85,3.99,1.47,57
Ca1,2.18,3.55,3.38,4.12,1.36,122,1.46,1.43,0.43,0.51,1.95,3.69,1.48,57
Ca2,2.2,3.53,3.32,3.85,1.36,119,1.42,1.42,0.47,0.46,1.95,3.6,1.62,55
Ca3,2.16,3.69,3.22,3.87,1.42,115,1.19,1.42,0.53,0.46,1.8,3.28,1.71,54
Ca4,2.16,3.69,3.35,3.89,1.52,112,1.26,1.47,0.5,0.54,1.75,3.32,1.59,57
Ca5,2.17,3.55,3.37,3.94,1.71,109,1.2,1.46,0.47,0.52,1.8,3.03,1.79,60
Ca6,2.2,3.52,3.43,3.75,1.57,105,1.18,1.34,0.44,0.51,1.9,2.82,1.72,58
Ca7,2.16,3.49,3.43,3.66,1.54,104,1.04,1.32,0.44,0.53,2,2.36,1.46,60
Ca8,2.11,3.45,3.47,3.36,1.45,103,0.84,1.27,0.59,0.44,1.75,2.01,1.25,60
Ca9,2.06,3.43,3.45,2.97,1.46,105,0.66,1.27,0.44,0.41,1.35,1.63,0.85,56
Ca10,2.03,3.2,3.43,2.58,1.5,105,0.53,1.27,0.41,0.43,1,0.79,0.65,52
Ca11,2,3.04,3.48,2.27,1.55,108,0.49,1.3,0.36,0.39,0.55,0.43,0.57,54
Ca12,2.01,2.92,3.49,1.88,1.46,113,0.41,1.4,0.3,0.39,0.65,0.23,0.45,60
Ca13,2,2.76,3.52,1.55,1.51,114,0.33,1.43,0.28,0.37,0.5,0,0,NA
Ca14,2.01,2.79,3.46,1.17,1.48,116,0.27,1.35,0.31,0.31,0.4,0,0,NA
Ca15,1.93,2.8,3.39,0.67,1.12,117,0.23,1.32,0.34,0.26,0.3,0,0,NA
Ca16,1.88,2.69,3.24,0.34,1.06,121,0.26,1.22,0.29,0.31,0.25,0,0,NA
Ca17,1.74,2.63,2.93,0,0,NA,0.24,1.02,0,0,NA,0,0,NA
Ca18,1.62,2.59,2.79,0,0,NA,0.17,0.83,0,0,NA,0,0,NA
Ca19,1.44,2.63,2.74,0,0,NA,0,0,0,0,NA,0,0,NA
