Stenella_attenuata_(USNM_396028),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.91,3.33,2.73,0.89,0.66,110,2.04,0.68,0,0,NA,1.86,0.72,82
T2,1.3,3.13,2.56,2.65,0.69,132,1.93,0.96,0,0,NA,1.7,0.82,85
T3,1.66,2.89,2.42,3.14,0.8,140,1.89,1.27,0.25,0.23,2,1.97,0.96,90
T4,1.95,2.74,2.36,3.39,0.85,128,1.95,1.17,0.54,0.41,2.1,2.25,1.14,98
T5,2.24,2.65,2.45,3.46,0.89,123,2.09,0.8,0.82,0.46,2.55,2.36,1.26,106
T6,2.41,2.61,2.49,3.79,0.81,120,2.13,0.82,1.02,0.36,2.2,2.75,1.33,103
T7,2.52,2.61,2.55,4.3,1.04,119,2.06,0.93,1.13,0.55,2.75,2.85,1.3,104
T8,2.62,2.64,2.53,4.75,1.15,120,2.22,1.24,1.3,0.7,2.9,3.2,1.31,100
T9,2.7,2.68,2.57,5.01,1.26,119,2.15,1.66,1.3,0.79,3.2,3.62,1.42,92
T10,2.73,2.8,2.55,5.59,1.23,116,2.08,1.37,1.43,0.8,3.5,4.14,1.32,95
T11,2.74,2.89,2.53,6.11,1.44,112,2.06,1.4,1.42,0.78,3.6,4.56,1.36,98
T12,2.76,2.97,2.55,6.57,1.46,111,2.15,1.59,1.55,0.86,3.75,5.26,1.37,102
T13,2.71,2.95,2.57,6.83,1.39,108,2.03,1.43,1.53,0.79,3.7,5.75,1.43,100
T14,2.45,3.09,2.69,7.33,1.38,106,2.09,1.35,1.46,0.66,3.7,7.29,1.45,103
T15,2.55,3.15,2.73,7.55,1.29,107,2,1.34,1.05,0.61,3.6,8.07,1.41,108
L1,2.43,3.11,2.75,7.7,1.27,98,2.04,1.23,1.08,0.57,3.6,7.88,1.12,104
L2,2.35,3.21,2.69,7.95,1.26,97,2.09,1.26,0.92,0.56,3.55,8.07,1.17,100
L3,2.28,3.19,2.79,8.16,1.42,96,2.03,1.18,1.07,0.51,3.7,8.07,1.17,98
L4,2.29,3.2,2.99,8.28,1.21,95,2.12,1.18,0.71,0.42,3.55,7.88,1.24,97
L5,2.27,3.26,2.9,8.15,1.12,92,2.07,1.18,0.5,0.48,3.5,7.96,1.2,97
L6,2.21,3.22,3.13,8.24,1.06,88,1.94,1.22,0.52,0.46,3.35,7.76,1.2,98
L7,2.2,3.22,3.17,8.17,1.11,85,2.01,1.14,0.42,0.45,3.15,7.56,1.18,95
L8,2.18,3.2,3.13,8.44,1.09,83,1.81,1.25,0.44,0.46,3.15,7.48,1.24,99
L9,2.09,3.19,3.2,8.32,1.17,82,1.84,1.11,0.22,0.31,3.2,7.45,1.08,100
L10,2.02,3.22,3.24,8.28,1.19,79,1.87,1.08,0.27,0.39,3.4,7.17,1.06,100
L11,2.07,3.27,3.28,8.23,1.27,76,1.88,1.11,0,0,NA,6.79,1.07,98
L12,2.04,3.35,3.37,8.22,1.17,75,1.93,1.06,0,0,NA,6.5,1.02,97
L13,1.99,3.45,3.23,7.99,1.27,75,1.84,1.04,0,0,NA,6.44,1.06,94
L14,1.96,3.35,3.24,7.84,1.35,75,1.9,0.92,0,0,NA,6.32,0.92,97
L15,1.95,3.36,3.28,7.49,1.2,73,1.99,0.85,0,0,NA,5.98,0.95,95
L16,1.89,3.29,3.37,7.55,1.2,73,2,0.85,0,0,NA,5.78,0.88,93
L17,1.93,3.39,3.42,7.32,1.31,73,2.03,1.02,0,0,NA,5.78,0.91,93
L18,1.91,3.37,3.43,7.08,1.27,73,2.07,0.9,0,0,NA,5.49,0.83,92
L19,1.89,3.42,3.43,6.95,1.24,72,1.97,0.82,0,0,NA,5.19,0.85,88
L20,1.9,3.36,3.42,6.86,1.28,72,1.9,0.96,0.16,0.22,4.1,4.78,0.82,82
L21,1.93,3.34,3.48,6.6,1.37,72,1.91,0.94,0.39,0.3,4.1,4.86,0.89,77
Ca1,1.91,3.33,3.51,6.6,1.24,75,1.79,0.97,0.48,0.43,4.35,4.59,0.91,77
Ca2,1.93,3.28,3.52,6.5,1.45,72,1.67,0.98,1.02,0.43,4.4,4.45,0.92,74
Ca3,1.91,3.32,3.4,6.23,1.3,67,1.51,0.95,0.96,0.47,4.45,4.47,1.04,71
Ca4,1.94,3.38,3.48,6.67,1.17,67,1.39,0.93,0.8,0.41,4.2,4.55,1.07,69
Ca5,1.98,3.44,3.46,6.24,1.38,62,1.38,1.01,0.9,0.41,4.25,4.44,1.03,68
Ca6,1.93,3.38,3.47,6.02,1.42,63,1.19,1.25,0.83,0.36,4.15,4.41,0.88,69
Ca7,1.99,3.36,3.54,5.99,1.27,62,1.23,1.17,0.77,0.55,4,4.29,0.8,67
Ca8,1.94,3.48,3.51,5.59,1.51,63,1.2,1.18,0.93,0.54,3.7,4.57,1.07,66
