Steno_bredanensis_(SAM_ZM41124),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.41,3.13,2.6,3.1,1.56,105,2.3,1.18,0,0,NA,2.01,1.17,85
T2,1.86,2.86,2.67,4.37,1.28,112,2.71,1.68,0,0,NA,2.54,1.37,85
T3,2.08,2.84,2.66,4.93,1.26,123,2.7,1.75,0,0,NA,2.57,1.55,85
T4,2.21,2.74,2.55,5.58,1.41,121,2.7,1.53,0,0,NA,2.56,1.56,85
T5,2.41,2.67,2.63,6.02,1.35,125,2.73,1.35,0.69,0.64,2.9,2.34,1.45,90
T6,2.64,2.8,2.8,6.26,1.3,132,2.94,1.04,1.05,0.64,2.95,2.27,1.64,100
T7,2.74,2.96,2.85,6.51,1.29,135,3,0.98,1.55,0.83,3.05,2.6,1.33,104
T8,2.96,3,2.91,6.85,1.44,142,2.8,1.6,1.9,0.9,3.4,3.2,1.54,102
T9,2.97,2.97,2.75,7.47,1.63,132,2.9,1.69,1.83,1.09,3.7,3.83,1.32,103
T10,3.02,3.02,2.93,7.54,1.79,129,2.82,1.76,2.15,0.85,4,4.63,1.41,105
T11,2.95,3.1,2.95,7.7,1.85,132,2.68,1.88,2.08,0.74,3.9,6.02,1.52,110
T12,2.99,3.24,2.94,8.3,1.91,127,2.62,1.97,1.89,0.62,3.85,8.05,1.65,110
L1,2.8,3.24,3.21,8.51,1.81,121,2.57,2.07,1.91,0.45,3.9,8.36,1.58,105
L2,2.78,3.26,3.14,9.05,1.62,119,2.79,1.91,1.17,0.53,3.1,8.21,1.49,104
L3,2.76,3.21,3.07,9.44,1.62,114,2.92,1.78,1.23,0.56,3.2,8.1,1.53,100
L4,2.81,3.24,2.97,9.57,1.64,111,2.89,1.85,1.09,0.7,3.3,8,1.69,98
L5,2.81,3.29,3.04,9.87,1.58,108,2.68,1.83,0.85,0.86,3.3,7.68,1.75,97
L6,2.84,3.28,3.2,10.13,1.59,104,2.6,1.68,0.74,0.72,3.25,7.27,1.71,96
L7,2.74,3.22,3.43,10.02,1.56,103,2.48,1.66,0.68,0.72,3.35,7.04,1.83,94
L8,2.75,3.42,3.32,9.97,1.61,102,2.51,1.69,0.62,0.81,3.35,6.55,1.84,93
L9,2.83,3.51,3.52,10.08,1.61,100,2.65,1.72,0.45,0.67,3.2,6.53,1.75,93
L10,2.81,3.69,3.46,9.77,1.61,100,2.79,1.59,0.46,0.71,3.2,6.73,1.75,95
L11,2.94,3.64,3.52,9.46,1.62,99,2.83,1.6,0.49,0.77,3.3,6.86,1.69,98
L12,2.93,3.76,3.56,8.89,1.57,94,2.82,1.64,0,0,NA,6.61,1.8,99
L13,2.94,3.77,3.64,8.36,1.63,93,2.57,1.59,0,0,NA,6.54,1.88,99
L14,2.91,3.9,3.81,7.75,1.74,90,2.68,1.57,0,0,NA,6.6,1.65,97
L15,2.89,3.97,3.92,7.22,1.71,88,2.71,1.57,0.23,0.72,4.2,6.16,1.57,97
L16,3.01,4.04,4.18,6.98,1.74,88,2.65,1.44,0.3,0.71,4.25,5.88,1.79,95
Ca1,3.01,4.06,4.24,6.65,1.94,85,2.34,1.53,0.27,0.39,4.2,5.52,1.72,93
Ca2,3.06,4.11,4.23,6.03,1.83,86,2.4,1.43,0.51,0.71,4.2,5.25,1.77,90
Ca3,3.15,4.22,4.06,5.35,1.72,84,2.36,1.54,0.65,0.66,4.15,5.04,2.19,90
Ca4,3.15,4.13,4.18,5.63,1.72,86,2.29,1.58,0.59,0.62,4.05,4.55,2.05,90
Ca5,3.15,4.17,4.22,5.24,2.03,84,2.28,1.44,0.72,0.61,3.8,4.11,2.16,90
Ca6,3.09,4.34,4.26,4.75,1.89,85,2.13,1.45,0.82,0.51,3.7,3.76,2.38,85
Ca7,3.17,4.17,4.47,4.7,2.06,85,1.84,1.55,0.75,0.56,3.45,3.57,2.44,85
Ca8,3.3,4.37,4.5,4.28,1.99,90,1.56,1.67,0.7,0.48,3.4,3.35,2.47,85
Ca9,3.36,4.21,4.5,3.62,1.93,93,1.42,1.54,1,0.44,3.15,2.67,2.27,83
Ca10,3.32,4.18,4.44,3.1,1.88,100,1.22,1.53,1.04,0.49,2.95,1.92,2.03,82
Ca11,3.35,4.1,4.38,2.8,1.67,108,0.99,1.42,1.1,0.53,2.8,1.4,2.13,84
Ca12,3.48,4.12,4.54,2.69,1.68,115,0.73,1.57,0.88,0.49,2.3,0.99,1.91,82
Ca13,3.45,3.88,4.45,2.79,1.62,125,0.93,1.73,0.86,0.63,2,0.62,1.48,80
Ca14,3.51,3.75,4.3,2.55,1.8,120,0.73,1.68,0.9,0.59,1.75,0.25,1.32,80
Ca15,3.57,3.55,4.32,2.19,1.73,120,0.68,1.75,1.14,0.61,1.35,0,0,NA
Ca16,3.62,3.26,4.33,1.83,2.02,119,0.53,2.13,1.05,0.55,1.1,0,0,NA
Ca17,3.58,3.1,4.21,1.31,2.19,119,0.49,2.09,0.91,0.54,0.65,0,0,NA
Ca18,3.38,2.94,4.02,0.52,1.92,117,0.37,1.99,0.84,0.28,0.55,0,0,NA
Ca19,2.73,2.93,3.6,0,0,NA,0.36,1.7,0,0,NA,0,0,NA
Ca20,1.9,3.33,3.29,0,0,NA,0,0,0,0,NA,0,0,NA
