Stenella_clymene_(USNM_550532),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.91,3.08,2.24,2.63,0.51,122,2.16,0.59,0,0,NA,1.96,0.91,86
T2,1.19,2.62,2.27,NA,0.58,132,2.06,1.15,0,0,NA,2.44,0.7,84
T3,1.64,2.5,2.2,4.56,0.65,132,2.2,1.31,0,0,NA,2.3,0.97,92
T4,2.06,2.48,2.13,4.63,0.72,130,2.3,1.19,0.32,0.38,2.3,2.46,1.23,98
T5,2.33,2.43,2.14,4.96,0.8,134,2.33,1.06,0.71,0.51,2.55,2.63,1.39,100
T6,2.54,2.4,2.29,4.99,0.95,132,2.36,1.19,1.15,0.58,2.85,2.98,1.44,96
T7,2.6,2.45,2.42,5.05,1.07,129,2.4,1.16,1.5,0.57,2.7,3.15,1.57,93
T8,2.74,2.51,2.41,5.69,1.19,124,2.44,1.35,1.48,0.67,2.9,3.67,1.55,94
T9,2.79,2.57,2.47,6.2,1.48,121,2.4,1.74,1.45,0.73,3.4,4.36,1.82,90
T10,2.82,2.62,2.42,6.3,1.45,119,2.47,1.66,1.52,0.97,3.85,5.02,1.74,90
T11,2.84,2.71,2.51,6.76,1.47,116,2.33,1.55,1.56,0.83,4,5.71,1.86,87
T12,2.75,2.81,2.55,6.35,1.46,111,2.45,1.44,1.56,0.76,4.05,6.51,2.33,88
T13,2.66,2.84,2.56,6.52,1.43,108,2.51,1.33,1.68,0.57,4.15,7.29,1.83,97
T14,2.59,2.76,2.61,7.26,1.36,102,2.42,1.36,1.66,0.57,4.2,9.18,1.57,105
T15,2.43,2.78,2.6,7.46,1.29,97,2.52,1.28,1.52,0.49,4.2,9.14,1.4,104
L1,2.33,2.84,2.55,8,1.24,88,2.48,1.15,0.98,0.83,3.8,8.98,1.13,102
L2,2.19,2.78,2.56,8.23,1.17,86,2.44,1.09,1.07,0.41,3.8,8.87,1.26,95
L3,2.14,2.82,2.57,8.26,1.1,85,2.56,1,1.06,0.43,3.8,8.38,1.16,90
L4,2.02,2.8,2.63,8.46,1.11,84,2.32,0.98,1.11,0.42,3.95,8.1,1.08,87
L5,1.93,2.74,2.81,8.43,1.13,80,2.34,0.85,1.23,0.41,4.1,7.82,1.18,85
L6,1.85,2.75,2.8,8.68,1.12,79,2.3,0.98,1.09,0.36,3.95,7.68,1.16,83
L7,1.83,2.8,2.77,8.89,1.01,77,2.28,0.87,0.62,0.36,3.6,7.45,1.04,84
L8,1.81,2.91,2.81,8.76,0.96,76,2.27,0.89,0.19,0.35,3.1,7.55,1.03,83
L9,1.69,2.83,2.76,8.63,0.97,76,2.29,0.92,0,0,NA,7.32,1.05,82
L10,1.72,2.92,2.81,8.46,1,77,2.2,0.86,0,0,NA,7.21,1.06,82
L11,1.78,2.95,2.78,8.4,1.01,78,2.22,0.99,0,0,NA,6.79,1.07,79
L12,1.72,2.93,2.77,8.24,1.07,78,2.2,0.87,0,0,NA,6.68,1.04,77
L13,1.76,2.99,2.86,7.74,1.09,80,2.23,0.92,0,0,NA,6.39,1.03,74
L14,1.72,2.92,2.91,7.39,1.24,81,2.23,0.85,0,0,NA,6.39,1.04,73
L15,1.65,2.92,2.88,7.21,1.19,82,2.04,0.9,0,0,NA,6.35,1.01,75
L16,1.7,3.01,2.92,7.08,1.13,81,1.96,0.91,0,0,NA,6.07,0.97,73
L17,1.78,3.02,3.01,7.04,1.23,81,2.09,0.85,0,0,NA,6.02,0.99,68
Ca1,1.7,3.07,2.91,6.93,1.05,81,2.26,0.91,0,0,NA,5.8,1.01,70
Ca2,1.79,3.17,3.11,6.73,1.06,80,1.98,0.98,0.2,0.28,4.25,5.62,0.98,66
Ca3,1.79,3.12,3.09,6.32,1.01,72,2.07,0.89,0.15,0.3,4.2,5.48,1.04,67
Ca4,1.9,3.1,3.05,6.49,0.99,70,1.87,0.97,0.19,0.26,4.1,5.05,1.11,68
Ca5,1.91,3.2,3.06,6.05,0.97,69,1.79,0.85,0.22,0.21,4.15,4.99,1.16,67
Ca6,1.95,3.25,3.12,5.98,1.04,70,1.71,1.07,0.18,0.23,4.05,4.94,1.12,69
Ca7,1.99,3.21,3.11,5.51,1.07,70,1.71,1.23,0.24,0.27,3.65,4.8,1.07,66
