Stenella_frontalis_(USNM_504321),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.95,2.99,2.62,1,0.44,124,2.39,0.49,0,0,NA,2.1,0.86,78
T2,1.31,2.93,2.39,3.01,0.69,129,1.9,1.27,0,0,NA,2.24,0.96,89
T3,1.6,2.79,2.36,3.85,0.73,126,2.14,1.1,0,0,NA,2.34,1.14,90
T4,1.93,2.77,2.34,4.12,0.94,130,2.26,1.17,0.36,0.48,2.1,2.25,1.4,95
T5,2.2,2.73,2.4,4.33,1.08,128,2.22,1.3,0.6,0.53,2.15,2.35,1.39,98
T6,2.42,2.7,2.51,4.11,1.18,126,2.17,1.15,1.06,0.64,2.4,2.51,1.41,103
T7,2.55,2.75,2.53,4.71,1.37,127,2.22,1.24,1.16,0.64,2.7,3.09,1.55,102
T8,2.68,2.85,2.64,4.95,1.47,123,2.18,1.22,1.44,0.72,2.75,3.33,1.55,99
T9,2.77,2.92,2.69,5.17,1.39,116,2.25,1.46,1.46,0.81,2.95,3.74,1.66,96
T10,2.91,3.01,2.74,6.04,1.59,113,2.16,1.57,1.3,0.74,3,4.42,1.75,93
T11,2.82,3.06,2.74,6.6,1.68,110,2.38,1.63,1.52,0.81,3.05,4.9,1.96,98
T12,2.79,3.05,2.78,6.78,1.64,105,2.33,1.61,1.58,0.67,3.3,5.8,1.74,102
T13,2.64,3.11,2.86,7.18,1.57,100,2.24,1.65,1.75,0.66,3.5,6.91,1.71,104
T14,2.65,3.17,2.96,7.6,1.55,98,2.48,1.6,1.57,0.6,3.6,8.59,1.5,109
L1,2.58,3.18,3.09,7.48,1.37,97,2.47,1.53,1.49,0.51,3.6,8.83,1.35,102
L2,2.49,3.21,2.97,7.75,1.39,96,2.46,1.44,1.57,0.48,3.8,8.74,1.32,101
