Stenella_longirostris_(USNM_395414),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.74,3,2.1,1.04,0.39,125,1.8,0.66,0,0,NA,2.14,0.69,90
T2,1.14,2.85,2.13,2.42,0.71,131,1.54,0.94,0,0,NA,2.14,0.59,92
T3,1.41,2.59,2.14,2.75,0.67,134,1.59,0.87,0.24,0.22,1.85,1.98,0.75,98
T4,1.7,2.42,2.04,3.01,0.74,134,1.64,0.89,0.65,0.31,2.05,2.02,0.89,103
T5,1.99,2.43,1.99,3.3,0.79,132,1.8,0.87,0.93,0.35,2.1,2.22,1,107
T6,2.08,2.31,2.12,3.69,0.78,132,1.76,0.96,1.07,0.5,2.4,2.17,1.12,104
T7,2.19,2.31,2.14,3.76,0.73,132,1.84,0.94,1.36,0.44,2.4,2.45,1.12,100
T8,2.32,2.3,2.14,4.45,0.84,131,1.76,0.94,1.19,0.59,2.5,2.66,1.15,95
T9,2.32,2.31,2.13,4.73,1.09,129,1.89,1.2,1.23,0.69,2.55,3.33,1.23,90
T10,2.41,2.41,2.19,4.75,1.19,124,1.95,1.08,1.49,0.74,2.7,3.75,1.33,92
T11,2.38,2.48,2.16,4.85,1.17,122,2.07,1.29,1.51,0.77,3,4.1,1.26,97
T12,2.4,2.53,2.21,4.97,1.21,119,1.96,1.26,1.5,0.78,3.35,4.6,1.57,100
T13,2.33,2.58,2.28,5.3,1.26,116,1.93,1.3,1.32,0.69,3.3,5.44,1.58,103
T14,2.21,2.6,2.33,5.28,1.24,112,1.99,1.22,1.4,0.66,3.25,6.52,1.55,103
T15,2.13,2.72,2.34,5.56,1.25,103,1.97,1.17,1.46,0.45,3.2,7.9,1.41,108
L1,2.01,2.72,2.38,NA,NA,NA,1.98,1.18,NA,0.56,NA,7.52,1.07,108
L2,1.94,2.66,2.47,NA,NA,NA,2.03,1.1,1.05,0.49,3.1,7.17,1.09,100
L3,1.89,2.64,2.52,6.02,1.02,92,1.9,1.11,1.02,0.39,3.15,7.18,1.07,97
L4,1.83,2.7,2.58,5.94,0.99,90,2.1,1.06,1.13,0.48,3.2,6.92,1.06,91
L5,1.76,2.65,2.63,6.02,0.99,88,2,1.14,1.27,0.4,3.15,6.78,1.04,86
L6,1.74,2.73,2.63,5.98,1.01,84,1.97,1.07,NA,NA,NA,6.6,1.04,87
L7,1.73,2.71,2.62,6.36,1,78,1.81,1.03,0.51,0.48,2.7,6.05,1.01,86
L8,1.69,2.83,2.67,6.36,0.91,76,1.89,0.95,NA,NA,NA,6.05,0.96,85
L9,1.6,2.8,2.65,6.35,0.98,74,1.83,1.03,0.23,0.24,2.8,6.15,0.96,84
L10,1.67,2.83,2.69,6.35,0.94,75,1.78,1.07,0,0,NA,6.06,0.94,83
L11,1.64,2.83,2.7,6.46,0.94,72,1.85,1.06,0,0,NA,5.77,0.95,81
L12,1.63,2.86,2.69,6.42,0.93,70,1.78,1.02,0,0,NA,5.7,0.94,82
L13,1.66,2.86,2.84,6.19,0.92,68,1.7,0.97,0,0,NA,5.53,0.93,78
L14,1.65,2.77,2.74,5.81,0.94,69,1.71,0.95,0,0,NA,5.41,0.91,77
L15,1.58,2.76,2.81,5.36,1.02,72,1.71,1.01,0,0,NA,5.37,0.84,78
L16,1.63,2.76,2.81,5.1,1.06,72,1.71,0.87,0,0,NA,5.22,0.85,77
L17,1.69,2.81,2.84,5.23,1.11,73,1.62,1.01,0,0,NA,5.03,0.92,76
L18,1.7,2.8,2.93,5.44,1.31,71,1.53,1.03,0,0,NA,4.86,0.91,72
L19,1.68,2.83,2.97,5.26,1.27,72,1.57,0.93,0.13,0.22,3.2,4.77,0.9,70
Ca1,1.7,2.85,2.96,5.47,1.09,77,1.6,0.94,0.48,0.24,3.65,4.73,1.02,72
Ca2,1.74,2.94,2.94,5.34,1.1,71,1.53,0.98,0.52,0.28,3.85,4.53,0.92,71
Ca3,1.8,3,3,5.19,1.09,70,1.71,1.03,0.7,0.32,4.1,4.42,0.98,70
Ca4,1.85,3.09,3.01,5.13,1.11,68,1.59,1.06,0.58,0.36,4.05,4.11,0.95,67
Ca5,1.86,3.07,2.98,NA,1.18,66,1.59,1.15,0.63,0.39,4.1,4.09,0.96,67
Ca6,1.93,3.07,2.9,5.08,1.23,65,1.52,1.23,0.49,0.31,3.95,3.82,0.89,66
Ca7,1.97,3.1,2.95,4.94,1.33,66,1.39,1.18,0.54,0.26,3.85,3.75,0.95,66
Ca8,1.99,3.08,2.94,4.68,1.26,68,1.2,1.18,0.38,0.36,3.4,3.4,1.08,64
Ca9,2,3.21,3.03,4.63,1.28,64,1.18,1.19,0.36,0.31,3.4,3.52,1.21,61
