Sousa_plumbea_(PEM_N1582),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.9,3.68,3.1,3.51,1.06,110,2.68,1.36,0,0,NA,1.66,1.34,75
T2,2.51,3.52,3.03,4.25,1.31,107,2.73,1.97,0,0,NA,2.11,1.8,80
T3,2.94,3.32,3,4.56,1.49,108,2.83,1.68,0.48,0.52,2.5,2.2,2.02,85
T4,3.29,3.35,3.03,5.13,1.71,110,3.1,1.49,0.6,0.74,3.2,2.35,2,102
T5,3.6,3.27,3.07,5.61,1.93,106,3.07,1.61,1.05,1,3.9,2.32,2.27,105
T6,3.83,3.39,3.18,5.46,1.9,112,3.24,1.44,1.38,0.88,3.8,2.39,2.3,100
T7,4.01,3.5,3.24,6.02,2.07,110,3.17,1.51,1.59,0.98,3.8,2.84,2.59,98
T8,4.16,3.59,3.38,6.58,2.45,110,3.28,2.17,1.85,0.8,3.8,2.88,2.71,96
T9,4.31,3.82,3.38,7.32,2.45,110,3.32,2.25,2.11,1.05,4.35,3.39,2.53,97
T10,4.34,3.94,3.4,7.81,2.78,109,3.2,2.4,2.58,1.27,4.7,4.33,2.57,95
T11,4.25,3.89,3.54,8.33,2.49,104,3.13,2.31,2.5,0.99,4.9,5.08,2.61,95
T12,4.32,3.99,3.62,8.48,2.37,102,3.11,2.21,2.09,1.16,4.85,6.89,2.73,95
L1,4.29,4.03,3.64,8.76,2.37,94,3.14,2.32,2.06,1.42,5,8.66,2.74,90
L2,4.3,3.97,3.81,8.89,2.32,90,3.13,2.1,1.72,1.11,4.9,9.12,2.45,85
L3,4.26,4.16,3.86,8.79,2.21,90,3.2,2.04,1.73,1.08,5,9.44,2.66,85
L4,4.15,4.11,4.1,8.94,2.38,88,3.09,2.01,0.78,0.89,4.7,9.35,2.69,84
L5,4.16,4.15,3.99,8.7,2.47,86,3.28,1.84,0.69,1.06,4.8,9.5,2.61,82
L6,4.28,4.27,3.99,8.63,2.56,84,3.58,1.94,0.69,0.97,5,9.59,2.54,83
L7,4.2,4.35,4.14,8.3,2.33,83,3.55,1.85,0.51,0.7,5.3,8.84,2.36,80
L8,4.27,4.35,4.35,7.82,2.35,83,3.81,1.8,0.57,0.61,5.4,8.79,2.42,75
L9,4.34,4.41,4.32,7.71,2.65,83,3.72,1.89,0.66,0.77,5.7,8.62,2.45,80
Ca1,4.51,4.52,4.62,7.5,2.72,82,3.67,1.92,0.63,0.75,5.8,8.45,2.58,83
Ca2,4.59,4.55,4.93,7,3.01,83,3.59,2.02,1.48,1.1,6.6,7.97,2.97,83
Ca3,4.74,4.74,4.8,6.51,2.79,85,3.2,1.99,1.59,1.24,6.7,7.59,3.19,87
Ca4,4.74,4.67,4.84,6.33,2.99,85,2.86,2.2,1.69,0.99,6.7,7.05,3.52,90
Ca5,4.73,4.86,4.96,6.17,2.96,80,2.64,2.43,1.45,1.03,6.5,6.46,4.07,90
Ca6,4.99,4.97,5,NA,NA,NA,2.39,2.3,NA,NA,NA,5.85,4.14,90
Ca7,4.99,5,4.92,5.22,2.88,85,2.17,2.32,1.31,1.22,5.4,5.47,3.62,85
Ca8,5.07,4.93,4.78,5.48,2.9,88,1.7,2.14,1.17,1.04,4.7,4.34,3.45,78
Ca9,5.28,4.87,5.15,5,3.42,95,1.35,2.39,0.99,0.9,4.2,3.93,2.5,75
Ca10,5.39,4.65,5.03,4.58,3.55,98,1.13,2.51,1.13,0.97,3.4,3,2.1,74
Ca11,5.43,4.4,5.08,3.87,3.26,99,0.85,2.74,0.96,0.67,2.5,1.2,2,80
Ca12,5.37,4.06,5.08,2.52,2.77,100,0.73,2.68,0.61,0.7,1.7,0.56,1.37,90
Ca13,5.3,3.69,4.83,0.81,2.16,95,0.71,2.86,0.56,0.52,0.7,0,0,NA
Ca14,4.64,3.79,4.2,0,0,NA,0,0,0,0,NA,0,0,NA
Ca15,2.83,3.99,3.93,0,0,NA,0,0,0,0,NA,0,0,NA
