Sousa_plumbea_(USNM_550939),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.15,3.3,2.82,0.41,0.41,93,2.57,0.76,0,0,NA,1.74,0.75,70
T2,1.61,3.06,2.78,2.89,0.79,101,2.54,1.25,0,0,NA,1.82,1.08,74
T3,2.03,3.01,2.6,3.53,1.09,100,2.74,1.54,0,0,NA,1.82,1.2,73
T4,2.32,2.77,2.54,3.77,1.37,105,3.09,1.28,0.33,0.37,2.05,1.63,1.48,83
T5,2.55,2.78,2.59,3.97,1.52,105,3.16,0.92,0.44,0.57,2.35,1.43,1.37,90
T6,2.77,2.78,2.74,4.21,1.69,104,3.22,0.98,0.67,0.64,2.85,1.61,1.43,95
T7,2.88,2.78,2.78,4.88,2.03,107,3.03,1.31,0.91,0.73,3.05,1.91,1.59,99
T8,3.05,2.94,2.84,5.39,1.93,108,3.12,1.75,1.26,0.85,3.1,2.17,1.62,96
T9,3.04,3.09,2.81,5.72,1.98,110,2.91,1.61,1.58,1.05,3.5,2.48,1.73,92
T10,3.01,3.23,2.89,6.07,1.96,108,2.83,1.6,1.49,1.08,3.8,3.22,1.83,93
T11,3.05,3.36,2.88,6.51,1.97,107,2.76,1.53,1.39,1.02,3.9,3.91,1.96,98
T12,3.06,3.4,2.89,6.58,1.84,105,2.83,1.47,1.39,1,3.95,5.52,2.21,103
L1,3.04,3.33,2.97,6.72,1.81,99,2.71,1.45,1.38,0.84,4,6.9,2.2,103
L2,3.06,3.36,3.03,6.63,1.63,94,2.7,1.4,1.08,0.82,4.05,6.88,1.87,100
L3,3.12,3.43,3.16,6.71,1.64,88,2.63,1.37,1.29,0.71,4.05,7,2.06,98
L4,3.12,3.61,3.31,6.62,1.78,82,2.61,1.42,1.19,0.7,4.1,6.91,2,94
L5,3.16,3.53,3.28,6.42,1.85,83,2.62,1.31,0.72,0.83,3.85,6.87,2.06,93
L6,3.13,3.62,3.33,6.32,1.87,83,2.79,1.33,0.63,0.59,3.85,6.84,1.96,92
L7,3.15,3.66,3.33,6.19,1.67,82,2.83,1.2,0.42,0.65,3.8,6.69,1.79,85
L8,3.11,3.75,3.43,6.06,1.86,82,2.82,1.27,0.49,0.65,3.95,6.52,1.73,80
L9,3.23,3.77,3.55,5.9,1.89,81,2.66,1.19,0.54,0.59,4.05,6.14,1.84,80
L10,3.28,3.89,3.7,5.5,2.03,80,2.8,1.31,0.93,0.64,4,5.84,1.99,83
Ca1,3.4,4.04,3.76,5.12,2.01,84,2.63,1.35,1,0.68,4.2,5.39,2.15,87
Ca2,3.33,4.08,3.8,4.9,1.87,63,2.3,1.55,0.88,0.63,4.4,4.94,2.64,85
Ca3,3.4,4.25,4.03,4.76,2.06,63,2.07,1.72,0.94,0.76,4.65,4.53,2.54,85
Ca4,3.45,4.23,4.04,4.63,2.21,68,1.82,1.81,1.06,0.78,4.6,4.05,2.84,83
Ca5,3.51,4.3,4.22,4.29,2.14,68,1.65,1.82,1.03,0.77,4.25,3.91,2.81,83
Ca6,3.61,4.27,4.21,4.05,2.31,79,1.17,1.77,0.93,0.83,3.6,3.22,2.57,82
Ca7,3.73,4.25,4.23,3.69,2.26,78,0.89,1.83,0.88,0.75,2.95,2.61,2.2,78
Ca8,3.81,4.06,4.5,3.18,2.46,80,0.91,1.96,0.86,0.81,2.4,1.91,1.59,72
Ca9,3.91,3.78,4.24,2.63,2.42,84,0.68,1.88,0.58,0.51,1.85,0.95,1.39,70
Ca10,3.96,3.49,4.3,2.18,2.22,113,0.57,1.86,0.61,0.64,1.4,0.4,0.74,75
Ca11,3.94,3.14,4.22,1.11,1.78,109,0.38,2.21,0.64,0.61,0.95,0,0,NA
Ca12,3.73,2.98,3.92,0.35,0.72,90,0.32,1.08,0,0,NA,0,0,NA
Ca13,3.08,3.15,3.46,0,0,NA,0,0,0,0,NA,0,0,NA
