Tursiops_truncatus_(USNM_504618),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.54,4.8,3.39,3.9,0.81,125,3.4,1.37,0,0,NA,2.61,1.22,73
T2,2.35,4.17,3.3,4.4,0.8,125,3.58,1.85,0,0,NA,2.74,1.38,84
T3,3.13,3.85,3.35,4.8,0.99,123,3.46,2.19,0.52,0.54,3.15,2.52,1.9,94
T4,3.54,3.81,3.3,5.21,1.31,133,3.31,1.66,0.52,0.75,4,2.7,1.98,105
T5,3.81,3.78,3.36,5.03,1.35,129,3.23,1.51,1.12,0.92,3.95,2.78,2.28,108
T6,4.16,3.9,3.5,5.51,1.53,128,3.14,1.39,1.47,0.8,3.7,3.09,2.64,106
T7,4.27,3.92,3.66,6.11,1.8,121,3.2,1.89,2.6,1.16,4.1,3.75,2.41,102
T8,4.43,4.02,3.71,6.98,1.9,116,3.47,2.07,2.2,1.05,4,4.38,2.59,97
T9,4.51,4.03,3.83,7.43,2.19,114,3.45,2.19,2.01,1.01,4.4,5.49,2.69,97
T10,4.49,4.12,3.89,7.81,2.32,112,3.43,2.37,1.94,1.05,4.8,6.46,2.72,100
T11,4.45,4.08,4.01,8.58,2.42,110,3.37,2.4,1.98,1.1,4.75,7.64,2.9,104
T12,4.4,4.23,4.03,9.5,2.56,106,3.52,2.47,1.96,0.81,4.65,10,2.69,106
T13,4.34,4.27,4.03,10.49,2.3,100,3.47,2.43,0.82,0.64,4.45,11.57,2.54,103
L1,4.21,4.32,4.01,10.99,2.02,96,3.66,2.3,0.53,0.89,4.1,11.66,2.35,95
L2,4.09,4.46,4.04,11.58,1.95,94,3.55,2.28,0.59,0.88,4.2,11.59,2.42,94
L3,4.08,4.51,4.09,11.93,2.06,93,3.41,2.26,0.43,0.74,4.5,11.29,2.45,90
L4,4.04,4.62,4.07,11.84,1.89,95,3.65,2.06,0.31,0.7,4.9,11.07,2.42,93
L5,4.01,4.62,4.08,12.06,1.75,94,3.45,1.97,0.42,0.82,4.5,11.34,2.35,87
L6,3.95,4.58,4.22,12.38,1.83,91,3.38,2.16,0.38,0.56,4.5,11.06,2.22,90
L7,3.88,4.7,4.31,12.7,1.83,87,3.4,1.9,0.38,0.52,4.4,NA,2.28,87
L8,3.86,4.59,4.34,12.89,1.73,85,3.54,2.07,0.36,0.57,4.6,NA,2.43,86
L9,3.8,4.68,4.4,13.18,1.71,81,3.48,1.97,0.31,0.58,4.5,10.11,2.31,87
L10,3.73,4.68,4.37,13.14,1.79,78,3.45,1.85,0,0,NA,9.7,2.06,87
L11,3.69,4.66,4.44,12.61,1.73,78,3.71,1.82,0,0,NA,9.27,2.02,85
L12,3.69,4.67,4.54,12.28,1.92,76,3.71,1.83,0,0,NA,8.67,2.06,84
L13,3.68,4.66,4.62,NA,1.8,77,3.66,1.73,0,0,NA,8.43,2.04,84
L14,3.73,4.68,4.63,10.99,2.27,76,3.56,1.87,0,0,NA,8.14,2.07,82
L15,3.65,4.76,4.72,10.47,2.18,74,3.45,1.93,0.2,0.4,5.55,7.84,2.01,79
L16,3.64,4.78,4.99,9.7,2.09,73,3.33,1.92,0.24,0.38,5.6,7.48,1.85,76
Ca1,3.72,4.76,4.93,8.81,2.22,73,3.2,1.96,NA,NA,NA,7.06,1.86,72
Ca2,3.74,4.8,4.72,8.47,2.29,72,3.23,2.01,0.39,0.5,5.6,6.88,1.9,66
Ca3,3.83,4.79,4.91,8.09,2.18,72,3.02,2.11,0.56,0.43,5.5,6.33,1.9,67
Ca4,3.79,4.79,4.98,7.91,2.07,71,2.76,1.94,0.65,0.68,5.4,6.04,1.99,72
Ca5,3.86,4.81,5.02,7.66,2.09,75,2.55,2.06,0.79,0.58,5.4,6.03,2.52,72
Ca6,3.95,4.96,5.17,7.58,2.14,73,2.32,2.04,0.73,0.64,5.35,5.76,3.16,73
Ca7,3.97,5.08,5.23,7.06,2.28,75,2.13,2.05,0.69,0.77,5.15,5.48,3.32,77
Ca8,4.04,5.09,5.28,6.86,2.44,75,1.9,2.03,0.88,0.81,4.8,4.82,2.98,80
Ca9,4.17,5.04,5.49,6.5,2.72,83,1.62,2.15,0.77,0.96,4.15,4.07,2.81,80
Ca10,4.25,5.25,5.62,6.27,2.94,91,1.35,2.15,0.74,1.09,3.75,2.89,2.51,77
Ca11,4.26,5.2,5.57,5.47,2.79,102,1.15,2.43,1.03,1.06,3.1,1.73,2.38,80
Ca12,4.34,4.97,5.55,5.11,3.08,107,1.02,2.56,0.86,1.01,2.9,0.84,2.1,82
Ca13,4.35,4.72,5.81,4.2,2.98,110,0.85,2.83,0.84,0.82,2.4,0.42,1.68,84
Ca14,4.39,4.42,5.88,3.48,2.94,115,0.75,2.82,0.67,0.69,1.95,0,0,NA
Ca15,4.25,4.04,5.86,2.42,2.82,116,0.47,2.88,0.64,0.7,1.15,0,0,NA
Ca16,4.1,3.88,5.58,1.79,2.6,105,0.46,2.77,0.41,0.43,0.55,0,0,NA
Ca17,3.83,3.87,5.29,0.53,1.75,104,0.37,2.05,0,0,NA,0,0,NA
Ca18,3.21,4.29,4.89,0,0,NA,0,0,0,0,NA,0,0,NA
