Delphinus_delphis_(RBINS_1.519B),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.6,4,2.57,2.91,0.48,120,2.2,0.69,0,0,NA,2.03,1.08,65
T2,0.92,3.13,2.7,3.83,0.7,125,2.7,0.92,0,0,NA,2.29,1.15,75
T3,1.09,3.01,2.78,4.53,0.91,125,2.7,1.34,0,0,NA,2.06,1.05,85
T4,1.42,2.85,2.69,4.39,1.02,125,2.7,1.55,0.5,0.5,2.1,2.15,1.3,90
T5,1.76,2.92,2.81,4.24,1.09,125,2.7,1.82,0.53,0.57,2.5,2.42,1.54,95
T6,1.74,2.67,2.93,4.4,1.07,125,2.7,1.06,1,0.51,2.6,2.81,1.44,95
T7,2.05,2.77,2.87,4.53,1.05,125,2.7,1,1.17,0.48,2.5,2.79,1.51,100
T8,2.08,2.83,2.84,4.82,1.18,122,2.7,1.04,1.26,0.66,2.7,2.88,1.4,100
T9,2.18,2.76,2.78,4.95,1.16,115,2.5,1.33,1.34,0.66,2.6,3.37,1.38,95
T10,2.3,2.83,2.77,5.29,1.26,108,2.4,1.48,1.48,0.76,2.75,3.58,1.39,90
T11,2.28,2.98,2.73,5.62,1.38,107,2.4,1.28,1.63,0.83,2.8,3.93,1.24,100
T12,2.2,3.06,2.86,5.97,1.46,107,2.4,1.29,1.85,1.09,3,4.3,1.32,105
T13,2.1,3.1,2.89,6.2,1.43,105,2.2,1.26,1.71,0.9,3.1,5.2,1.5,105
T14,2.03,3.14,2.88,6.53,1.43,115,2.2,1.15,1.85,1.03,3.2,6.77,1.37,110
L1,1.87,3.28,2.91,6.42,1.27,95,2.2,1.19,1.52,0.81,3,7.62,1.07,113
L2,1.84,3.33,2.96,6.64,1.2,93,2.3,1.07,1.3,0.71,3.15,7.33,1.03,112
L3,1.71,3.31,2.95,6.79,1.08,92,2.25,1,1.12,0.86,3.1,7.43,1.14,108
L4,1.64,3.33,2.99,6.75,1.08,90,2.25,0.92,1.41,0.68,3.15,7.41,1.1,104
L5,1.62,3.38,3.1,6.93,1.13,87,2.3,0.97,1.33,0.6,3.15,7.45,1.04,98
L6,1.56,3.47,3.14,6.82,1.1,85,2.3,0.93,1.43,0.83,3.2,7.33,1.12,95
L7,1.48,3.38,3.13,6.88,1.07,80,2.4,0.98,0.5,0.4,3,7.05,1.05,90
L8,1.56,3.63,3.47,7.05,1.01,76,2.3,0.95,0.34,0.72,2.7,6.9,0.98,92
L9,1.5,3.44,3.27,7.12,1,75,2.35,1,0.48,0.8,2.7,6.72,0.99,89
L10,1.47,3.42,3.29,7.15,0.94,70,2.2,0.95,0.37,0.8,2.6,6.64,0.96,87
