Delphinapterus_leucas_(USNM_571021),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,4.14,6.36,5.73,3.29,1.86,96,4.37,2.61,0,0,NA,3.32,3.13,84
T2,4.89,6.1,5.42,4.36,2.33,99,4.76,3.41,0.63,1.09,3.15,2.94,3.4,84
T3,5.47,6.11,5.19,5.9,3.17,93,5.11,3.98,0.61,0.83,4.05,2.85,3.58,90
T4,5.98,6.23,5.4,6.85,4.07,101,5.03,3.56,0.91,1.2,4,2.75,3.88,94
T5,6.59,6.56,5.59,7.17,5.19,101,5.24,3.44,1.18,1.11,4.5,2.46,4.15,92
T6,7.01,6.86,6.01,7.33,5.9,105,5.17,3.42,2.04,1.25,4.7,2.89,4.1,93
T7,7.38,7.29,6.47,7.65,6.52,108,4.87,3.95,3.25,1.49,5.4,3.28,3.84,91
T8,7.85,7.54,6.63,7.37,7.06,107,4.75,3.94,3.7,1.77,5.6,3.9,3.98,93
T9,8.27,7.87,6.86,8.52,7.56,110,4.66,3.68,4.19,1.91,5.8,4.95,3.78,102
T10,8.62,7.69,6.87,9.34,7.45,119,4.95,3.14,4.83,2.71,6.25,7.08,4.68,92
T11,9.32,8.14,7.18,10.36,6.97,127,5.31,3.69,4.9,2.79,6.5,9.79,4.91,70
L1,9.68,8.23,7.41,10.31,6.84,123,5.09,3.95,6.14,2.6,6.9,13.38,6.97,87
L2,9.68,8.39,7.58,10.36,7.14,120,5.08,3.96,6.84,2.68,7.1,13.59,8.05,85
L3,10.03,8.31,7.95,11.69,7.97,115,4.88,3.93,7.62,2.6,7.55,13.6,8.27,84
L4,10.35,8.4,8.41,12.17,8.74,113,4.6,4.06,7.27,3.02,8.05,13.29,8.6,85
L5,10.64,8.78,8.42,12.27,8.77,112,4.42,4.23,7.69,3.05,7.8,12.95,9.85,82
L6,10.71,9.42,8.95,12.31,8.52,112,4.13,4.08,7.15,2.96,8.15,11.75,10.46,84
L7,10.65,9.29,9.1,12.16,7.65,110,3.9,4.17,6.37,3.13,8.05,10.72,9.2,91
L8,10.53,9.45,9.1,11.26,7.61,100,3.87,4.28,5.97,2.36,8.05,10.32,8.1,90
L9,10.53,9.25,9.25,10.69,7.55,98,3.69,3.92,5.11,2.68,7.8,9.78,8.42,93
Ca1,10.1,9.27,9,9.65,5.75,93,3.75,4.02,5.48,1.83,6.5,7.95,8.51,92
Ca2,9.8,9.37,9.4,8.72,6,86,3.51,3.89,4.87,1.76,5.7,6.2,8.7,90
Ca3,9.26,9.56,9.27,9.27,5.53,85,3.28,4.13,4.68,1.48,4.5,5.28,9.62,80
Ca4,8.47,9.18,9.48,8.11,6.08,90,2.74,4.02,4.15,1.32,3.9,4.15,7.22,80
Ca5,7.52,9.02,9.24,7.13,6.08,94,1.7,3.69,3.22,1.18,3.9,3.05,6.25,77
Ca6,6.93,8.82,9.25,5.71,6.24,98,1.15,3.38,2.42,1.16,2.8,1.93,4.75,66
Ca7,6.39,8.18,8.82,4.47,5.6,98,1.02,4.16,1.72,0.84,2.05,1.37,3.61,60
Ca8,6.02,7.21,8.67,2.94,4.96,103,0.94,3.55,1.39,0.98,1.3,0.67,2.2,59
Ca9,5.76,6.92,8.18,2.03,4.73,111,0.65,3.29,0.82,0.79,0.55,0,0,NA
Ca10,5.41,6.54,7.91,1.53,4.04,110,0.47,3.09,0.62,0.46,0.35,0,0,NA
Ca11,4.99,6.3,7.76,0,0,NA,0.68,2.08,0,0,NA,0,0,NA
Ca12,4.52,6.32,7.31,0,0,NA,0,0,0,0,NA,0,0,NA
Ca13,3.63,6.29,6.43,0,0,NA,0,0,0,0,NA,0,0,NA
