Eubalaena_japonica_(USNM_339990),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,7.52,28.5,24.9,13.78,5.49,105,20.25,5.45,0,0,NA,28.7,7.27,58
T2,9.99,30.85,26.1,17.15,5.32,98,17.9,7.4,0,0,NA,27.6,10.39,65
T3,11.69,31.8,26.6,19.9,7.36,98,21.5,9.55,0,0,NA,22.5,9.28,62
T4,13.06,32.5,26.4,22.1,9.83,97,22.7,11.51,2.59,3.07,12.7,21.4,8.2,65
T5,13.91,32.5,26.2,24.2,11.79,97,22.7,11.36,3.43,4.8,12.8,20.9,9.68,72
T6,14.71,33.15,23.4,25.9,12.94,108,20.1,10.06,5.44,7.48,17.9,21.6,11.72,86
T7,14.77,33.3,22.7,28.5,17.45,112,19.8,10.41,6.46,8.74,19.2,19.8,13.44,88
T8,16.5,32.7,24.15,29,13.95,113,19.5,10.62,9.29,8.99,19.4,21.2,12.95,97
T9,18.3,33.9,26.8,29.1,15.13,117,19.3,11.53,12.38,10.77,20.3,22.8,16.7,95
T10,18.85,34.5,26.8,29.4,13.88,124,19.2,10.41,13.18,12.87,20.5,25.8,17.9,99
T11,19.8,34.2,27.7,29.4,17,118,19.7,11.3,13.47,13.94,22,27.5,16.8,103
T12,20.05,35.3,27.1,30.6,15.9,120,18.9,11.71,17.2,14.59,22.2,29.6,17.1,113
T13,20.55,36.3,26.3,33.8,17.1,119,18,12.49,NA,NA,NA,33.9,10.52,117
T14,20.75,37.2,27.9,34.2,15.85,118,16.2,12.63,16.85,11.23,21.2,38.65,10.65,112
L1,21.5,36.6,30.8,35.4,16.1,121,18,13.38,16.2,9.5,21.3,46.6,12.65,105
L2,22,36.1,31.9,35.1,14.8,117,18.1,13.02,17.75,11.8,22.4,47.4,11.79,105
L3,22.4,35.7,33.8,33.4,15.4,115,18.8,13.5,17.1,10.6,19.8,46.3,14.37,95
L4,22.6,37,34.35,34.3,14.8,117,19.5,13.54,15.6,12.58,21.5,46.5,14.65,92
L5,22.95,36.3,33.2,34,15.8,116,18.6,14.58,15.2,13.24,21.3,46.2,14.09,90
L6,23.55,37.1,35.4,34.9,15.9,114,18,14.16,13.4,15.15,21.1,47.1,16.5,88
L7,24.5,38,35.9,33.4,16.8,118,17.7,14.52,14.2,15.8,21.5,45.9,16.1,85
L8,24.7,37.6,37.5,33.1,16.8,117,19.4,14.59,15.2,14.21,21.3,43.9,16.1,87
L9,24.95,38.2,38.2,29.6,16.8,118,17.5,14.18,14.18,12.98,20.9,41.7,15.25,84
L10,25.25,39,38.5,30.4,15.5,119,14.4,14.37,13.49,11.73,21.1,39.8,14.31,84
L11,25.3,39.2,37.7,29.3,15.7,117,14.1,13.49,12.18,12.59,21.2,37.1,14.02,85
Ca1,24.5,39.2,38.9,27.9,13.4,126,15.8,12.46,18.1,11.24,23.1,32.7,11.95,85
Ca2,25.7,39.2,38.8,27.1,13.83,125,13.8,13.15,19.4,12.49,23.1,30.6,11.05,87
Ca3,24.2,37.8,36.5,24.3,15.1,123,13.5,14.07,17.2,12.31,25.1,28.2,10.32,82
Ca4,23.6,38.7,38.1,22.2,15.25,122,11.1,14.14,16.3,13.73,23.2,24.15,8.67,75
Ca5,23.3,38.9,38.4,19.7,14.2,115,11.7,12.96,18.3,17.6,21.5,19.8,8.73,74
Ca6,24.1,38,38.75,18.1,16.1,112,10.1,12.58,16.8,16.2,18.8,14.5,8.05,66
Ca7,23.7,37.6,38.1,15.9,16.9,114,8.2,13.76,15.9,17.2,16.7,10.8,7.52,75
Ca8,22.9,37.5,37.2,15,16.25,112,7.55,10.86,14.1,14.6,14.3,5.1,5.76,79
Ca9,20.7,37.2,37.3,14.41,16.2,107,6.35,10.26,12.27,8.72,12.4,2.79,5.62,82
Ca10,20.1,36.4,37.1,10.7,15.1,103,5.36,11.08,10.24,7.11,9.2,2,3.5,85
Ca11,19.6,33.6,35.4,9.24,14.24,97,3.75,10.9,8.95,4.86,5.85,0,0,NA
Ca12,19.5,32.8,33.65,6.3,12.49,93,2.68,11.1,4.22,4.58,3.95,0,0,NA
