Feresa_attenuata_(PEM_N4762),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.58,3.48,2.78,2.57,1.08,115,2.65,1.32,0,0,NA,2.54,1.11,75
T2,1.93,3.47,2.86,3.11,1.08,120,2.78,1.57,0,0,NA,2.34,1.44,75
T3,2.36,3.47,2.88,3.77,1.16,127,2.98,1.51,0,0,NA,2.72,1.78,80
T4,2.62,3.51,2.93,4.47,1.34,130,3.11,1.4,0.47,0.49,2.3,2.98,1.65,90
T5,2.92,3.51,2.96,4.39,1.26,131,3.12,1.14,0.7,0.59,2.5,3.4,1.66,102
T6,3.05,3.43,3.07,4.62,1.22,132,3.11,1.29,1.19,0.68,2.7,3.6,1.67,106
T7,3.11,3.5,3.12,4.4,1.4,125,2.9,1.44,1.15,0.65,3,3.97,1.7,102
T8,3.16,3.54,3.2,4.66,1.5,125,2.94,1.48,1.05,0.78,3.3,4.02,1.58,106
T9,3.2,3.61,3.21,5.57,1.59,125,2.94,1.68,1.13,0.71,3.3,5.07,1.6,108
T10,3.26,3.78,3.26,5.67,1.43,127,2.7,1.82,1.08,0.74,3.3,5.89,1.74,110
T11,3.21,3.86,3.21,6.08,1.7,128,2.88,1.8,1.2,0.81,3.4,7.83,1.7,110
T12,3.05,3.78,3.28,5.93,1.78,125,2.85,1.97,1.15,0.81,3.5,8.27,1.64,105
L1,3.15,3.8,3.31,6.29,1.82,116,3.02,1.77,0.65,0.62,3.6,7.85,1.45,105
L2,3.08,3.84,3.45,6.81,1.74,112,3.14,1.78,0.54,0.63,3.7,7.81,1.66,103
L3,3.04,3.88,3.34,7.2,1.77,104,3.18,1.66,0.43,0.76,3.7,7.69,1.61,100
L4,2.92,3.93,3.44,7.6,1.57,100,2.97,1.54,0.49,0.6,3.8,7.69,1.73,99
L5,2.89,3.91,3.52,8,1.62,98,3.09,1.51,0.5,0.62,4.05,7.52,1.66,98
L6,2.77,3.85,3.63,7.88,1.51,94,3.03,1.61,0,0,NA,7.54,1.69,90
L7,2.82,3.95,3.6,8.04,1.42,90,3.09,1.5,0,0,NA,7.37,1.66,88
L8,2.84,3.88,3.65,8.05,1.37,80,2.98,1.46,0,0,NA,7.41,1.73,90
L9,2.79,3.98,3.61,8.02,1.21,80,3.02,1.54,0,0,NA,7.37,1.7,90
L10,2.75,3.83,3.73,7.88,1.24,73,3.05,1.44,0,0,NA,7.08,1.54,92
L11,2.8,4.1,3.78,7.66,1.25,70,2.91,1.43,0,0,NA,6.8,1.53,91
L12,2.82,4.04,3.82,7.37,1.37,65,2.73,1.41,0,0,NA,6.64,1.51,94
L13,2.78,4.05,3.8,7.16,1.36,62,2.86,1.42,0,0,NA,6.5,1.35,90
L14,2.74,4.11,3.96,6.75,1.45,65,2.79,1.38,0,0,NA,6.28,1.51,90
L15,2.77,4.1,3.97,6.32,1.54,64,2.83,1.38,0,0,NA,5.92,1.44,87
L16,2.83,4.16,4.16,5.86,1.55,66,2.86,1.36,0.37,0.71,4.45,5.73,1.43,87
Ca1,2.76,4.02,4.23,5.32,1.37,70,2.78,1.42,0.31,0.63,4.5,5.39,1.41,84
Ca2,2.83,4.21,4.27,4.83,1.43,69,2.79,1.41,0.37,0.8,4.9,5.28,1.46,83
Ca3,2.86,4.29,4.13,4.85,1.53,70,2.4,1.51,0.49,0.65,4.8,4.88,1.4,81
Ca4,2.78,4.26,4.14,4.61,1.52,72,2.41,1.44,0.59,0.53,4.5,4.82,1.45,79
Ca5,2.81,4.32,4.11,4.21,1.57,73,2.18,1.52,0.45,0.59,4.3,4.41,1.45,78
Ca6,2.71,4.35,4.16,3.7,1.5,72,1.89,1.51,0.52,0.55,4.1,4.23,1.54,75
Ca7,2.75,4.31,4.16,3.61,1.53,75,1.68,1.46,0.66,0.54,3.8,4.19,1.54,80
Ca8,2.78,4.3,4.16,3.31,1.23,75,1.53,1.45,0.48,0.42,3.6,3.94,1.54,80
Ca9,2.84,4.29,4.27,3.22,1.44,77,1.44,1.51,0.54,0.46,3.4,3.53,1.5,78
Ca10,2.9,4.34,4.34,3.17,1.11,77,1.52,1.53,0.52,0.46,3,2.89,1.49,77
Ca11,2.94,4.32,4.35,2.62,1.69,80,1.26,1.49,0.53,0.44,2.85,2.13,1.5,80
Ca12,2.98,4.34,4.41,2.59,1.26,83,1.29,1.48,0.59,0.49,2.6,1.59,1.69,82
Ca13,3.02,4.22,4.27,2.46,1.44,85,1.06,1.55,0.61,0.54,2.5,1.29,1.47,85
Ca14,3.1,4.16,4.22,2.5,1.28,90,0.99,1.57,0.64,0.52,2.4,0.92,1.32,85
Ca15,3.14,4.07,4.31,2.66,1.38,95,1.05,1.58,0.81,0.7,2.3,0.63,1.3,85
Ca16,3.27,3.92,4.35,2.36,1.48,103,0.86,1.62,0.75,0.83,1.9,0,0,NA
Ca17,3.31,3.67,4.44,2.11,1.56,107,0.76,1.67,0.98,0.93,1.8,0,0,NA
Ca18,3.34,3.55,4.6,1.9,1.47,110,0.56,1.88,0.96,0.79,1.5,0,0,NA
Ca19,3.36,3.4,4.42,1.29,1.59,110,0.49,1.98,0.9,0.58,1.6,0,0,NA
Ca20,3.34,3.28,4.2,0.68,1.18,95,0.36,2.1,0.92,0.45,0.7,0,0,NA
Ca21,3.02,3.29,3.77,0,0,NA,0.48,2.01,0.47,0.32,0.5,0,0,NA
Ca22,2.43,3.32,3.27,0,0,NA,0,0,0,0,NA,0,0,NA
