Grampus_griseus_(MNHN_A3248),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.43,6.21,4.18,1.53,0.78,90,3.8,1.01,0,0,NA,3.18,0.85,70
T2,1.92,6.01,4.19,2.05,1.77,90,5,1.38,0,0,NA,2.83,1.43,75
T3,2.51,5.94,4.44,2.02,2.29,95,5,1.79,0,0,NA,3.01,2.08,80
T4,2.92,5.72,4.15,3.06,2.21,102,5,2.18,0.48,0.46,3.2,3.29,2.47,95
T5,2.99,4.86,4.26,4.53,1.92,110,5.4,2.06,0.85,0.82,3.5,3.37,2.32,105
T6,3.42,4.45,4.49,5.23,2,110,5.3,2.07,1.23,0.81,3.9,3.38,2.45,100
T7,3.61,4.93,4.77,6.19,2.11,108,5.4,1.81,1.94,0.92,4,3.95,2.09,98
T8,3.52,4.75,4.43,7.12,2.38,107,5.2,2.29,1.88,1.15,4.2,5.02,2.32,95
T9,3.8,5.1,4.35,8.04,2.45,105,5.5,2.72,1.73,1.36,4.8,5.82,2.34,95
T10,3.86,5.19,4.17,8.18,2.72,105,5.6,2.71,1.66,1.39,5.2,7.23,2.54,100
T11,3.96,5.32,4.43,8.54,2.63,108,6.1,2.41,1.81,1.13,5.5,8.77,2.53,105
T12,3.86,5.34,4.41,8.93,2.65,103,6.1,2.23,1.69,1.09,5.5,11.02,2.63,107
T13,4.16,5.53,4.52,10.56,2.65,105,4.67,2.42,1.21,1.05,5.22,11.22,2.61,105
L1,4,5.47,4.77,10.67,2.51,105,4.57,2.13,0.8,1.06,5.06,11.19,2.6,100
L2,3.68,5.41,4.73,11.09,2.36,105,4.26,1.92,0.67,1.4,5.01,11.16,2.24,95
L3,3.75,5.36,4.94,11.86,2.32,104,4.25,1.89,0.39,1.43,4.94,11.24,2.33,90
L4,3.65,5.39,4.98,11.52,2.19,103,4.31,1.75,0.4,1.1,5.13,10.99,2.17,90
L5,3.56,5.43,4.97,11.75,2.08,100,4.16,1.66,0.39,1.31,4.96,10.44,2.13,90
L6,3.38,5.59,5.14,11.92,1.48,100,4.01,1.68,0.41,1.9,4.77,10.08,2.15,90
L7,3.41,5.52,5.16,11.79,1.32,98,4.16,1.52,0.4,2.19,4.74,9.53,2.01,90
L8,3.46,5.54,5.42,11.45,1.59,95,3.98,1.62,0.4,1.97,4.82,9.47,2.01,85
L9,3.24,5.59,5.37,11.23,1.41,92,4.22,1.49,0.4,2.18,4.59,8.94,2.04,85
L10,3.1,5.77,5.44,10.8,1.63,90,3.98,1.5,0.4,2.03,4.57,8.54,1.99,88
L11,2.98,5.86,5.37,10.39,1.35,90,4.03,1.37,0,0,NA,8.52,2.01,90
L12,3.02,5.91,5.54,9.67,1.6,90,4,1.61,0,0,NA,8.47,1.98,90
L13,2.98,5.93,5.62,9.52,1.5,90,3.74,0.84,0,0,NA,8.37,2.05,90
L14,2.96,6,5.51,8.56,1.52,90,3.82,0.91,0,0,NA,8.28,1.84,90
L15,2.98,5.85,5.75,8.23,1.77,90,3.74,1.05,0,0,NA,7.75,1.87,90
L16,3.11,5.96,5.61,7.95,1.77,90,3.96,0.98,0,0,NA,7.65,1.87,90
