Globicephala_melas_(USNM_21118),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.64,6.98,5.7,3.41,1.14,96,4.72,1.29,0,0,NA,3.35,1.54,72
T2,3.28,6.6,5.87,4.39,1.67,111,4.69,1.91,0,0,NA,3.46,1.69,80
T3,4.17,6.51,5.91,4.5,2.39,113,5.2,2.41,0.99,1.35,4.35,3.34,2.15,85
T4,4.9,6.43,5.94,4.32,2.6,117,5.17,2.25,1.11,1.11,4.8,3.47,2.31,90
T5,5.38,6.78,5.85,4.14,2.71,118,5.05,2.17,1.12,1.17,5,3.89,2.39,89
T6,5.85,6.84,5.99,4.22,2.86,116,4.78,2.25,1.32,1.03,5.4,4.66,2.46,91
T7,6.1,6.9,6.17,4.34,2.96,114,4.9,2.68,1.71,1.32,5.35,4.75,2.45,93
T8,6.41,6.98,6.27,6.06,3.2,113,4.89,3.1,1.91,1.53,5.25,5.98,2.49,97
T9,6.68,7.23,6.31,7.34,3.45,112,4.85,3.09,2.36,1.55,5.4,7.21,2.73,100
T10,7.03,7.26,6.38,7.99,3.35,111,5.06,3.25,2.18,1.45,5.5,9.09,3.25,106
T11,7.14,7.38,6.49,8.74,3.76,105,5.42,3.07,2.29,1.41,5.5,10.94,3.18,103
L1,7.25,7.58,6.42,9.99,3.7,102,5.33,2.84,2.04,1.28,5.75,11.55,3.1,97
L2,7.15,7.45,6.6,11.06,3.61,96,5.28,2.59,1.91,1.3,5.9,11.12,2.72,88
L3,7.11,7.47,6.66,11.59,3.43,95,5.2,2.43,1.97,1.17,6,10.99,2.71,82
L4,7,7.49,7.14,12.59,3.41,92,4.95,2.7,2.21,1.52,6.1,11.04,2.98,83
L5,6.94,7.29,7.04,12.8,3.58,90,4.85,2.6,1.57,1.16,6.25,10.42,2.79,80
L6,6.88,7.3,6.98,12.8,3.41,90,5.06,2.53,1.7,1.09,6.35,10.24,2.61,80
L7,6.91,7.52,7.21,12.83,3.33,88,5.18,2.51,NA,NA,NA,9.76,2.54,82
L8,6.95,7.73,7.27,12.54,3.28,87,5.41,2.55,1.42,0.99,6.35,9.25,2.69,84
L9,7.01,8.03,7.19,12.22,3.67,85,5.49,2.68,0.75,1.01,6.3,9.11,2.74,87
L10,7.06,8.12,7.26,11.37,3.37,82,5.66,2.55,0.59,0.76,6.7,9.37,2.95,91
L11,7.07,8.19,7.42,10.28,3.83,78,5.9,2.66,0.55,0.7,7.3,8.87,2.86,93
L12,7.2,8.22,7.55,9.25,4.16,77,5.9,2.71,0.49,0.64,7.7,8.48,2.81,93
L13,7.16,8.24,7.73,8.35,3.98,76,5.67,3,0.68,0.87,7.6,7.84,3.14,90
L14,7.17,8.24,7.9,7.61,3.85,79,5.35,2.86,0.78,1.09,7.85,7.39,3.05,90
Ca1,7.25,8.42,7.95,6.95,3.91,84,4.78,3.05,0.6,0.56,7.7,7.13,3.29,87
Ca2,7.4,8.51,8.14,6.74,4.24,85,4.25,2.91,0.48,0.79,7.3,7,3.55,86
Ca3,7.38,8.61,8.22,6.39,4.14,86,4.21,2.79,0.48,0.59,7.25,6.72,3.89,87
Ca4,7.52,8.71,8.17,5.6,3.72,86,4.66,2.72,0.52,0.97,7.4,6.36,4.16,8
Ca5,7.73,8.74,8.45,4.86,3.49,89,4.59,2.75,0.56,0.94,6.5,5.16,3.98,90
Ca6,7.8,8.57,8.34,4.62,3.41,92,4.16,2.67,0.61,0.82,5.4,4.41,3.89,90
Ca7,7.85,8.53,8.49,4.91,3.33,98,3.78,2.58,0.56,0.71,5.25,3.75,3.65,90
Ca8,7.89,8.61,8.49,5.21,3.3,99,2.95,2.75,0.77,0.71,4.8,3.32,3.41,87
Ca9,7.88,8.54,8.62,5.04,3.17,103,2.49,2.95,0.83,0.97,4.5,2.69,2.97,86
Ca10,7.95,8.26,8.58,4.58,3.18,106,2.07,2.92,0.88,1,4,1.78,2.83,87
Ca11,7.88,7.84,8.65,4.06,3,107,1.88,3.03,1.12,1.05,3.4,0.91,2.02,88
Ca12,7.77,7.44,8.53,3.59,2.98,112,1.75,2.94,1.2,1.24,2.9,0.59,0.99,90
Ca13,7.24,7.03,8.43,2.65,2.46,122,1.49,3.02,1.37,1.23,2.5,0,0,NA
Ca14,7.01,5.87,7.89,1.27,2.09,116,0.71,3.76,0.93,0.74,1.4,0,0,NA
Ca15,6.13,5.58,7.4,0.48,1.71,104,0.48,3.14,0.55,0.47,0.5,0,0,NA
Ca16,5.15,5.89,6.74,0,0,NA,0.42,1.67,0,0,NA,0,0,NA
Ca17,3.99,5.87,6.04,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,3.08,5.47,5.89,0,0,NA,0,0,0,0,NA,0,0,NA
