Hyperoodon_ampullatus_(NRM_558402),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,5.1,15.3,14.46,15.6,3.03,113,9.33,3.23,0,0,NA,7.25,3.16,62
T2,6.71,15.3,13.96,21.7,4.55,116,9.59,5.67,0,0,NA,9.23,5.16,77
T3,7.26,15.2,13,23.6,5.24,113,9.87,6.25,1.61,1.29,3.7,9.76,5.78,88
T4,8.23,14.88,12.69,25.9,6.43,109,10.41,5.84,3.36,2.19,6,9.28,5.56,97
T5,9.34,14.91,12.37,28.5,6.96,109,9.99,5.65,3.78,2.36,6.2,8.33,6.25,105
T6,9.9,15.5,13.03,31.1,7.31,112,9.71,4.71,4.51,2.76,7.6,8.32,6.5,95
T7,11.68,15.7,12.65,32.8,7.84,116,10.5,6.1,5.84,4.23,8.6,7.8,4.59,92
T8,12.74,16.6,12.58,34.5,8.4,115,9.21,6.89,6.81,5.62,10.4,9.62,7.8,98
T9,13.61,16.75,12.78,36.1,8.81,116,8.43,7.73,6.1,5.92,9.1,14.46,7.89,84
L1,14.63,16.8,12.97,37.2,8.48,115,7.72,8.46,5.96,5.57,8.6,14.39,7.31,74
L2,15.3,16.9,13.38,37.8,8.61,117,8.03,8.59,6.58,5.07,8.5,13.85,7.38,64
L3,16.4,16.9,13.26,39.9,8.68,118,7.66,9.08,6.06,4.73,8,13.17,7.01,65
L4,16.75,15.4,13.4,39.4,9.13,119,7.24,8.87,6.29,4.62,8.8,12.97,7.55,55
L5,17.55,15.17,13.87,39.2,9.62,117,7.26,9.39,6.33,4.7,8.9,12.46,7.29,54
L6,19,14.88,13.79,39.4,9.05,115,7.73,9.55,6.49,5.09,8.3,12.34,7.33,49
L7,19.5,15.3,14.06,39.5,8.99,117,6.85,10.04,7.13,5.06,7.9,11.76,7.34,50
L8,20.5,16.1,14.64,38.4,8.74,119,6.51,10.83,5.81,5.24,8.1,12,7.65,55
L9,21.1,16.9,15.03,36.7,9.31,121,6.71,10.65,5.78,4.62,7.5,11.71,8.53,62
Ca1,21.9,17,15.05,35.1,10.05,115,5.86,11.84,4.51,4.49,8.5,10.82,7.88,55
Ca2,21.8,17.3,15.13,32.3,11.66,111,4.67,11.09,4.52,4.34,7.8,10.42,7.11,57
Ca3,20.8,17.8,16.1,29.5,12.14,110,4.78,11.46,4.11,4.55,7.4,8.69,7.82,55
Ca4,20.9,16.9,16.4,25.2,12.41,113,4.56,11.67,2.97,5.21,6.7,8.69,7.33,50
Ca5,20.25,16.8,17.3,21.9,12.22,114,4.01,11.33,3.42,4.82,6.1,7.46,8.78,55
Ca6,19.05,16.6,17.6,17.8,11.11,117,3.44,10.46,4.89,3.63,5.75,5.1,8.4,65
Ca7,18.5,15.8,16.4,13.9,10.88,123,2.82,10.63,4.7,2.42,3.8,4.47,6.05,55
Ca8,16.9,14.6,15.5,9.3,10.61,120,1.47,8.96,3.09,3.02,2.3,1.92,2.98,40
Ca9,15.4,13.58,14.2,6.1,9.97,114,0.99,8.67,3.18,2.4,1.8,0,0,NA
Ca10,13.37,11.94,13.81,2.6,7.83,105,1.2,7.14,2.25,1.69,1,0,0,NA
Ca11,9.41,12.08,12.8,0,0,NA,0,0,0,0,NA,0,0,NA
Ca12,7.47,11.08,10.8,0,0,NA,0,0,0,0,NA,0,0,NA
