Hyperoodon_planifrons_(SAM_ZM41892),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,4.75,11.62,10.4,20.8,4.88,110,7.67,5.68,0,0,NA,7.36,2.71,60
T2,6.81,12.6,10.34,24.3,5.07,112,7.8,6.02,0,0,NA,8.33,3.92,62
T3,7.98,12.27,10.22,25.4,5.9,108,8.69,6.68,0,0,NA,8.5,4.03,70
T4,8.46,12.54,10,27.5,6.99,106,8.82,6.61,0,0,NA,7.83,4.9,85
T5,9.41,12.9,10,30,7.67,111,8.56,5.53,0,0,NA,8,4.75,90
T6,10.7,12.61,10.07,31.5,7.53,108,8.94,5.59,2.03,3.9,5.7,6.5,5.37,90
T7,12.06,12.8,10.02,34.5,7.82,110,8.56,6.45,5.29,5.29,6.8,3.97,4.86,90
T8,12.33,12.76,10.46,35.2,8.25,110,8.29,7.47,7.33,6.47,8,9.85,8.95,95
T9,13.76,12.87,10.91,36.5,8.7,115,8.67,7.38,7.24,6.33,9.2,12.11,9.22,75
L1,15.5,13.09,11.63,37.5,9.83,113,8.42,9,6.72,6.3,9.7,10.34,7.21,60
L2,14.8,13.14,11.49,37.8,9.37,113,8.5,8.97,6.63,5.92,9.7,10.3,7.8,65
L3,15.9,13.31,11.86,37.2,10.79,108,8.87,9.08,5.76,5.23,9.3,10.68,7.32,55
L4,16.5,13.32,12.27,37.1,10.57,103,8.22,9.15,5.94,5.54,9.6,9.82,7.25,50
L5,17.1,13.71,12.59,35.8,10.61,104,8.57,9.82,5.74,5.2,9,9.73,7.09,50
L6,19,14,12.98,36.4,10.41,105,7.73,10.08,6.45,5.07,8.7,10.48,7.88,45
L7,18.3,13.85,12.61,36.8,10.84,107,7.29,10.28,6.44,5.2,8.9,10.75,7.53,50
L8,20.3,13.54,13.16,36.7,11.06,109,7.61,11.09,6.61,5.66,8.8,9.66,8.48,55
L9,21,14.83,13.52,35.5,11.7,107,6.26,10.97,5.94,5.5,8.6,9.29,9.05,60
L10,21.7,15.14,13.9,33.5,12,103,6.18,11.19,5.05,5.3,8.8,8.25,9.59,75
Ca1,21.2,15.5,14.05,30.5,12.69,104,6.16,11.84,4.89,5.86,8.6,7.68,9.47,85
Ca2,20.3,15.4,13.63,29,13.26,100,5.42,12.68,4.35,5.81,8.2,7.64,9.13,90
Ca3,18.8,15.2,13.91,24.5,12.74,100,5.15,12.29,4,5.21,7.8,6.51,8.47,80
Ca4,17.5,15.3,14.53,21.2,12.77,100,4.84,11.37,3.39,4.91,6.9,6.04,8.47,80
Ca5,16.4,15.3,14.65,17.8,11.5,105,3.59,10.44,3.16,3.19,4.3,4.43,8.09,75
Ca6,15.7,14.5,14.89,15.4,11.14,113,2.98,10.04,3.05,1.79,2.9,3.23,8.27,75
Ca7,14.7,14.5,14.71,11.3,10.04,110,2.21,8.73,0,0,NA,0,0,0
Ca8,14.29,12.9,15,7.7,8.86,112,1.6,9.12,0,0,NA,0,0,0
Ca9,12.87,12.03,14.9,3.8,8.66,111,1.59,7.96,0,0,NA,0,0,0
Ca10,9.9,11.31,13.63,2.1,5.33,108,1.28,5.18,0,0,NA,0,0,NA
Ca11,7.6,10.82,11.76,0,0,NA,0,0,0,0,NA,0,0,NA
Ca12,6.64,9.24,9.83,0,0,NA,0,0,0,0,NA,0,0,NA
Ca13,6.15,8.73,8.77,0,0,NA,0,0,0,0,NA,0,0,NA
Ca14,5.9,7.98,7.84,0,0,NA,0,0,0,0,NA,0,0,NA
