Lissodelphis_borealis_(USNM_484929),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.19,4.02,3.01,3.07,0.88,127,2.13,1.57,0,0,NA,2.21,1.28,96
T2,2.62,3.49,3.01,3.49,0.95,128,2.03,1.59,0,0,NA,2.39,1.65,97
T3,2.92,3.46,2.83,4.02,0.99,134,2.47,1.45,0.67,0.45,2.2,2.27,1.75,99
T4,3.29,3.25,2.88,4.64,1.34,134,2.4,1.29,1.42,0.64,2.25,2.68,1.77,103
T5,3.5,3.19,2.94,4.82,1.32,137,2.33,1.66,2.18,0.78,2.95,2.78,1.73,100
T6,3.59,3.24,3.08,5.04,1.41,139,2.19,1.7,2.19,0.88,3.15,3.14,1.89,93
T7,3.74,3.25,3.19,4.78,1.53,140,2.31,1.66,1.9,1.2,3.3,3.52,1.82,94
T8,3.78,3.34,3.23,5.11,1.61,140,2.35,1.63,2.3,1.08,3.2,3.94,1.94,92
T9,3.75,3.46,3.22,5.03,1.81,136,2.33,1.57,1.89,1.14,3.45,4.22,1.84,96
T10,3.8,3.57,3.23,5.06,1.95,128,2.17,1.87,1.94,1.32,3.4,4.86,2.09,98
T11,3.84,3.67,3.26,5.24,1.8,127,2.26,1.83,1.53,1.11,3.1,5.45,2.13,100
T12,3.8,3.73,3.43,5.41,1.9,122,2.23,1.91,1.68,0.97,3.1,5.82,2.15,97
T13,3.66,3.8,3.45,5.55,2.01,120,2.2,1.78,1.66,0.92,3.15,6.5,2.04,103
T14,3.66,3.8,3.5,5.73,1.81,118,2.23,1.76,1.93,0.79,3.2,7.53,1.77,105
T15,3.6,3.82,3.42,5.55,1.92,115,2.28,1.54,2,0.7,3.25,9.25,1.76,109
L1,3.7,3.8,3.59,5.78,1.46,112,1.99,1.46,2.15,0.92,3.05,9.42,1.47,108
L2,3.18,3.88,3.72,5.65,1.56,113,2.09,1.58,2.16,0.8,3.2,9.54,1.52,107
L3,3.05,3.95,3.76,5.89,1.43,109,2.03,1.44,2.17,0.82,3.25,9.1,1.52,105
L4,3.03,4.07,3.82,5.96,1.32,107,1.91,1.32,1.77,0.72,3.2,8.77,1.53,104
L5,2.9,4.06,3.75,5.96,1.35,107,1.94,1.35,1.56,0.75,3.15,8.6,1.45,100
L6,2.84,4.04,3.87,6.04,1.35,108,1.9,1.33,1.04,0.78,3.1,8.37,1.4,100
L7,2.76,4.1,4.02,5.78,1.16,110,1.96,1.19,1.54,0.81,2.9,8.03,1.4,101
L8,2.68,4.14,4.04,5.74,1.44,110,1.95,1.45,1.35,0.63,2.8,7.71,1.48,98
L9,2.67,4.1,4.04,5.65,1.19,110,1.81,1.21,1.48,0.75,2.9,7.25,1.46,98
L10,2.6,4.14,4.06,5.52,1.3,111,1.82,1.27,1.18,0.75,2.8,7.03,1.5,98
L11,2.55,4.14,4.08,5.35,1.29,112,1.85,1.34,1.25,0.71,2.75,6.66,1.38,98
L12,2.53,4.19,4.05,5.32,1.27,112,1.82,1.28,0.97,0.78,2.45,6.23,1.37,97
L13,2.48,4.26,4.08,5.21,1.31,113,1.78,1.31,0.99,0.76,2.75,5.93,1.31,97
L14,2.42,4.21,4.03,5.04,1.29,113,1.84,1.29,0.97,0.81,2.7,5.61,1.44,98
L15,2.39,4.28,4.15,4.85,1.11,112,1.7,1.12,0.68,0.71,2.4,5.28,1.29,100
L16,2.36,4.28,4.18,4.75,1.13,105,1.7,1.12,0.88,0.82,2.6,5.04,1.14,98
L17,2.26,4.37,4.18,4.65,1.21,105,1.79,1.18,0.83,0.77,2.35,4.81,1.21,97
L18,2.3,4.4,4.31,4.35,1.07,102,1.65,1.08,0.87,0.63,2.2,4.42,1.25,96
L19,2.25,4.36,4.29,4.22,1.11,102,1.61,1.09,0.72,0.57,2.1,4.22,1.16,95
L20,2.23,4.42,4.36,4.09,1.1,101,1.48,1.08,0.7,0.51,2.05,4.15,1.08,91
L21,2.22,4.45,4.24,3.96,1.02,104,1.51,1.02,0.62,0.57,2,4.02,1.06,82
L22,2.17,4.44,4.31,3.71,0.96,105,1.53,0.97,0.77,0.48,2.1,3.95,1.07,82
L23,2.16,4.57,4.24,3.55,0.95,106,1.45,0.95,0.9,0.59,2.1,3.9,1.06,80
L24,2.08,4.53,4.18,3.2,0.99,107,1.4,1,0.9,0.87,2.1,3.92,1.05,77
L25,2.08,4.63,4.2,2.91,0.93,107,1.45,0.95,0.8,0.49,2.15,3.84,1.1,75
L26,2.09,4.55,4.39,2.81,1.03,107,1.4,1.01,0.89,0.49,2,3.67,1.06,70
L27,2.06,4.61,4.3,2.71,0.98,104,1.2,0.98,1.11,0.45,2.05,3.62,1.05,71
L28,2.03,4.68,4.31,2.54,1.23,102,1.19,1.22,0.63,0.41,1.95,3.58,1.07,66
L29,2.06,4.66,4.36,2.65,1.21,105,1.1,1.23,0.91,0.46,1.9,3.45,1.07,65
L30,2.06,4.68,4.31,2.4,0.97,108,1.02,0.97,0.83,0.46,1.9,3.51,0.91,61
L31,2.05,4.68,4.26,2.43,1.13,107,1.08,1.08,NA,NA,NA,3.56,0.84,53
L32,2.06,4.69,4.24,2.41,1.36,108,0.94,1.38,1.15,0.38,1.8,3.58,0.92,54
L33,2.05,4.69,4.26,2.24,1.33,112,0.89,1.31,0.92,0.4,1.6,3.39,0.81,53
Ca1,2.05,4.62,4.1,2.26,1.4,114,1.06,1.26,0.76,0.35,1.6,3.36,0.96,55
Ca2,2.11,4.55,4.13,2.13,1.45,112,0.97,1.19,0.89,0.4,1.7,3.14,0.94,53
Ca3,2.08,4.56,4.15,2.05,1.41,111,0.97,1.16,0.97,0.36,1.7,2.81,1.11,54
Ca4,2.14,4.59,4.15,1.96,1.39,107,0.93,1.22,1.13,0.33,1.65,2.45,1.19,54
Ca5,2.12,4.57,4.2,1.92,1.5,107,1,1.14,0.75,0.36,1.5,2.18,1.11,56
Ca6,2.18,4.63,4.22,1.71,1.38,109,0.98,1.02,1.03,0.3,1.6,2.09,1.34,56
Ca7,2.26,4.58,4.17,1.72,1.52,107,0.82,1.03,0.74,0.32,1.5,1.77,1.34,62
