Lagenodelphis_hosei_(PEM_N827),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.85,3.81,2.77,2.53,0.39,117,2.52,0.67,0,0,NA,2.18,1.07,70
T2,1.43,3.4,2.72,3.68,0.6,122,2.26,1.3,0,0,NA,3.29,1.37,75
T3,1.93,3.18,2.67,3.74,0.67,130,2.74,1.55,0,0,NA,3.63,1.38,87
T4,2.2,3.21,2.49,3.72,0.85,130,2.77,1.45,0.61,0.4,2.5,3.89,1.75,90
T5,2.69,3.07,2.61,3.73,0.95,120,2.72,1.42,1.23,0.66,2.6,4.13,1.68,90
T6,2.86,3.1,2.68,4.01,1.24,115,2.58,1.31,1.81,0.68,3.1,4.48,1.89,95
T7,3,3.21,2.71,4.31,1.46,110,2.63,1.31,1.75,0.9,2.9,4.99,2.34,98
T8,3.08,3.25,2.73,4.85,1.45,106,2.84,1.45,2.23,0.99,3.1,5.55,2.17,98
T9,3.23,3.29,2.81,5.45,1.65,100,2.7,1.48,2.2,0.97,3.4,5.96,2.31,96
T10,3.23,3.46,2.88,6.22,1.63,105,2.8,1.47,1.85,1.03,3.9,6.66,2.17,98
T11,3.21,3.49,2.92,6.53,1.67,108,2.91,1.6,1.78,0.88,3.9,7,2.35,98
T12,3.19,3.5,3.01,7,1.68,110,2.85,1.61,1.61,0.82,4.1,7.92,2.25,95
T13,3.17,3.74,3.08,7.42,1.53,111,2.97,1.48,1.67,0.72,4.1,8.58,2.01,95
T14,3.08,3.68,3.14,7.9,1.44,109,2.96,1.29,1.57,0.79,4,10.42,1.8,98
L1,3.03,3.72,3.04,8.89,1.51,105,2.74,1.29,1.39,0.8,3.9,11.27,1.52,100
L2,2.71,3.84,3.16,9.05,1.51,97,2.53,1.37,0.69,0.92,3.95,10.98,1.42,100
L3,2.61,3.92,3.29,9.39,1.41,92,2.66,1.25,0.27,0.63,3.4,11.09,1.51,96
