Mesoplodon_bidens_(NRM_558398),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.09,5.27,3.41,10,2.45,85,6.3,2.37,0,0,NA,3.29,2.03,65
T2,3.83,5.22,3.66,12.3,3.42,94,7.1,3.59,0,0,NA,3.74,1.96,78
T3,4.64,5.5,3.32,NA,4.08,102,8,3.82,0,0,NA,3.88,1.91,75
T4,5.45,6,3.7,14.6,4.58,104,6.5,4.09,0,0,NA,3.98,2.54,60
T5,5.91,5.92,3.96,15.5,4.92,105,6.5,3.91,0,0,NA,3.93,2.84,70
T6,6.37,6.48,3.75,16.2,5.18,106,5.7,4.11,1.13,0.68,5.7,3.91,3.67,85
T7,6.78,6.41,4.16,17.1,5.27,105,6.2,3.79,1.93,1.33,5.7,3.18,2.77,95
T8,7.41,6.6,4.15,18.6,5.56,106,5.4,5.22,3.64,2.96,6.4,2.81,3.54,95
T9,8.02,7.11,4.71,19,5.11,103,5.3,5.6,3.02,3.08,6.5,6.15,4.32,95
T10,8.55,7.86,5.5,20.15,5.18,103,5.4,5.76,3.05,2.6,6.2,7.99,4.25,80
L1,8.81,7.96,5.7,20.95,5.48,100,5.3,5.94,2.84,2.83,5.5,8.86,4.37,73
L2,9.09,7.93,5.79,21,5.78,102,5.3,5.9,2.45,3.33,5.5,9.28,4.43,70
L3,9.21,7.96,5.91,21.55,5.51,100,5.5,6.21,NA,NA,6,8.39,4.46,65
L4,9.51,7.61,6.44,22.2,5.62,101,5.2,6.14,2.34,3.56,6.2,7.95,4.45,64
L5,9.88,7.77,6.64,22.95,4.64,102,5.4,6.18,2.63,4.01,6.15,8.2,4.63,57
L6,10.76,8.13,6.69,NA,NA,NA,4.7,7.57,2.41,4.14,6,8.55,4.82,56
L7,10.34,7.62,6.45,22.8,5.72,103,4.8,6.9,2.3,3.49,5.7,7.84,4.52,56
L8,11.29,8.47,6.91,22.95,6.19,104,4.3,7.57,2.51,3.59,5.4,8.22,5.04,57
L9,11.36,8.67,7.08,22.6,6.41,105,4,7.88,2.79,3.55,5.1,8.06,5.19,59
L10,11.34,9.01,7.24,20.95,6.82,107,3.7,7.86,2.51,2.84,4.8,7.41,5.69,60
Ca1,11.26,9.05,8.74,20.15,6.49,105,3.4,8.2,2.03,3.14,4.3,7,5.94,67
Ca2,10.75,8.67,8.6,17.9,6.82,103,3.3,8.32,1.61,3.18,3.6,5.67,5.91,71
Ca3,10.36,8.35,8.7,15.75,6.47,105,2.7,7.95,1.7,3.12,3.5,5.97,6.12,70
Ca4,9.86,8.38,8.81,13.15,5.9,107,2,7.54,1.65,2.92,3.1,4.61,6.24,75
Ca5,9.44,8.23,8.77,10.65,5.52,110,1.9,6.72,2.25,2.82,3.6,3.63,4.87,74
Ca6,8.97,8.38,8.89,7.9,5.18,114,1.5,5.83,1.82,2.05,3.2,2.56,4.93,75
Ca7,8.62,7.59,8.67,5.9,5.07,117,1.4,5.18,2.58,1.6,2.5,1.63,4.79,80
Ca8,7.9,7.02,8.96,4.25,4.78,122,1,4.93,2.2,1.04,1.8,0.74,2.27,85
Ca9,7.4,6.24,8.21,1.95,4.23,110,1.1,4.28,1.96,1.05,0.85,0,0,NA
Ca10,6.38,6.26,7.54,1.5,4.01,100,0.7,4.13,0.87,0.69,0.7,0,0,NA
Ca11,5.34,6.5,7.41,0,0,NA,0,0,0,0,NA,0,0,NA
Ca12,4.36,6.45,6.16,0,0,NA,0,0,0,0,NA,0,0,NA
